inputName,m,n
values_11,336156035.076,716890975.577
values_19,336156035.076,963314077.162
values_12,336156035.076,1652320310.025
values_38,928975279.702,1353854886.506
values_81,88362072.336,716890975.577
values_5,971284209.298,1306563030.265
values_40,1136351784.263,484839157.976
values_70,1830060534.01,484839157.976
values_23,826276686.497,1439001047.86
values_72,1830060534.01,1652320310.025
values_79,1830060534.01,963314077.162
values_78,1830060534.01,1353854886.506
values_87,88362072.336,1760995404.04
values_6,971284209.298,1390848588.516
values_68,153315185.536,1353854886.506
values_69,153315185.536,963314077.162
values_1,971284209.298,716890975.577
values_45,1136351784.263,1306563030.265
values_33,928975279.702,1439001047.86
values_15,336156035.076,1306563030.265
values_93,1020137571.302,1439001047.86
values_24,826276686.497,1370179621.543
values_25,826276686.497,1306563030.265
values_26,826276686.497,1390848588.516
values_48,1136351784.263,1353854886.506
values_71,1830060534.01,716890975.577
values_76,1830060534.01,1390848588.516
values_7,971284209.298,1760995404.04
values_50,231344407.064,484839157.976
values_22,826276686.497,1652320310.025
values_4,971284209.298,1370179621.543
values_32,928975279.702,1652320310.025
values_77,1830060534.01,1760995404.04
values_91,1020137571.302,716890975.577
values_42,1136351784.263,1652320310.025
values_13,336156035.076,1439001047.86
values_41,1136351784.263,716890975.577
values_55,231344407.064,1306563030.265
values_31,928975279.702,716890975.577
values_66,153315185.536,1390848588.516
values_65,153315185.536,1306563030.265
values_62,153315185.536,1652320310.025
values_21,826276686.497,716890975.577
values_95,1020137571.302,1306563030.265
values_84,88362072.336,1370179621.543
values_58,231344407.064,1353854886.506
values_64,153315185.536,1370179621.543
values_83,88362072.336,1439001047.86
values_94,1020137571.302,1370179621.543
values_0,971284209.298,484839157.976
values_99,1020137571.302,963314077.162
values_96,1020137571.302,1390848588.516
values_67,153315185.536,1760995404.04
values_61,153315185.536,716890975.577
values_43,1136351784.263,1439001047.86
values_2,971284209.298,1652320310.025
values_54,231344407.064,1370179621.543
values_30,928975279.702,484839157.976
values_59,231344407.064,963314077.162
values_85,88362072.336,1306563030.265
values_74,1830060534.01,1370179621.543
values_90,1020137571.302,484839157.976
values_18,336156035.076,1353854886.506
values_52,231344407.064,1652320310.025
values_44,1136351784.263,1370179621.543
values_17,336156035.076,1760995404.04
values_36,928975279.702,1390848588.516
values_49,1136351784.263,963314077.162
values_86,88362072.336,1390848588.516
values_37,928975279.702,1760995404.04
values_56,231344407.064,1390848588.516
values_63,153315185.536,1439001047.86
values_35,928975279.702,1306563030.265
values_97,1020137571.302,1760995404.04
values_75,1830060534.01,1306563030.265
values_57,231344407.064,1760995404.04
values_88,88362072.336,1353854886.506
values_10,336156035.076,484839157.976
values_53,231344407.064,1439001047.86
values_8,971284209.298,1353854886.506
values_39,928975279.702,963314077.162
values_47,1136351784.263,1760995404.04
values_60,153315185.536,484839157.976
values_89,88362072.336,963314077.162
values_51,231344407.064,716890975.577
values_14,336156035.076,1370179621.543
values_28,826276686.497,1353854886.506
values_16,336156035.076,1390848588.516
values_34,928975279.702,1370179621.543
values_82,88362072.336,1652320310.025
values_46,1136351784.263,1390848588.516
values_27,826276686.497,1760995404.04
values_20,826276686.497,484839157.976
values_9,971284209.298,963314077.162
values_92,1020137571.302,1652320310.025
values_3,971284209.298,1439001047.86
values_98,1020137571.302,1353854886.506
values_29,826276686.497,963314077.162
values_80,88362072.336,484839157.976
values_73,1830060534.01,1439001047.86
