inputName,size
11,9
19,6
12,5
38,30
81,6
5,21
40,31
70,8
23,5
72,29
79,17
78,2
87,12
6,31
68,24
69,7
1,20
45,26
33,27
15,4
93,19
24,12
25,18
26,6
48,23
71,24
76,11
7,15
50,12
22,14
4,3
32,29
77,13
91,23
42,31
13,22
41,2
55,11
31,5
66,10
65,18
62,9
21,31
95,23
84,19
58,14
64,2
83,6
94,24
0,14
99,2
96,31
67,4
61,17
43,5
2,28
54,32
30,2
59,27
85,13
74,25
90,27
18,21
52,16
44,22
17,25
36,23
49,18
86,23
37,31
56,12
63,24
35,24
97,23
75,7
57,14
88,9
10,3
53,32
8,10
39,25
47,16
60,5
89,11
51,18
14,30
28,11
16,9
34,17
82,2
46,12
27,29
20,31
9,30
92,11
3,21
98,23
29,11
80,14
73,32
