inputName,goal
11,229
19,98
12,198
38,51
81,229
5,246
40,217
70,217
23,167
72,198
79,98
78,51
87,55
6,140
68,51
69,98
1,229
45,246
33,167
15,246
93,167
24,131
25,246
26,140
48,51
71,229
76,140
7,55
50,217
22,198
4,131
32,198
77,55
91,229
42,198
13,167
41,229
55,246
31,229
66,140
65,246
62,198
21,229
95,246
84,131
58,51
64,131
83,167
94,131
0,217
99,98
96,140
67,55
61,229
43,167
2,198
54,131
30,217
59,98
85,246
74,131
90,217
18,51
52,198
44,131
17,55
36,140
49,98
86,140
37,55
56,140
63,167
35,246
97,55
75,246
57,55
88,51
10,217
53,167
8,51
39,98
47,55
60,217
89,98
51,229
14,131
28,51
16,140
34,131
82,198
46,140
27,55
20,217
9,98
92,198
3,167
98,51
29,98
80,217
73,167
