inputName,goal
11,173
19,105
12,112
38,116
81,173
5,6
40,242
70,242
23,69
72,112
79,105
78,116
87,194
6,42
68,116
69,105
1,173
45,6
33,69
15,6
93,69
24,193
25,6
26,42
48,116
71,173
76,42
7,194
50,242
22,112
4,193
32,112
77,194
91,173
42,112
13,69
41,173
55,6
31,173
66,42
65,6
62,112
21,173
95,6
84,193
58,116
64,193
83,69
94,193
0,242
99,105
96,42
67,194
61,173
43,69
2,112
54,193
30,242
59,105
85,6
74,193
90,242
18,116
52,112
44,193
17,194
36,42
49,105
86,42
37,194
56,42
63,69
35,6
97,194
75,6
57,194
88,116
10,242
53,69
8,116
39,105
47,194
60,242
89,105
51,173
14,193
28,116
16,42
34,193
82,112
46,42
27,194
20,242
9,105
92,112
3,69
98,116
29,105
80,242
73,69
