inputName,size,a[size]
values_11,30,"{5, -29, -84, -110, -1, -69, 19, 7, 111, 9, 39, -102, -110, 34, -52, -49, 82, -48, -2, 9, 68, 34, 77, -113, -47, -5, -39, -92, -41, -79"
values_19,11,"{-27, -66, 13, 73, 4, 101, -110, 123, 4, 26, -66"
values_12,15,"{-58, -22, 55, 88, 120, 54, 8, 43, 80, 64, 30, -84, -79, 11, 4"
values_38,13,"{12, -14, 82, 82, -103, -78, -11, 78, -114, 100, 78, -9, 48"
values_81,24,"{-40, -62, -103, 10, 103, 56, -43, 57, -74, -2, -98, -42, -78, -105, -80, 101, -87, -25, 105, -24, 36, 18, 87, 49"
values_5,30,"{79, -110, 86, -33, 106, 79, 101, -88, 28, 85, -107, -115, -21, 83, 67, 82, -70, -10, 30, 47, -45, -8, 2, 100, -20, 57, -106, 22, 6, -14"
values_40,19,"{114, 9, 112, 48, -92, 64, 102, 88, 19, -82, 92, -42, -68, -18, -45, 73, -38, -75, -19"
values_70,26,"{-84, -90, 85, 44, -13, 103, -117, 90, -78, 39, 24, 115, -44, -40, -7, -124, 15, 87, -103, -81, -120, -58, 18, 121, -3, -50"
values_23,27,"{-110, -119, 78, -1, 95, 4, -78, 25, -95, -20, 3, 20, -121, 126, 40, 33, -45, -121, 85, -3, 109, -87, 63, 51, -4, -11, -79"
values_72,31,"{92, -88, -78, 79, -82, -29, -10, 107, -26, 56, -57, -102, 65, 127, 33, 101, 55, 18, 45, 93, 43, 40, -98, 114, 52, 0, -116, 95, -25, 74, -107"
values_79,3,"{-61, 17, 20"
values_78,11,"{-106, -52, -43, 65, -85, -35, 27, -104, 11, 70, 57"
values_87,20,"{87, -45, -59, -125, -14, -65, 34, 71, 111, 90, -1, 79, -94, 46, 96, 13, 49, -97, -7, -34"
values_6,30,"{42, 80, 42, 41, 1, -24, -39, -99, 12, 7, -10, -37, -5, 102, 89, -83, -15, 75, 77, -97, -93, 118, -15, 118, 99, 39, 117, 27, 119, 82"
values_68,30,"{112, -107, -1, -4, -100, 23, -99, 98, 74, -8, -20, 12, 18, 62, 120, 49, 7, -18, -65, 28, -95, -104, -54, 45, -77, 75, 88, -33, -64, -58"
values_69,2,"{-25, -78"
values_1,12,"{120, -45, -44, -23, -57, 102, 74, -65, 82, 78, -45, -22"
values_45,23,"{60, 71, -82, 52, 41, 101, -84, -40, -55, -39, -21, -90, -37, -8, 116, 81, -73, 50, -50, 71, -43, -108, -89"
values_33,2,"{-7, -72"
values_15,11,"{-57, -106, -92, 110, -98, -35, 117, -122, 107, 94, -56"
values_93,2,"{117, 53"
values_24,11,"{-10, 6, 91, -46, 59, 30, 79, -67, 88, 118, -7"
values_25,8,"{-27, -95, 124, -66, 61, 12, -15, -62"
values_26,11,"{45, -49, 125, -95, 95, 68, 36, 48, 48, 85, 49"
values_48,15,"{76, -3, -70, 106, -84, 56, -110, 122, -13, -122, -85, 63, 37, 116, -118"
values_71,17,"{43, -76, -86, 124, 7, -23, -110, 35, -108, -14, -80, 84, 108, 86, 26, -68, 21"
values_76,7,"{36, 14, -37, -120, 38, -120, 105"
values_7,8,"{-36, 25, -87, -106, 92, 74, 49, -56"
values_50,4,"{-40, -82, 19, -128"
values_22,30,"{24, -105, -11, -20, -31, -20, 79, -105, 53, 42, -34, -105, 60, 65, -85, 48, 36, -33, -86, -81, -29, 24, 19, -47, -90, -93, 91, 59, -82, 7"
values_4,5,"{-27, 100, -81, 41, 82"
