inputName,m,n
values_11,961839349.129,1986353144.965
values_19,961839349.129,1464357733.429
values_12,961839349.129,1111055193.333
values_38,861801663.863,843880887.607
values_81,1688003831.245,1986353144.965
values_5,1765029258.495,2064120488.298
values_40,805691456.204,779013413.635
values_70,136391639.758,779013413.635
values_23,1468273706.249,371029622.727
values_72,136391639.758,1111055193.333
values_79,136391639.758,1464357733.429
values_78,136391639.758,843880887.607
values_87,1688003831.245,1436713190.051
values_6,1765029258.495,685351421.236
values_68,1201519102.616,843880887.607
values_69,1201519102.616,1464357733.429
values_1,1765029258.495,1986353144.965
values_45,805691456.204,2064120488.298
values_33,861801663.863,371029622.727
values_15,961839349.129,2064120488.298
values_93,1656662221.537,371029622.727
values_24,1468273706.249,2105027017.964
values_25,1468273706.249,2064120488.298
values_26,1468273706.249,685351421.236
values_48,805691456.204,843880887.607
values_71,136391639.758,1986353144.965
values_76,136391639.758,685351421.236
values_7,1765029258.495,1436713190.051
values_50,1341311197.505,779013413.635
values_22,1468273706.249,1111055193.333
values_4,1765029258.495,2105027017.964
values_32,861801663.863,1111055193.333
values_77,136391639.758,1436713190.051
values_91,1656662221.537,1986353144.965
values_42,805691456.204,1111055193.333
values_13,961839349.129,371029622.727
values_41,805691456.204,1986353144.965
values_55,1341311197.505,2064120488.298
values_31,861801663.863,1986353144.965
values_66,1201519102.616,685351421.236
values_65,1201519102.616,2064120488.298
values_62,1201519102.616,1111055193.333
values_21,1468273706.249,1986353144.965
values_95,1656662221.537,2064120488.298
values_84,1688003831.245,2105027017.964
values_58,1341311197.505,843880887.607
values_64,1201519102.616,2105027017.964
values_83,1688003831.245,371029622.727
values_94,1656662221.537,2105027017.964
values_0,1765029258.495,779013413.635
values_99,1656662221.537,1464357733.429
values_96,1656662221.537,685351421.236
values_67,1201519102.616,1436713190.051
values_61,1201519102.616,1986353144.965
values_43,805691456.204,371029622.727
values_2,1765029258.495,1111055193.333
values_54,1341311197.505,2105027017.964
values_30,861801663.863,779013413.635
values_59,1341311197.505,1464357733.429
values_85,1688003831.245,2064120488.298
values_74,136391639.758,2105027017.964
values_90,1656662221.537,779013413.635
values_18,961839349.129,843880887.607
values_52,1341311197.505,1111055193.333
values_44,805691456.204,2105027017.964
values_17,961839349.129,1436713190.051
values_36,861801663.863,685351421.236
values_49,805691456.204,1464357733.429
values_86,1688003831.245,685351421.236
values_37,861801663.863,1436713190.051
values_56,1341311197.505,685351421.236
values_63,1201519102.616,371029622.727
values_35,861801663.863,2064120488.298
values_97,1656662221.537,1436713190.051
values_75,136391639.758,2064120488.298
values_57,1341311197.505,1436713190.051
values_88,1688003831.245,843880887.607
values_10,961839349.129,779013413.635
values_53,1341311197.505,371029622.727
values_8,1765029258.495,843880887.607
values_39,861801663.863,1464357733.429
values_47,805691456.204,1436713190.051
values_60,1201519102.616,779013413.635
values_89,1688003831.245,1464357733.429
values_51,1341311197.505,1986353144.965
values_14,961839349.129,2105027017.964
values_28,1468273706.249,843880887.607
values_16,961839349.129,685351421.236
values_34,861801663.863,2105027017.964
values_82,1688003831.245,1111055193.333
values_46,805691456.204,685351421.236
values_27,1468273706.249,1436713190.051
values_20,1468273706.249,779013413.635
values_9,1765029258.495,1464357733.429
values_92,1656662221.537,1111055193.333
values_3,1765029258.495,371029622.727
values_98,1656662221.537,843880887.607
values_29,1468273706.249,1464357733.429
values_80,1688003831.245,779013413.635
values_73,136391639.758,371029622.727
