inputName,size,a[size]
values_11,28,"{1365432157.722, -335173731.321, 1972434757.618, 181479096.857, 208053147.541, 618265138.408, -694174363.222, -2017263974.285, 1543501666.937, -112236675.141, -1574179468.903, -1494954907.327, -1125066249.809, -1966735176.64, -1928351228.385, -1909927741.964, -792185247.104, -1713620263.713, 43232527.73, -1468705036.319, -1754048021.073, -1185071923.867, 541926839.252, -253530803.103, -1446400403.787, -735216340.638, -1656642561.561, -1764961212.308"
values_19,21,"{-1728431062.623, 382599672.825, 484560133.003, 2090140745.375, -912834104.274, -1805178685.439, 1052248358.727, 1224846548.59, 538912620.188, -1273060647.548, -789002339.957, 928555548.478, -2034081155.46, 638940614.627, -1497787521.761, 1550476533.264, -230832799.262, -1076388349.612, 672250439.154, -806678754.051, -760830204.37"
values_12,15,"{493721783.031, 473219374.562, 1174484425.137, -596827501.955, -255386755.304, 1083396375.028, 1641740472.648, -1516051830.162, 1316061431.731, -833743799.888, -800483255.325, 659858766.583, -1230704638.167, -527253997.879, 2041023655.311"
values_38,9,"{-1112549857.205, 1060610595.742, -428806453.259, -621834050.169, -274076876.858, -1700796656.269, 1191240527.432, -791826244.007, -359130349.617"
values_81,16,"{350946236.141, -1558577704.082, -323333592.741, 93890636.185, 780931148.552, -1709436225.395, 314740372.654, 1435622748.433, 146611869.412, 232778654.049, 11082971.083, -1508451869.31, -437549894.603, 206139573.037, 100850005.93, -571846993.83"
values_5,22,"{-631692058.491, -1719553925.202, 252147868.266, 756111065.618, -740939734.419, -887000320.718, 919953249.922, -880507209.561, 1560409186.463, -1521469513.931, -521599212.245, 1922607750.374, -1836956232.897, 1772695679.827, 58995747.336, -1887678454.967, -1769407437.658, -1739405545.184, -342439232.537, 830098316.271, -897550730.94, 1777218940.439"
values_40,24,"{-1839891497.468, 1367188315.642, -393973036.822, -1491753207.144, 625809918.688, 433588958.774, 952186475.149, -1968715666.084, 551878653.271, -1156809978.52, -874199470.771, -448732876.384, -165051728.005, -962345766.869, 841732890.451, -798541030.18, 1116213131.338, -1240154896.612, -1365341783.914, 354773725.985, 1281423732.277, -2088853489.146, 2021613231.314, 1090025162.591"
values_70,20,"{49048528.878, 390594751.084, -217350434.489, -580711425.52, 1507226973.306, -146882567.751, 697493128.569, -1242796200.586, 1207430677.836, -725295411.373, 114730861.516, 759151721.657, -1481054305.637, -1474562717.789, -749628725.994, -93658655.654, 1114196442.64, -1169959709.667, -2106381528.105, -1268358856.14"
values_23,4,"{1751138713.544, -1356094998.14, 432078877.914, 1254117582.523"
values_72,27,"{-852843098.236, -1757601092.176, -580254302.223, 1113828942.336, -5350758.015, -695658253.503, -905140211.973, -1428988671.826, 1358128251.282, -904731981.682, -1382778427.443, -273180519.404, 2124438943.282, 1966558262.549, -1412606030.893, -2032636630.223, 684268817.386, 2118281675.487, 2037960377.417, -29284104.026, 1093842843.016, -334063814.604, -134308374.307, -118517694.028, -476754569.034, -1528414307.982, 1421121924.272"
values_79,30,"{441016071.733, -691365857.771, -1127087192.74, -1911533895.28, -146251513.371, -581894512.135, -1959070369.65, -1259051316.865, 155098770.25, -917500150.255, -352068298.232, -245310295.364, -1857305010.27, -387624592.474, -667979323.434, 2128720562.047, 2095861488.619, 1979311088.37, 1796910844.225, -1141395192.004, 658598511.216, 226468222.718, -630243249.636, -191461316.447, -371471364.921, 73221187.51, -874804827.044, 1005396634.878, -1859741935.01, -1005200459.797"
values_78,25,"{-2092736422.891, -242989999.288, -1893317679.523, 1002443398.199, -1194273699.713, 2041343020.473, 940934764.521, 241838680.701, -756697232.145, -581357458.038, -2076097115.037, -1648207146.576, -1489189235.233, 390816049.568, -766406806.374, -267605268.001, 791189544.594, -83356529.413, 1127439098.182, -546883389.035, 1952224882.752, 1709660877.135, 892110453.285, -1233061466.314, 474518106.697"
values_87,28,"{-2012828744.357, -1968436604.961, 1518667495.562, -530310378.587, -1241509227.21, 145639227.345, 877163372.556, -873552679.646, 1163385483.511, 1945299181.093, -422899123.589, -547634899.883, -1110210205.691, -576592531.063, 179923433.582, -1619863542.831, 1293837114.733, 2104041956.093, -1088698525.618, 763376235.312, -13160026.663, 1121542579.341, -275769566.646, 733561600.956, 1643177655.286, -1894551982.872, -388643162.978, -949211894.326"
values_6,18,"{2093542627.921, -39788583.529, -690247534.506, -1742996903.02, -747753393.386, 250218293.389, 30239597.6, 387580456.804, 2047862557.239, 638808403.381, -778918776.165, 2132323184.082, -1615117017.362, 422253215.075, 248955255.638, 837511398.265, 128354893.481, 807492823.842"
values_68,21,"{712496010.031, -956662225.231, 238159340.506, 937914698.914, -142119880.414, -1572639328.167, -902478685.532, 318737788.574, -1993814063.12, -54469072.464, -676367873.136, -1666881312.114, -2119454865.103, 385089374.3, 1336420038.145, 2041423048.667, -282224066.592, 2122770083.892, -2098446484.215, -1118010030.004, 574844163.762"
values_69,29,"{-1294478583.099, 992998718.715, -1517094239.092, 1722687163.751, 2011421940.833, -394781510.04, 324529627.913, -288602079.205, 1193082445.185, -1506635110.057, 1574526815.847, 1510040183.55, 1309031698.732, -1023901768.336, 1793396416.314, 943939930.961, -1545437110.169, 1828623752.345, 1410963981.589, -1860499829.031, 392073517.809, 760077254.403, 2068487830.893, -1037145351.759, -1904796350.454, -242613264.946, 713678392.076, 909928872.881, 1657730310.948"
values_1,24,"{786228920.09, -1442433013.809, 522348460.87, -605520475.143, -317118181.209, -1565520133.47, -1995631651.314, -96532119.312, 159247647.23, 936069413.273, 1643072329.889, -263569883.447, 912176136.778, -965980933.45, -421156998.713, 1127903461.769, 846757508.478, 1243252928.742, 1784396970.077, -48336233.252, -518371943.941, 181819702.823, -1455856278.415, 467351726.17"
values_45,4,"{-769307768.82, 1964541268.081, -305815522.073, -43922614.076"
values_33,17,"{1532292272.762, -1340879055.61, 1900444323.726, -1997720005.805, 15611907.66, -1842842756.172, -1536053097.31, -1811149618.167, 4267600.706, -737797845.911, -762625850.09, -435628593.182, 723684637.773, -2024150287.513, -1134401674.031, -1495217019.221, 1983911860.904"
