inputName,key
11,4
19,121
12,97
38,-106
81,4
5,-60
40,-25
70,-25
23,69
72,97
79,121
78,-106
87,-41
6,30
68,-106
69,121
1,4
45,-60
33,69
15,-60
93,69
24,-93
25,-60
26,30
48,-106
71,4
76,30
7,-41
50,-25
22,97
4,-93
32,97
77,-41
91,4
42,97
13,69
41,4
55,-60
31,4
66,30
65,-60
62,97
21,4
95,-60
84,-93
58,-106
64,-93
83,69
94,-93
0,-25
99,121
96,30
67,-41
61,4
43,69
2,97
54,-93
30,-25
59,121
85,-60
74,-93
90,-25
18,-106
52,97
44,-93
17,-41
36,30
49,121
86,30
37,-41
56,30
63,69
35,-60
97,-41
75,-60
57,-41
88,-106
10,-25
53,69
8,-106
39,121
47,-41
60,-25
89,121
51,4
14,-93
28,-106
16,30
34,-93
82,97
46,30
27,-41
20,-25
9,121
92,97
3,69
98,-106
29,121
80,-25
73,69
