inputName,size
11,9
19,13
12,31
38,20
81,15
5,24
40,27
70,28
23,20
72,22
79,31
78,22
87,3
6,3
68,17
69,13
1,26
45,12
33,31
15,3
93,18
24,16
25,5
26,21
48,31
71,14
76,21
7,9
50,9
22,13
4,27
32,21
77,15
91,26
42,24
13,23
41,25
55,3
31,8
66,10
65,28
62,20
21,19
95,17
84,10
58,23
64,26
83,23
94,27
0,4
99,20
96,15
67,30
61,21
43,17
2,29
54,7
30,28
59,19
85,9
74,29
90,23
18,14
52,7
44,20
17,9
36,24
49,31
86,7
37,23
56,21
63,15
35,14
97,16
75,22
57,21
88,2
10,20
53,28
8,8
39,7
47,5
60,9
89,19
51,18
14,30
28,10
16,14
34,19
82,15
46,13
27,10
20,25
9,2
92,26
3,18
98,32
29,26
80,22
73,23
