inputName,size
11,21
19,16
12,6
38,6
81,26
5,21
40,7
70,3
23,7
72,11
79,25
78,17
87,11
6,24
68,5
69,11
1,20
45,17
33,26
15,29
93,30
24,20
25,14
26,12
48,12
71,9
76,11
7,16
50,16
22,13
4,10
32,7
77,8
91,26
42,27
13,30
41,6
55,25
31,28
66,5
65,5
62,24
21,9
95,29
84,29
58,31
64,3
83,15
94,24
0,18
99,9
96,15
67,11
61,6
43,27
2,11
54,23
30,9
59,8
85,6
74,17
90,11
18,26
52,14
44,6
17,14
36,15
49,18
86,5
37,18
56,23
63,4
35,19
97,8
75,4
57,27
88,4
10,16
53,24
8,8
39,29
47,20
60,13
89,8
51,19
14,3
28,20
16,18
34,15
82,2
46,9
27,3
20,10
9,3
92,16
3,23
98,19
29,21
80,4
73,23
