inputName,m,n
values_11,2637867728230266289,3243569128099429692
values_19,2637867728230266289,7310856110522107405
values_12,2637867728230266289,3227882450329857508
values_38,6193340516060447343,1136043316900399937
values_81,5717716768132065386,3243569128099429692
values_5,1742614338622126875,4244867148972486591
values_40,4975461495093916835,1520545882451785761
values_70,7735916853571528220,1520545882451785761
values_23,35658646521460378,5897257021613468578
values_72,7735916853571528220,3227882450329857508
values_79,7735916853571528220,7310856110522107405
values_78,7735916853571528220,1136043316900399937
values_87,5717716768132065386,8608023139725239398
values_6,1742614338622126875,893797991324657552
values_68,8149752357777351327,1136043316900399937
values_69,8149752357777351327,7310856110522107405
values_1,1742614338622126875,3243569128099429692
values_45,4975461495093916835,4244867148972486591
values_33,6193340516060447343,5897257021613468578
values_15,2637867728230266289,4244867148972486591
values_93,5955384083604117343,5897257021613468578
values_24,35658646521460378,3316913746390424601
values_25,35658646521460378,4244867148972486591
values_26,35658646521460378,893797991324657552
values_48,4975461495093916835,1136043316900399937
values_71,7735916853571528220,3243569128099429692
values_76,7735916853571528220,893797991324657552
values_7,1742614338622126875,8608023139725239398
values_50,161076521082584146,1520545882451785761
values_22,35658646521460378,3227882450329857508
values_4,1742614338622126875,3316913746390424601
values_32,6193340516060447343,3227882450329857508
values_77,7735916853571528220,8608023139725239398
values_91,5955384083604117343,3243569128099429692
values_42,4975461495093916835,3227882450329857508
values_13,2637867728230266289,5897257021613468578
values_41,4975461495093916835,3243569128099429692
values_55,161076521082584146,4244867148972486591
values_31,6193340516060447343,3243569128099429692
values_66,8149752357777351327,893797991324657552
values_65,8149752357777351327,4244867148972486591
values_62,8149752357777351327,3227882450329857508
values_21,35658646521460378,3243569128099429692
values_95,5955384083604117343,4244867148972486591
values_84,5717716768132065386,3316913746390424601
values_58,161076521082584146,1136043316900399937
values_64,8149752357777351327,3316913746390424601
values_83,5717716768132065386,5897257021613468578
values_94,5955384083604117343,3316913746390424601
values_0,1742614338622126875,1520545882451785761
values_99,5955384083604117343,7310856110522107405
values_96,5955384083604117343,893797991324657552
values_67,8149752357777351327,8608023139725239398
values_61,8149752357777351327,3243569128099429692
values_43,4975461495093916835,5897257021613468578
values_2,1742614338622126875,3227882450329857508
values_54,161076521082584146,3316913746390424601
values_30,6193340516060447343,1520545882451785761
values_59,161076521082584146,7310856110522107405
values_85,5717716768132065386,4244867148972486591
values_74,7735916853571528220,3316913746390424601
values_90,5955384083604117343,1520545882451785761
values_18,2637867728230266289,1136043316900399937
values_52,161076521082584146,3227882450329857508
values_44,4975461495093916835,3316913746390424601
values_17,2637867728230266289,8608023139725239398
values_36,6193340516060447343,893797991324657552
values_49,4975461495093916835,7310856110522107405
values_86,5717716768132065386,893797991324657552
values_37,6193340516060447343,8608023139725239398
values_56,161076521082584146,893797991324657552
values_63,8149752357777351327,5897257021613468578
values_35,6193340516060447343,4244867148972486591
values_97,5955384083604117343,8608023139725239398
values_75,7735916853571528220,4244867148972486591
values_57,161076521082584146,8608023139725239398
values_88,5717716768132065386,1136043316900399937
values_10,2637867728230266289,1520545882451785761
values_53,161076521082584146,5897257021613468578
values_8,1742614338622126875,1136043316900399937
values_39,6193340516060447343,7310856110522107405
values_47,4975461495093916835,8608023139725239398
values_60,8149752357777351327,1520545882451785761
values_89,5717716768132065386,7310856110522107405
values_51,161076521082584146,3243569128099429692
values_14,2637867728230266289,3316913746390424601
values_28,35658646521460378,1136043316900399937
values_16,2637867728230266289,893797991324657552
values_34,6193340516060447343,3316913746390424601
values_82,5717716768132065386,3227882450329857508
values_46,4975461495093916835,893797991324657552
values_27,35658646521460378,8608023139725239398
values_20,35658646521460378,1520545882451785761
values_9,1742614338622126875,7310856110522107405
values_92,5955384083604117343,3227882450329857508
values_3,1742614338622126875,5897257021613468578
values_98,5955384083604117343,1136043316900399937
values_29,35658646521460378,7310856110522107405
values_80,5717716768132065386,1520545882451785761
values_73,7735916853571528220,5897257021613468578
