inputName,size,goal,a[size][size]
values_11,9,197,"[[5360836580399156968, 1482781286545646933, 6130050825272097626, 2295775503284697650, -8541335535183888993, 5806318583184304139, -6071321110702750922, -2667919269161422546, -8836574338205624485],[-377933087094878029, -900865035351011033, -6970810316218729442, 2364072020190916618, 4984971728145288270, 1393284746913893337, -8693718655934641381, 6335855173061507458, 4945071941458587534],[5681191867808332838, -3083094236017496350, 2332569705581974784, -3455598612869026178, 2510470766781401276, -1983110021482733294, -318555505669770689, 7001796557194428625, 1073557697117969114],[5198144817192922518, -6853270812753305423, -6562846764965965431, -4948298499540942787, 1614901468243859166, 2875226635560221410, 6998004864623144854, 7407020334145776254, 646129019325782335],[-5842976830219206080, 1511791184946717301, -8238112554225497184, 7443199328558215798, 6948451309357261735, -163193430990495114, -7779736505361216687, 2654138242655340704, -3011027646374876240],[881697600307986392, -8691107766591523580, -3739963820162904186, 7144302608254389790, 2186888410925004887, 7213277219420150870, -5077679887164477655, 1970257593565449764, 7330096607248081477],[107634998082110862, -2406680574284044468, -1031168768236979794, 4054505094884342857, 7484935185869172447, -2117056015105923852, 7654887896330012190, 5743052024750694102, -4636583156241621205],[9174574419741521270, -4772999519683606705, 1659254785142178035, -1051326454384226723, 7159044899960947425, -3661229634911745116, -222800101606180526, -4138522714614262295, -6308400410391246252],[4446973554020681550, 1724798176910999003, 7126377272419975384, 354125637804668419, -6120496508607420168, -7043159365498372386, -1540605495534498131, 4363743536856668536, -2154941193729458123]]"
values_19,9,47,"[[1815006122165184995, 391078857329577319, 3205759446398552605, -6181075839826040077, -8118356560414294433, 1948122295658762908, 7393110727354158391, 1410421524230042551, -4399777238286722407],[-4047223884391321680, -6022844835856356074, -8553068303379064853, 26561880349095845, -2595336318562397758, -8753248346356624509, 3263248095680065719, 5946531999013809359, -6477272233888128489],[-7606206813381545610, 7180434942899233649, 6674803092981177380, -4141886708753055129, -3972715483887078071, 8143672947571383643, -4808411229139141836, -6842781591583194219, 3647216482949804812],[-7192555117751443068, 1775504530903409901, 1427894777512877992, 3390053051116059114, -4584853540649325710, -8882246212011727718, 3773145799648162577, 9004651874649038537, -7455291906097943626],[-531249884803741494, -3350566209440797815, -4165666901303032815, -3156268700267299319, -5827288438585656533, -1550620598993263263, -7451112036351300506, -2107425146601862749, -6875066925461557465],[2009675380384186194, -6526115428577695947, -1434801074918951515, 3491990051907755373, -3931989342377629202, 2591212562946561573, -172553714215521877, -4749080818799245462, -7741985378368788163],[-7657359801730447772, 1832194528613609701, 1721232727881531981, 40625917231257991, 9041786173002247149, 3035481986951328908, -7546539942600951889, -6355610020330186124, -3059864130220911837],[8911747824345858645, 1152052332730547094, -7341863582063512257, 4724015603693758666, -2053501614407458232, -8935260981542382168, 8029228473205027810, 1912981162440090165, -726298480855227583],[-53125232564746447, -4445406920307335101, 6021997939069038252, -8181546219432585847, -7880246474523257270, 7664870880380311707, 8849382811836142546, 1973706913675901418, -6471432261758418124]]"
values_12,9,79,"[[5100442396694109051, 1412021372833550395, 8189704886955836876, 7108662517213769493, -2166696898487532189, 787899629768938283, 2908831005706880216, 7821406417110244787, 1477152021161661522],[-6470215289476774010, 3008851136377254870, -2869770476587093426, 3305449728938517494, -2265986114553270939, -4143819913116641226, 495975228601798851, 3339240075513624266, 2072134832458053156],[-1287085071809655477, -8428288513797996489, -1202784041962976819, -2252958970497616811, 9171134929460371702, 1073728866299080076, 7216684274400172276, -2879260222280396857, -8101507289595965248],[-1586204234545318193, 1061953214101512857, -623975652079565310, -9081794927522894717, 5901417273962127877, -3942932623499757950, -563801618048705636, -2844526195383531448, -4014291441552907840],[-767501219090482760, 6986924822509006205, 8931339078724707639, -6068866908195141250, 3080842181453625747, -5864452255500433289, 9130404998886098321, -1157974993066785793, 1351657279857495489],[-4371858617504133847, -7687454979255511064, -4940533902107455865, -2019273962129131617, 276959958441005574, 7553005479082669306, -5944750554755436859, -2843178068086755067, 8633094112060924456],[4415692812636506733, -6303974472802271045, 2718118700687235811, -7122901716421958497, -6255525976424523852, 5105286392121347327, -52395780732029223, -3934727934764683106, 8784416472017461688],[-5246652952148862158, -4069980603220061230, 6987937164478543431, -1811393717916555720, -5836951979627402894, -1776495341444349542, -398345831722988733, 8056115042873450671, -3066660676838178564],[449479034448170561, -8952267484576138198, -5822086608624003872, -6042490314119641305, 2808864463341676159, -7627550578452372758, 3347805468240766346, -847520626469202514, 3387082984683592791]]"
values_38,11,120,"[[3640264859512876817, -8708420866437172919, 3024965888531420412, -1358140350583999354, -7417067395413912487, -6754265782937234362, 5375163975737217350, -4512093696567558680, -482253956340370895, -5240540201038952965, -4685463456727046533],[8842964262970755805, 7278221754584335332, -4096124978706956770, -4075692475934006720, 7793197440451282752, 186565195485699994, -3450753920215575573, 165445554549699207, 2834295165299922765, -8431671711873510319, 8558952016372960294],[-2232436373047823253, -6491360766443934690, 5326190670020588621, -3522054194006911315, 178986062951170815, -5430966519228335682, -3680945361615280664, -7491350285937190541, 6917724867728864572, -2080281264615827319, 5356196797907073923],[-8788208178671945834, 7254870700967517168, 3894299397702203953, 1991613574406583727, 89569151316346443, 235484641897664135, 4944307083330841153, -3289945295696019981, -8778247133067139718, -7878898334658307433, 9089378906985731415],[6503551800797283767, 4147383172865208077, 2025595983178671106, -262768357878097803, -2254855211870482407, -3397247555195304646, 1968686917938404763, 5269766180358463147, -1011487799552941828, 659910173358009774, 1980631869288474802],[5469435429836373001, 3905347907027789944, -7878459797383310993, -9078941480345063966, 1393924736362253403, 1324707758395947494, -2573015860923868805, 1550709152417080300, -2692652032295197030, -5597183187835146407, -6950476916271016529],[7831286476501305791, 6473890869799885414, 1272578719479927514, -5259183353141555141, -1785177418838914019, 8586325669236390256, -3247536171605660757, 976713761556238024, 8875666129505179747, -6781156217700698215, 3735910328440040913],[7486525535517404952, 1366223630031255084, 3012311090112340103, 252049660992919478, 1584018807629269557, 8125076770558942768, 4419085042960704715, 8255487759960590355, 4429984739449933623, -6615414026223614337, 4973806356519540780],[5236632412629071554, -2170321262718488283, 1167619938910426735, -1235353505982491624, -3999497029715390896, 5854141039716547840, -4473200812747126748, -7125821291779003221, -7484874117513573881, -5776544374096547018, 161355940284373718],[6343054646900362986, 8027837520537754074, 1254815475983030969, 6778850992514714718, -6432846834433179549, -7803279816254635445, 3329174819507788101, -4424672695664858082, -7386685755009896696, 1431428291804962132, 6011813944805964223],[-3421649579336549782, -5672042327843846790, 4706727469071948693, 1320108593162891692, -2428217620483627069, 8620194114706705784, 300117800856366993, -6735072827074295870, 6544335850907324003, -4111216135391973436, -7595127909278771869]]"
values_81,9,197,"[[-6214085769388699618, -2603605745317063425, -1504455716612045962, -722424234874131350, -4288415853227854129, -7158760020301948455, -8069495492176099630, -8393963522251779017, -7865570192751595671],[-3245787376070935397, 7398959532373877202, -3975357121487493711, 3858085465820836990, -5040437476726662755, -8265398376581776328, 8621901130556946734, -7069203864825019263, -128842837366981237],[2245851882528543810, -7574860156246925082, -2085581328763594665, -1645562189373834506, 4092560253407554947, -1629376982445730511, -3503235439898819183, 9129267936829982047, -6641433031587784696],[82554536872973886, -4020366718240111665, 6260893508468683045, 8387570394030717469, 3629970757594295902, -817151215232728727, 5523423296955081338, -8710735256447277789, -2124123343683072951],[8175911141311491094, 2792544379461066364, -6778006089682909072, 415004357320753529, 5430387149471030545, 6609997647148828102, 2346715904689268455, -8689146152311752931, 1599409319287602524],[-1666328559220784636, -3474254128009602538, 8839089787770940339, -4061424601204749759, 8044858622130924131, -3400472769572109705, 8389050005150313324, -6604447641058271769, 5140732494783636247],[3759420372603644675, 1368567764175335727, 1962757585659768320, -3451381584165047476, 617842319676520015, -45061558915977142, -3332250001091124228, 4780482983330868043, -5502204503528069925],[-1213591413511151099, -3194471343124203680, -7043299874100334146, -7321440010529071793, 5462518249811655419, 6328936438292151295, 8957661300106859423, 2576213146470208241, -7698397194544646759],[8152669154783470109, 8442623521861301776, 6514939224729435781, -2094496459390381502, 462549437248063671, -2810907187479201790, 2796561623011904491, -4783286321214173957, 7400682822695234342]]"
values_5,6,155,"[[-9167646917840783666, -1991561698354361327, -7278512482864316676, 3856899152081690954, -8602701431605733164, -7550386307449535652],[4982093466450844960, -2523380066716815857, -5397594714454689310, -9058188520041779108, 5636236454756560757, 6317293676769473451],[-887225675812272774, 460534035307409992, -3694853434081663089, -7167826452986423407, 8498045086037226261, 9096966838453300667],[-1730257087573714125, 1150703812706614200, -370701151578757636, 7462405166411768625, -7185292453609846739, -1124878566615575485],[-5495888252459297400, -1384789992893861397, 9167771822912479431, -8158115288640510612, -3609997005441048625, 5400876720125011698],[1933614512003227246, -8925366713260301571, 3619150997491800768, -1883501875442229087, 7876343179413398077, -2418044145123857174]]"
values_40,11,164,"[[-3371510181987132380, -906395568424497827, -9042239287426322812, -4095850145144564905, 914628627938194524, -6727811672372014680, 6478025354563121210, 6210385793550819355, 4641612712270650815, -1431489383603314880, -3798018265470372347],[-8754566151957052017, -5338269167080570107, 3404822974682383146, -3340011691774537058, 1169284617855337658, 4165301360490653434, 6540840626602264084, -8024391442887333165, 8902893631695327344, 6296036335307675918, 4498112434671528700],[-6475507875914507523, 3151233818019176176, 6977914706097234562, 6360174032329779564, -4031687960210412280, -5937723047705931243, 4662290547388130283, 2490788433823688051, 273468080363474442, 7992616086304895965, -7458506850187628253],[-1931445951025018386, -5910065018862050523, 5094732115355680340, -3295492578701905911, -7328248713113524823, 5346844427474214582, 3366032855402307075, -6513744612750330956, 8253837976958719367, -1646135745687393741, -4343517462339024741],[8217237470830159805, -7262359073189547456, -3854360593168938326, -2818383140228685846, 6297971947805652940, 1540871255242738803, 5981361985822770363, 6886624713866305133, 4674451361162778131, 5292111102358685917, -7320529623123429894],[1364908785145710085, 7210402137062776600, -4273303321187737527, 6914845658748842501, 65566300424539913, 5201169563303858528, 3584357136433567507, 6260085751488191715, -8455628287025670038, 1602830287329447228, -1839687484538596149],[3321961830506867737, 2151860085912452803, -4086569202720145796, 6322663839288816098, 5235105998848588231, -151886496235275300, -1168462951324946302, -4315000937861156016, 8376866415112584298, 1548463794934920416, 7211687432395779306],[-7749983711028154907, 2812262399296848026, -8461748742538151818, 1989178261363588472, 1471691194540830562, -5353679410073432819, -4949926971357600314, -1088528835731847930, -7167955272644585005, 5566987414630710164, -5639275607348409510],[7301720403633600507, 4848223193142902724, -8822032241656461225, 3689640139501004554, -4443394394453695724, 1440338155200779039, -6247201118478499876, 8076271942745481163, 7966237955495730138, -1522248920071568515, 8572372269831045365],[900539563693749517, 7897157076964121033, -7149032359265876209, 4374534475338305967, -29010432848569855, 5131188424397348602, -5794848611131320623, 4268281560749318514, 5119044691900194524, 8760250901898679363, -6622941319038657563],[-7828407021915293353, -364750435888329558, 3334412699446562215, -6278943992900150843, 7867713835987160563, -7601581859748793093, -5845977908321817739, -7354011719164518118, -7716348789345952897, -7360706498949211851, 2299900121733605534]]"
values_70,11,164,"[[-7453849730506007506, 6836134474344173214, 645783641932350781, 7478081225257654095, 1842998220939149863, 568856750563455026, -3528943611125980228, -4525709686609461600, 2406149824778371806, -974350951513945068, -7964437599210833436],[-6211845797772758924, -575950032798049539, -8929988587444112813, 7135223644880465442, 5779258367501487917, 1604481722516919833, -6641306337965486458, -5960302473525827346, -6080374273811032699, 4745616511186578644, -5221590015923970189],[-325204283120411224, 1567177482835799428, -2807347516733706337, 521413691155531755, -1969891463589499113, -8577558981048340378, -2761267566544254652, -5303140291199296714, -709961378524415116, 6731615694610408428, -4686131277928735092],[5039560598550091995, 5604778952889677546, -3937346434277274945, -6858209971430369573, -6254265652044898455, 1032761088867748269, -1433988411436499531, -7537971699101742241, 1114300525246851589, 4164610827573893962, -7274025400340535822],[-1391028581896293179, -7891750020605948435, 8453026255386796746, -7903672090636233548, -7359842998207676233, -1090535423001365297, 5419149517642607896, 6906791680102628689, 3745731530152739052, -5768310763175736838, -5914639646355738876],[-6007151705336620193, -6205984282488152420, -3459642635528213732, 748239982367767681, -1616105919049928218, -183877157635764052, 5183947871804028700, 8722878736385904227, 208575291995374072, 7068919655431002981, -7987620870226093578],[-7478490365685592503, -8711434525723383239, -5724921990691001283, -6777327035049866568, -5857377283311600215, 1759873552425190021, 4517231857704471480, 7149919473464850615, 8270885503466323638, -7712898387624790431, 748856671947310909],[-8544621287888681467, 6804475446436353450, 4540085340794693640, 2980677357907185930, -1368088509241515180, -8248812430673530081, 4175235613669379891, -1095375471790714373, 1175213739398005122, 4016747910866134561, 7029742023641063107],[3751586308239317853, -2197275323479965610, 4423628834524760661, 8848631061330103910, -2852441683028754662, 4147756911938634899, 7077574285368041124, 6386244271504415240, -216367164884835218, -1691618030922716747, -6291500041761114573],[-6400086922884943532, 2103168743938596549, 2922583182985767418, 4452125734198837291, 182671053847478765, 5329717791763425045, -3296459925101446106, -5538849576844084924, -4372234633762915716, 7905162386173677945, -6486460826575515563],[1795638285772954519, 1128299865727787820, -3821042055777374383, -9011336365013148423, 6997562501984043229, -8750107743444262138, -3918113533842528942, -6940168426237853572, -1828834350106542431, 5816588341647179434, 8371493842564868919]]"
values_23,6,122,"[[-2693802271353614939, -2679659274096973284, 3699972416037051298, 1862290986788411898, -3641756491905730823, 1511566728200367759],[8197001606907131634, -552139266565088660, -2485671362882905862, -934306754703148747, 7110103652211800766, -7128948275291435527],[9103372807562306267, 5541499227810615806, 1139407757598193527, -3542038150776560053, -2972023891247184782, -4167581065489171592],[-8207585259292741446, 2105839311760942202, 7391683074276210956, 4257614782573855960, -3043601923896035434, -5833590925630761646],[-2015218559325562945, 6255273044564718736, -2368184089953501193, 1101079841732656229, 3615880388417588569, -2998827764786031255],[2512034282656389980, -6450395785933809768, -4977093339303330237, 1025716984789113386, 8102269832921048067, 8330504290715204417]]"
values_72,11,79,"[[5589105757745182735, -8953167100166630782, -7340975149740946512, -8853893910628508568, 637083991046312282, 4936157784943532944, 2799990945551031502, 4117744225373634027, 3423477018295303142, 5804596069786721280, -8665322292068396618],[8335332541884364698, -5899929255992490686, 3585196726227647050, -3356842791899521528, 4613932675861782668, 1765737546407643444, 4737000962300584514, -1135976197300933718, 6683296819938479957, -2234279700526019348, 2501313646883741386],[-3680129815376364421, -7054099521424003683, -292271342720331433, -6982062333317001800, -2623019988937306730, 4521724100278703652, -519166648022996212, -9040596550717232977, 7332579005776761494, -3290391101795042219, -8218613749746031049],[5324862253179795554, 3147290415228869959, -1478135446993188740, 4148502187491400346, -7283610940065939225, 8215335713187868843, -285270438018511386, 8677840227979489495, 5794986241387691582, -2681525974053671862, -2067655602094306277],[-9222078954348256440, -125295551362332548, 5426446761883069639, 378855662608541898, -5304523857976998813, 509833021075202757, -7998486989899431656, -3868223395391239475, 8355679748356472058, 1000507057775574816, -4159556865784881504],[-7885952469677209146, -4177566398282254702, 1296516030057066914, -3303726912880751819, -4835479979561436248, -6675754649131314478, -8087403606203942358, 7902579533396707254, 2616849249968545242, 1576334034426024568, -3321521111509849783],[1372184621047116116, 3678851755552485297, 5968723944794613658, 2239381685894514442, -3220540221590110571, -3899728558634645070, 7374165255673068169, 6961465618331464402, -830034845059808186, -5574233539152249282, -3235701514118842957],[8686959088790184687, -9103334816844332572, -1018008009954205328, -2565920558789840218, -3706244263711509033, 1850677561283206218, 6156014253381458123, 7074153925785632237, 6129509430630198242, 2407168994293873001, -3008359791530230649],[-5072175242268676510, 8573880348113494944, -3490879206348991996, -7095820276199158606, -4350971257933825687, -4227402074480880845, -4882847807226445240, 762402840200261563, 885299808622196730, 4042337978568699823, 5127270459798254924],[-943629902181739206, -8146385907013811492, 4882399590122160263, -7367689839004245223, 6345440545727116063, -1121796631423395138, 410800905202607062, 7494686085098262208, 8295581794479306176, -2564233783289342457, -3138039279136644280],[-7027588940960407634, -6925982712553367179, 5268043669089253188, -7713147052601603477, -3176174715226920182, -868342459073838310, 5927971133840102193, 523343236604741298, 4566396895557691114, -3327058431463576822, -2768920762053882731]]"
