inputName,n,key,arr[n]
values_11,11,-225,"{-20923, -13415, 12534, -8412, 9332, -4331, 26106, 19558, 24329, -13718, -16287"
values_19,11,-31512,"{-14923, 14909, 27055, 11853, -7300, -14960, -19134, -24139, 19163, 11629, 23087"
values_12,11,735,"{-24894, -9673, -24362, 29128, 13645, -11575, -32389, -20346, -15495, -1423, 27448"
values_38,16,31651,"{22791, -27369, 9476, -25092, -31988, 4513, 28301, -6154, -6160, 23889, 11297, 9510, -21217, 902, -10568, -367"
values_81,3,-225,"{12368, -1906, 13074"
values_5,28,-13067,"{-24660, -17385, -21796, -24685, -9592, 10049, 14937, 16057, -16337, -14095, 22025, 23249, 11710, -20275, 26900, 15635, 12982, -23439, -5563, -21325, -8999, 23111, -27097, -5359, 22655, 27105, -24999, -8346"
values_40,7,21180,"{28668, 7184, 1382, -13801, 9264, 28496, 16906"
values_70,23,21180,"{10734, 11924, 25363, -4530, -689, 17993, -17441, 25863, -19290, 1480, 15762, -27233, 21613, 4992, -15349, -9365, 32649, -5627, 964, 19324, -22259, -14276, -26943"
values_23,25,23925,"{22857, -12702, -19001, -13736, 17382, 22593, 31081, 23119, 25468, 25283, 27713, 1899, -8468, -26855, -17133, -10162, -15618, -31421, -28965, 21242, -12836, 15249, -19549, -1770, 32262"
values_72,23,735,"{10525, -17220, 17377, 24876, -12149, 17651, -8259, 30479, -599, 5952, 15528, -21026, 13725, -17670, 1806, -12848, 16018, -3915, 498, 4776, 2534, -23689, 9722"
values_79,23,-31512,"{4574, 104, 11682, -27351, 1506, -28122, 20672, 3566, 29185, 25434, -26656, -10466, -15852, 19239, -6629, -3766, 29275, 12696, 26858, -21820, 20355, 22655, -3717"
values_78,23,31651,"{15573, 17323, 14756, 14823, -10450, -15962, -10664, 15092, 18388, 10749, 28682, 15881, 16044, 4275, -13720, 3240, 13707, -24842, -6532, 32468, -9044, 26908, -30442"
values_87,3,-18244,"{-10205, -13183, -15371"
values_6,28,-24012,"{-3110, -2971, 2525, -25117, 18352, 2334, 15674, -2425, -26731, -1396, 6225, 14605, -18771, 11131, -7815, 29974, -274, 29651, -31510, -20763, -24714, 10241, 16428, 8532, 18516, 9694, -5088, 31938"
values_68,9,31651,"{8712, -9036, 14459, 31568, 17559, -4910, -5786, -26070, 15986"
values_69,9,-31512,"{10049, -70, 20197, -32187, -3083, 18906, 1228, -15320, -26672"
values_1,28,-225,"{7286, -3252, 25152, 14856, 10346, 13155, -28239, -25904, 23063, 1417, -27119, 31460, -7096, 4185, -6675, -16967, -11342, 23768, 10643, 19686, -10672, 5884, -26746, -22669, -467, 26560, 5718, -8785"
