inputName,size
11,14
19,26
12,3
38,24
81,7
5,22
40,6
70,29
23,19
72,19
79,17
78,2
87,20
6,26
68,28
69,20
1,28
45,25
33,14
15,27
93,7
24,31
25,14
26,7
48,13
71,26
76,11
7,8
50,10
22,4
4,14
32,10
77,11
91,29
42,4
13,22
41,20
55,30
31,16
66,31
65,30
62,26
21,16
95,24
84,14
58,11
64,7
83,7
94,9
0,30
99,11
96,13
67,17
61,8
43,13
2,8
54,10
30,9
59,18
85,7
74,25
90,25
18,26
52,7
44,7
17,29
36,6
49,25
86,5
37,17
56,31
63,3
35,20
97,9
75,5
57,25
88,2
10,22
53,16
8,17
39,5
47,32
60,8
89,14
51,7
14,23
28,31
16,12
34,20
82,22
46,32
27,4
20,15
9,25
92,19
3,19
98,3
29,30
80,25
73,31
