inputName,size,a[size]
values_11,14,"{6716570550192379863, 3524000128888497781, -524189473072214745, -8004043869847131517, -568996914510545018, -818933702172110152, 7622900518259048993, -4326445488898481767, 5801920291123287298, 1088605222412650581, 9153274616072271765, 138022825537337151, -2294708757988398514, 4872288211780948880"
values_19,26,"{-4542623494648971355, -4803134002225837862, -5922841391263406505, 1552504634729429614, -7623535789714658152, -7433543990183050822, 2882310856241899107, 6893515476037731343, -2592460401502027586, 3089777111337868738, 2068563834008710203, -3161124938798689747, -4306024630626622498, -3493644725597304033, 1290710729744744552, -8918411854547200138, 2511128337302327889, -3357746729311711196, 6754350666176424493, -2525762716827073923, -3766643867151775385, -7852299419651666096, -1012711873362495845, -2995819470200664710, -1546647703816393485, 8421586812763801743"
values_12,3,"{-7593265657442186589, -4072456424340275019, 4100392517103008583"
values_38,24,"{7045126187559475958, -2394245779190775596, 1375101991470116225, 8320092380640116715, -7333874178035040991, -1604580643165836655, -5203007787342415364, 8009760618808465446, -6284718483149272615, 1109913795996464518, 574986804793893079, -7579413085772767305, -6236058049302927326, 5486392046559940894, -8531604619821674330, 8088133571156699889, 5883011000061382479, -6829056211907759765, 481447795091480981, 343097460663671017, -6393910772552273055, -2654230600275405597, -5291926295162765392, -4438905125027410479"
values_81,7,"{4813598396655390176, -8643581844208080394, 5624084334695781207, 702621258861382724, 5629987389218261056, 4531222271328224570, 6896277596782045385"
values_5,22,"{-509577364637560828, -4421187668801227341, 7303367476782476184, -205243306578313728, -3358806916948556778, 4585724833503403896, -894339136301910761, -5019761170070984414, 3018968050294823279, -1656142900150371693, 8654218306136175660, -5037226120129076486, 411384439223376889, 9050490443248291683, -5343307617250260987, -6275780037086949056, 6094134293497551970, 546566964842568618, 975939385173764307, 2842297168383746408, 1798756347750205752, -801865212204703"
values_40,6,"{5244151240603459728, 7561826755771338091, -7334876659826970161, -8038366864287570317, -1556815036669199056, -7738382127406770193"
values_70,29,"{6997235872611232597, -7168500706205196870, -1560936451152287545, -5510395944272551397, -1589999694280967302, -2855999114195030624, -3387628356655389214, -3517100860494269902, 680120283691246769, -5584895224205878406, -7278373759057325405, -1525164446638524631, -8377420531569282829, -3042763890715556291, 7174962854447818422, -3432137031501510794, -1504473002669540901, 6212222630740067404, -5807863838910516908, -4956265427256591517, -227065964649992082, 6196227547857612277, 685570827651043714, 5551541175860996649, -4517785433361926698, -3461597017913037849, -3256741894253752059, -9042669601214736065, 3477787910735410797"
values_23,19,"{-2660362908136944155, -2276689570415083082, -4871563326359446531, 4078511764845353549, -7466852329061742248, -8081640817966071659, -4291567067505780036, 2429670635886537078, -5701523657928692995, -7642610210806586693, -578798450920477713, -2407528627149833943, -5234239927716613364, -1893942888779248825, 166114981824243089, 4584710648885805480, -5837215264461045282, 8095906587149288356, 5308568048914471270"
values_72,19,"{-2099830265853990332, -3318586965483133581, 7171241768177506100, 6529482920000527687, -1675021223563134591, 2482963922260553509, -3486819436970927811, 5622220917540246568, -3669193566413157314, -64030609067747349, -4742132157354247242, 1541628436008874735, -3898864190291624121, 4645730432102600228, 178366750496978405, 1359786168982442442, 2695735757807660132, -2996653805990972760, 2482168387483666466"
values_79,17,"{-3524703926124651797, 6981171005621266291, 882171908571794585, -6042015315598319531, 6927392665555141159, 4422221883334717564, -2534216443059250107, -8378306478485279127, 5706932639618179602, 8633516417682301774, -7758863395487724871, 3833642320362325652, 7096968780453829099, 250547766187802151, -2239597331511893993, -4549831700312681927, -2032826261724077774"
values_78,2,"{2170498657733765604, -5649645843617518511"
values_87,20,"{-3794904170909024612, -5961684815803272675, 684112720053894560, -7132783371893299727, -7662221334297236105, 1806814289810845970, 9009606910780994445, -1148867942026727913, -8122201600688522647, -5411492896317797546, -1151385121054665744, -3231365777297326046, 8108262656025489736, -2772337980358602251, -7921919486879498714, -5322635209824023588, -6030112530539532124, -4679187170348559033, -968557259427417518, -6349638360961909523"
values_6,26,"{1404945168521959395, -3520362666081745491, -1939911534329146215, 3215318521426267866, -3508816585630349052, -4381492668778655282, -2820398310994361966, -2540072661588645437, 4543753625015975022, 2144526034930381467, -2518869990614326753, -5694573486763079891, 8015225413872493901, -5176803720901791415, -5373625325177511819, -1963637482040096576, -8493017757138200256, 6156923868990524179, -2942300416644348909, -3078921695823904761, -5305163062258042900, 7497589558268272353, 932074041516296667, 5955036416603279236, -4250768904605866240, -753280226850717235"
values_68,28,"{-8505765440882541968, -8771703028110162180, 2363400701897675152, 2230344840251857140, 2744953496196348635, 6431421310921258007, 7552788909547531592, -8551815353748737826, 216909097867129605, 412327906743152523, -6786841035298879155, -7230945687130575545, -497059542889883493, 5155459901031759648, 5798615896378840224, 3748151068073796923, -329983777487277197, 7526028149016993546, -868512958925250350, 1894024253087664267, -4814226638554442192, -7268041497487671562, 2159550347707029141, 9222872232050408636, -2850828856572491469, -3143197286436582046, 6526803683356712528, -7193897395108230733"
values_69,20,"{-6009270525151980019, 6933406410358493315, 7001158815600812058, -356807723691648794, 3474983857773294097, -2026454614760565154, -8976356497944944967, 8447001782104026726, -7433190966641657617, -5613516250326717021, 9146027449007153316, 6127919112749514714, 2209924849635603679, -1959692220153349157, -7033834315616907703, -1582415481202693049, -8323762588348330015, -3916410484481615058, 5708564449967835374, -4814129739125146086"
values_1,28,"{-7246316215667451920, 4067759364306488343, -1773340768045326239, -253762153285238938, -5417877607702010800, -1574235527690495735, 2414063188509522709, 4852014384177625691, 2276019588154112779, -7869028516813399319, 4663536568854137899, 4222292318837275726, 7253127931928031734, -422472782335996129, -5796488092864953755, -8987982861466003747, -2084662594487015779, -64322609998709026, -3689162076825475785, -4878933194877937633, 5362918925238368710, -7696921459542558722, 4220084486511459740, 5874808409552918119, 3101457608978816630, -3400922797715352501, -6607228041110582225, 3257783190284709018"
values_45,25,"{4783585612696485480, -1563073864172531258, -2784457417897623055, 2240717702179293514, 3911486243866778479, 3033348204813693189, 3106082593229447694, 7501514904113907997, 3366067786772292313, 8640969979766103290, -4116162869963640420, 3784054345104941506, -5686465142936255467, 1132166609106265004, -7533722973532494258, -5699972884865568101, 4206447069612588105, 8222063392427455478, 7163107382288790602, -6528269702578144393, -2363147710270037531, 6631973896877052547, -5603675602405549511, 6250926489899395684, 6497108734411299538"
values_33,14,"{-6108683899474685974, -4281177184178548477, -1999632845005473933, 3287111649931572053, 2825547664650017293, 4544609407988654592, -6604359161707656426, -8843180935440494782, 3165854114622017340, 985167240087543749, 5565368041274216754, 8904596497020829747, -8104868928706360432, -3265944404472289735"
values_15,27,"{8641194554142824925, -5641791524160785689, -2971655881857264439, 4653547950091028164, 5989577250933724690, 2607388611331538989, 6655642903642347213, -8267977427546624655, -5347933179189322843, -3309730965643896941, -7189727402463190090, -1735716752029577762, -4065479665920718179, 7564474296720739698, -6815647985656288314, -1762042317476344050, 5448294457779944939, 7006106448722625524, -1524651869410578166, -6619938027972975217, 2010709672490670470, -5373966417018833230, 3364051910324602040, -3287508362320158552, 8077593190516547575, 332121584182618417, 16766136707085274"
values_93,7,"{-4970089400396312716, 7398028168062185943, 140428748507428053, -9030297401287000193, -9006685595998347373, 7144642032168521364, 21857330106411398"
values_24,31,"{1749563212065236547, 8940315744189423296, 2659928194856122981, -3420695397033062, 6573289219336713262, 608049419865193317, 3084817959918671228, -2374580121297974349, 1275334039693895104, 362020650248951757, 6074731417263137001, 6538137449816275336, 4270369298655842306, -111029648577856843, 8226205548003207459, 6504301532971673693, -5113374012961528996, -7342539477843412639, 1628533214468304275, -5345782601033552613, -7333988543652027483, -7496748724937842547, 2577561402089722596, 4389001613317110316, 416834530163585207, 737234670919743704, 3779259821925732814, 2418344935675978258, 8277773379373115781, 3127185135695377018, -224990967086210500"
values_25,14,"{2159915763663178452, -1103719453845277791, -3327936498099887988, 5799211974702273894, 4806396963318214406, -954421271814123436, -2472780667837890764, 8549945281689662972, 3270304831096103905, -387871390293859307, -9216295422688123203, 8132446771984693458, 56865342648701212, -3974311856677759931"
values_26,7,"{-8723599923692747019, 8329044255737744103, 2163206973158179018, -6158285441306153186, -1692769094840349052, -3829193878310539814, -878659853282880163"
values_48,13,"{-5518906975967658278, -1618955881618895737, -997610845625512317, 1122703565061420012, 1804955408004782842, -7063047346704226879, -983590534606282914, -7715756252728094155, -444574227350483246, 7942502771549288193, 5821133065188485078, -1805024060550651507, 715470436233901262"
