inputName,size
11,16
19,6
12,5
38,7
81,27
5,16
40,23
70,18
23,18
72,3
79,11
78,23
87,19
6,15
68,8
69,8
1,17
45,11
33,17
15,23
93,15
24,6
25,11
26,18
48,24
71,7
76,19
7,6
50,24
22,12
4,19
32,23
77,20
91,21
42,6
13,3
41,11
55,23
31,7
66,12
65,27
62,7
21,14
95,28
84,23
58,17
64,9
83,14
94,27
0,11
99,25
96,20
67,12
61,28
43,11
2,28
54,16
30,3
59,2
85,11
74,27
90,20
18,23
52,10
44,4
17,10
36,9
49,20
86,19
37,13
56,17
63,8
35,3
97,20
75,5
57,18
88,26
10,5
53,13
8,25
39,6
47,16
60,5
89,15
51,27
14,3
28,21
16,21
34,16
82,6
46,28
27,16
20,16
9,14
92,12
3,10
98,9
29,27
80,13
73,4
