inputName,key
11,-225
19,-31512
12,735
38,31651
81,-225
5,-13067
40,21180
70,21180
23,23925
72,735
79,-31512
78,31651
87,-18244
6,-24012
68,31651
69,-31512
1,-225
45,-13067
33,23925
15,-13067
93,23925
24,-23190
25,-13067
26,-24012
48,31651
71,-225
76,-24012
7,-18244
50,21180
22,735
4,-23190
32,735
77,-18244
91,-225
42,735
13,23925
41,-225
55,-13067
31,-225
66,-24012
65,-13067
62,735
21,-225
95,-13067
84,-23190
58,31651
64,-23190
83,23925
94,-23190
0,21180
99,-31512
96,-24012
67,-18244
61,-225
43,23925
2,735
54,-23190
30,21180
59,-31512
85,-13067
74,-23190
90,21180
18,31651
52,735
44,-23190
17,-18244
36,-24012
49,-31512
86,-24012
37,-18244
56,-24012
63,23925
35,-13067
97,-18244
75,-13067
57,-18244
88,31651
10,21180
53,23925
8,31651
39,-31512
47,-18244
60,21180
89,-31512
51,-225
14,-23190
28,31651
16,-24012
34,-23190
82,735
46,-24012
27,-18244
20,21180
9,-31512
92,735
3,23925
98,31651
29,-31512
80,21180
73,23925
