inputName,goal
11,76
19,92
12,138
38,26
81,76
5,96
40,74
70,74
23,96
72,138
79,92
78,26
87,205
6,230
68,26
69,92
1,76
45,96
33,96
15,96
93,96
24,33
25,96
26,230
48,26
71,76
76,230
7,205
50,74
22,138
4,33
32,138
77,205
91,76
42,138
13,96
41,76
55,96
31,76
66,230
65,96
62,138
21,76
95,96
84,33
58,26
64,33
83,96
94,33
0,74
99,92
96,230
67,205
61,76
43,96
2,138
54,33
30,74
59,92
85,96
74,33
90,74
18,26
52,138
44,33
17,205
36,230
49,92
86,230
37,205
56,230
63,96
35,96
97,205
75,96
57,205
88,26
10,74
53,96
8,26
39,92
47,205
60,74
89,92
51,76
14,33
28,26
16,230
34,33
82,138
46,230
27,205
20,74
9,92
92,138
3,96
98,26
29,92
80,74
73,96
