inputName,goal
11,27
19,150
12,168
38,101
81,27
5,106
40,188
70,188
23,230
72,168
79,150
78,101
87,109
6,104
68,101
69,150
1,27
45,106
33,230
15,106
93,230
24,158
25,106
26,104
48,101
71,27
76,104
7,109
50,188
22,168
4,158
32,168
77,109
91,27
42,168
13,230
41,27
55,106
31,27
66,104
65,106
62,168
21,27
95,106
84,158
58,101
64,158
83,230
94,158
0,188
99,150
96,104
67,109
61,27
43,230
2,168
54,158
30,188
59,150
85,106
74,158
90,188
18,101
52,168
44,158
17,109
36,104
49,150
86,104
37,109
56,104
63,230
35,106
97,109
75,106
57,109
88,101
10,188
53,230
8,101
39,150
47,109
60,188
89,150
51,27
14,158
28,101
16,104
34,158
82,168
46,104
27,109
20,188
9,150
92,168
3,230
98,101
29,150
80,188
73,230
