inputName,key
11,87
19,-23
12,-20
38,-82
81,87
5,-117
40,-105
70,-105
23,-110
72,-20
79,-23
78,-82
87,-120
6,-119
68,-82
69,-23
1,87
45,-117
33,-110
15,-117
93,-110
24,97
25,-117
26,-119
48,-82
71,87
76,-119
7,-120
50,-105
22,-20
4,97
32,-20
77,-120
91,87
42,-20
13,-110
41,87
55,-117
31,87
66,-119
65,-117
62,-20
21,87
95,-117
84,97
58,-82
64,97
83,-110
94,97
0,-105
99,-23
96,-119
67,-120
61,87
43,-110
2,-20
54,97
30,-105
59,-23
85,-117
74,97
90,-105
18,-82
52,-20
44,97
17,-120
36,-119
49,-23
86,-119
37,-120
56,-119
63,-110
35,-117
97,-120
75,-117
57,-120
88,-82
10,-105
53,-110
8,-82
39,-23
47,-120
60,-105
89,-23
51,87
14,97
28,-82
16,-119
34,97
82,-20
46,-119
27,-120
20,-105
9,-23
92,-20
3,-110
98,-82
29,-23
80,-105
73,-110
