inputName,size,available[size],allocated[size][size],max[size][size]
values_11,3,"{3469889095128477694, 3801675730239892043, 9210172496630078678","[[5170198781898663110, 4268031685749409670, 2634442339244705887],[4497023338450660397, 2991034283406749423, 6992094890040915549],[6578515585539993569, 5148620720138855909, 6956923067298407364]]","[[7499643083325820358, 1768571516921530607, 5068117286245625528],[6216788367895571262, 7960383648273987376, 1628685518265071909],[6316118202631732770, 7430058365590305628, 3055790087476470448]]"
values_19,2,"{8823021479441086356, 8019572570619219790","[[7876851130243801062, 4441183197923164151],[1602960741634407273, 1907323028405393886]]","[[753848786056510219, 7346951223757037672],[4200070948321574601, 103624644952503718]]"
values_12,7,"{1941336740061505514, 2198389988453874085, 9169722123318225206, 8463741323511150047, 2009681261183519074, 2433149222651756629, 5805863290303636840","[[7668732901140923598, 4582867826269469097, 3772844703027967927, 8771584886359256664, 1897243839496665157, 8047947849855761726, 2254039544873985430],[7053849467296982986, 7316167993711281780, 5205944475558386385, 7544100962525770076, 4264789694882392195, 8384497328071209626, 165855166960064644],[7561841423438993504, 4211968511096267922, 7799026552403241476, 4565511848080989901, 7286078159938819877, 846919937784418845, 2486275385296222567],[8563483678594992576, 6255991058947895912, 6388393610363188840, 5946896362431286159, 5358181364103477317, 1152964778697616297, 6081128869803228137],[225465565452637150, 4397250525188893220, 7283349658698467335, 678251960565349157, 7468140843468976791, 2032820925424144668, 2619448905310034695],[3724350633422639232, 2354682679020129790, 7180837902249976352, 4601671312602009673, 8132175313252123597, 7423141305718889848, 1189668223534691731],[9126499505978890453, 707204924854199876, 3390032337842653850, 4548229750218115867, 4658435412180454022, 8060986887878297984, 1756731634024628001]]","[[431000319947438025, 6739175272882457555, 4561273497803677650, 5188902791928120163, 7309905055036474097, 1087457085595806830, 6373376435972046332],[3293647859531779258, 830604643083659249, 4760764415020713686, 5139670975524798297, 7707626535325013499, 1552667608153386248, 3179782607568091456],[1326375009267522994, 8011987601232335856, 7762357034137020689, 874357896882897238, 7043844473805026144, 4732325048735795620, 5251961978910864645],[4214035163972677792, 5671825948509793272, 3743456871318278772, 3438379333456883844, 3488543793675854717, 3158522671515260540, 2921455977883939860],[2084457688423390930, 6983391438903576220, 7926904611760177601, 2957529566719417582, 5178564365235747665, 183437634030352792, 5170436573309595619],[269497916394410419, 2939075665344136209, 3508924452934786769, 5594379092950667710, 3989132625010650220, 2105049419430248370, 4836693366764259845],[5953024567247897026, 2016320964013125362, 9164353013628080756, 5981663680497000563, 3215584458781366565, 421352534558305739, 2496397297804602492]]"
values_38,2,"{7631152145564948316, 7003374413696680259","[[609279778312987766, 323724745735205953],[6375292857018201140, 2249247131773000001]]","[[6092615344650980916, 4383453263654335041],[6775459707545677077, 8337867147638947134]]"
values_81,3,"{4126126990217416510, 4591539874569540987, 1332564359831296390","[[7206274373092827000, 9139681761229835560, 7987273571305781084],[3766386523307527629, 5413278546644428478, 3977422531422470519],[7674168587923222096, 8536421622241908235, 8871402081920442795]]","[[7209571433700051641, 1370653624011153664, 621171168384990921],[4371751850277933760, 5396282047208802794, 1914416328271845626],[5622429524991393969, 8188355629449282844, 5899796841464439904]]"
values_5,5,"{3591287889889265710, 7374816901843688923, 4910453117494040997, 1296138830638906942, 2923937561899056544","[[2914687467766525332, 8990792388935697932, 1274893334579983723, 3675654051814095100, 3046594902816582603],[1899167813104181818, 2273609753254496937, 1773331347829981049, 161000352893957882, 2921810534403216789],[6405492676650220444, 1325436208432552792, 1482008532189101330, 3624834691458433020, 6251525913233235174],[7080484051949393680, 6258642046817554835, 8336182657933883778, 5890395961962987441, 9197413315913886090],[3482650691020307715, 5759305735241024233, 2683412708547656268, 7590189354983289056, 3663474050710590833]]","[[8110008530860150456, 6424457816058523610, 280660311669727212, 8139357424445414031, 5229481410615883906],[4629948004012271673, 5872017293725925753, 7344045049558168072, 2349855153179745935, 177155165779432717],[2151927459288323074, 3483894419625601835, 2943707849116513812, 3434701609206519201, 7163932284160100872],[1028533401488007838, 8504993180782912432, 7880933504756723503, 5049808984522673466, 251222355991015674],[6730695661309773886, 2896604333208853982, 7226453252868117268, 6424594513528882232, 2902324701053775882]]"
values_40,6,"{2290295454914913987, 8836629210355837376, 5361010586032882294, 7751207197255586505, 4005724164862466576, 3236475144200763363","[[4973065764911639658, 3775011348770856957, 2350859582247363368, 1352204373327550339, 2839388370569757153, 8341382691887779557],[6147905110772000143, 7401210912250335303, 3800789798250482851, 6327904608361559270, 7806842623859594930, 5200255188457514316],[4698874919073968203, 574873120539095857, 8022546197083601497, 1138639138776345033, 7174761736852999705, 8858536227275505973],[2544734219339523649, 5863924501387463346, 8322314362109916052, 3505636671777129660, 4815867727254272601, 2194014425358786848],[6577297517667765706, 1074923427742493810, 9137542315140209068, 8754083162162232370, 4838196171183749364, 5736824088944388182],[5406447698382369249, 3018767246349164087, 4843712596800624586, 8733921046514075499, 1532292926161106855, 3980371002863522950]]","[[8418087279114775850, 6383241182811446078, 5477305165751697885, 1943892322302781703, 2164270362482809323, 3373636878365028543],[4458572851655708877, 6269804194566346918, 7834779429848914566, 9214927708758178916, 8817868471550104899, 6040527385821538082],[2170835344093796546, 7185215983945721095, 412072306357548456, 24658214961035986, 7640894073992233006, 892783455009135706],[5479460948092057166, 319951896167942319, 4825071193010678, 5166827118011773417, 3255038616762078630, 5504774591236787223],[6980469776967597050, 1029980857941124433, 8370539968043991016, 5767996163407723937, 8216048748990224187, 147638659563707406],[8181838926376650608, 7484862481200224716, 2407871403565084112, 7470484653641344558, 6781104573052450980, 7041712108646889376]]"
values_70,2,"{757389729185403901, 5275940719384785156","[[6982940222180411650, 8793433236192568875],[8442028351972607384, 8496302281375014246]]","[[229198417256498295, 2025318817455795873],[5252713244904755331, 1727905120037682725]]"
values_23,2,"{5786574465087493867, 8171985628710692328","[[614371152428868874, 7821084053298395101],[2733256745793728203, 708869318117373762]]","[[3249857876957233741, 7592060466924316803],[3775497597712736712, 3598664913204351729]]"
values_72,4,"{2837245404763757085, 8115938140301393392, 7506651083023264263, 17277880981612629","[[3820322839690225212, 5092097476582086881, 2598380539630450982, 1981500986567182230],[7226291656009025751, 5196162073937564551, 5424596669753561691, 6049139603028606914],[6525423522405237275, 7665428885010026507, 9063850777014219163, 1868422950854146555],[1457660975683009404, 7408782648635161874, 6782450014675472468, 4989131518584041183]]","[[1069854785966154815, 6241588717848935339, 62092608536420237, 5294183376432584586],[6047578174492778410, 1759843249833133814, 7520779266807744068, 6492611060326226575],[9000332010475175493, 1875434626577278052, 8526343885400351515, 4908548123924020916],[5422207437486205991, 596601228767426896, 8318539352355247908, 3629940612164525251]]"
