inputName,goal
11,39
19,236
12,76
38,154
81,39
5,229
40,74
70,74
23,235
72,76
79,236
78,154
87,247
6,103
68,154
69,236
1,39
45,229
33,235
15,229
93,235
24,49
25,229
26,103
48,154
71,39
76,103
7,247
50,74
22,76
4,49
32,76
77,247
91,39
42,76
13,235
41,39
55,229
31,39
66,103
65,229
62,76
21,39
95,229
84,49
58,154
64,49
83,235
94,49
0,74
99,236
96,103
67,247
61,39
43,235
2,76
54,49
30,74
59,236
85,229
74,49
90,74
18,154
52,76
44,49
17,247
36,103
49,236
86,103
37,247
56,103
63,235
35,229
97,247
75,229
57,247
88,154
10,74
53,235
8,154
39,236
47,247
60,74
89,236
51,39
14,49
28,154
16,103
34,49
82,76
46,103
27,247
20,74
9,236
92,76
3,235
98,154
29,236
80,74
73,235
