inputName,m,n
11,1107956808.305,1177959910.391
19,1107956808.305,607646927.686
12,1107956808.305,729503830.407
38,119506136.512,502269644.258
81,1415822409.889,1177959910.391
5,37600382.157,805665547.732
40,225820153.039,1789527496.423
70,933051321.713,1789527496.423
23,247653348.063,1233719471.171
72,933051321.713,729503830.407
79,933051321.713,607646927.686
78,933051321.713,502269644.258
87,1415822409.889,1203859965.227
6,37600382.157,2102454766.312
68,1106955292.189,502269644.258
69,1106955292.189,607646927.686
1,37600382.157,1177959910.391
45,225820153.039,805665547.732
33,119506136.512,1233719471.171
15,1107956808.305,805665547.732
93,293416826.986,1233719471.171
24,247653348.063,1460090952.833
25,247653348.063,805665547.732
26,247653348.063,2102454766.312
48,225820153.039,502269644.258
71,933051321.713,1177959910.391
76,933051321.713,2102454766.312
7,37600382.157,1203859965.227
50,59685599.092,1789527496.423
22,247653348.063,729503830.407
4,37600382.157,1460090952.833
32,119506136.512,729503830.407
77,933051321.713,1203859965.227
91,293416826.986,1177959910.391
42,225820153.039,729503830.407
13,1107956808.305,1233719471.171
41,225820153.039,1177959910.391
55,59685599.092,805665547.732
31,119506136.512,1177959910.391
66,1106955292.189,2102454766.312
65,1106955292.189,805665547.732
62,1106955292.189,729503830.407
21,247653348.063,1177959910.391
95,293416826.986,805665547.732
84,1415822409.889,1460090952.833
58,59685599.092,502269644.258
64,1106955292.189,1460090952.833
83,1415822409.889,1233719471.171
94,293416826.986,1460090952.833
0,37600382.157,1789527496.423
99,293416826.986,607646927.686
96,293416826.986,2102454766.312
67,1106955292.189,1203859965.227
61,1106955292.189,1177959910.391
43,225820153.039,1233719471.171
2,37600382.157,729503830.407
54,59685599.092,1460090952.833
30,119506136.512,1789527496.423
59,59685599.092,607646927.686
85,1415822409.889,805665547.732
74,933051321.713,1460090952.833
90,293416826.986,1789527496.423
18,1107956808.305,502269644.258
52,59685599.092,729503830.407
44,225820153.039,1460090952.833
17,1107956808.305,1203859965.227
36,119506136.512,2102454766.312
49,225820153.039,607646927.686
86,1415822409.889,2102454766.312
37,119506136.512,1203859965.227
56,59685599.092,2102454766.312
63,1106955292.189,1233719471.171
35,119506136.512,805665547.732
97,293416826.986,1203859965.227
75,933051321.713,805665547.732
57,59685599.092,1203859965.227
88,1415822409.889,502269644.258
10,1107956808.305,1789527496.423
53,59685599.092,1233719471.171
8,37600382.157,502269644.258
39,119506136.512,607646927.686
47,225820153.039,1203859965.227
60,1106955292.189,1789527496.423
89,1415822409.889,607646927.686
51,59685599.092,1177959910.391
14,1107956808.305,1460090952.833
28,247653348.063,502269644.258
16,1107956808.305,2102454766.312
34,119506136.512,1460090952.833
82,1415822409.889,729503830.407
46,225820153.039,2102454766.312
27,247653348.063,1203859965.227
20,247653348.063,1789527496.423
9,37600382.157,607646927.686
92,293416826.986,729503830.407
3,37600382.157,1233719471.171
98,293416826.986,502269644.258
29,247653348.063,607646927.686
80,1415822409.889,1789527496.423
73,933051321.713,1233719471.171
