inputName,goal
11,90
19,214
12,122
38,158
81,90
5,219
40,57
70,57
23,187
72,122
79,214
78,158
87,11
6,72
68,158
69,214
1,90
45,219
33,187
15,219
93,187
24,170
25,219
26,72
48,158
71,90
76,72
7,11
50,57
22,122
4,170
32,122
77,11
91,90
42,122
13,187
41,90
55,219
31,90
66,72
65,219
62,122
21,90
95,219
84,170
58,158
64,170
83,187
94,170
0,57
99,214
96,72
67,11
61,90
43,187
2,122
54,170
30,57
59,214
85,219
74,170
90,57
18,158
52,122
44,170
17,11
36,72
49,214
86,72
37,11
56,72
63,187
35,219
97,11
75,219
57,11
88,158
10,57
53,187
8,158
39,214
47,11
60,57
89,214
51,90
14,170
28,158
16,72
34,170
82,122
46,72
27,11
20,57
9,214
92,122
3,187
98,158
29,214
80,57
73,187
