inputName,size,a[size]
values_11,19,"{105583209284571492, -1893657476889849546, -1683604367018947974, 5701709218524378172, 5255112919175447016, -6002062571497188659, -5862831050478577469, -5247141952967568178, 6987907957368688719, 8236445403124338856, 8823090666915836513, 4841707295692015257, 2931466223915838546, -7481348859271033486, -1687597030240213371, 7920872132804924313, 5078199290700731824, 6510092590065213220, -950253560574601734"
values_19,26,"{-355750092199687525, 2641176127888943245, -7367232631965157361, -4180082359724208992, 9178745689926403417, -7048975146254806415, -4104173555335141308, 2035428381796137952, -5994861510528363376, 918417056623741861, 2074551376463497405, -7114964302477504180, -534959720529165855, -8076103155668000599, 3133181287821106895, 8987945948794874663, -1441739171894772264, 5685418791305353807, 3784568957073674611, -4606009759150433713, -1845993085565706145, -5236987702053327081, 6660514667590423961, 1224696351973659499, -4331446829590372926, -8115299931238993788"
values_12,4,"{-6340493738590019510, 6857699262896462148, -6305969658115082615, -489557709213147703"
values_38,2,"{2754018362033932255, 59738173856548206"
values_81,20,"{1047727842606838304, 7738216688235824783, -3107929507409911951, 3248800361602394553, -5937638743865787932, 2124903473401118603, -6237145939864118275, -574414425701490380, -4762000262399609063, 8182910789868109511, -4139708290145414113, 7439350438713014799, 368000103264461979, -8389633480648228685, -1144552839276485695, -4887224888132519799, -387714526086883337, -6311216402898970083, 7083166031740000668, 1962569920258541482"
values_5,28,"{-1979557290579192001, -7400561505886450237, 532034583816981943, 8117514842551611938, 1026765630066954091, -7621746991510852626, 7755640254667354189, -2286048562861757685, 3508805122924897853, 5806807151071546253, -2047328069434252837, 2623038180588257590, 5564436610368354802, -757563435043533476, 758565608835608692, -1017744372492297079, 1525669134526263737, -1821441219963019485, -5081318428807120816, -8176128308192639887, 5264122691583678931, 3581019042339709305, 6671538061094889382, -5445722151668577108, -2991609685267703238, 663213485112764591, 2794309602685804673, 4781805775572625784"
values_40,30,"{-8617295781915531796, 7493264791337642763, -6225212211093752217, 2871419296796576466, -2696401731587571351, 2223618113534194116, 3015387537440829033, -5613689961557096091, -212113381638629796, 2712971792883172347, -8544740737709992925, 1220848677504527507, 1121692615393781026, 5803813167655405136, 539625711994479310, 560553480633045060, -6215632487199103580, -6471412439262452299, -3183320035019398207, 1098683451635958137, -4233771259867705171, -6165829727780357796, 4659131537681336231, -7371351065508671825, 9072178892737323634, 2980280190614184240, -7417028587900665354, -8200883105205018126, 7283254729781841083, 782270351239068493"
values_70,9,"{-1400107801065407022, 8946028966743430083, 5496030489413404537, -5759580135381247347, 6668749426968850037, 6765623352880957161, 8964588359709091308, -7209831217607535301, -7411918036459805766"
values_23,24,"{-5005464896979884822, -8194605940073052299, -1760998106714256189, 4944086936618512194, -6538144158125703290, -3677605683070620166, 6170590594277892119, -6368343983955519654, 8764018025904765989, -964172552674832727, -230591065884675691, -1193579122151411540, -2107055156574951115, 3974719674273402169, -7937205487971450600, -3601068185927351950, -814999833342742161, 2521171199039151897, -7202874530485190667, -5742165953832049923, 2990664120086288402, 9140602941989401672, -9183432291936579579, 5644888766807544560"
values_72,10,"{-4998383362983564492, -8239519704122865613, -3195998044095421963, 7652118278585275008, -2511910437374853396, 6332550330362765174, -6446559666415196499, 6976922867259417581, 2960507566224523406, 3586346279930574704"
values_79,16,"{-1624686541362513399, -4521405687128475221, -4600490281306893139, -4851978992973351328, 7986013981755981584, -5475416389240954212, -7868242026176447775, -6849639144697550867, 7024938106881683838, 3955477425769354643, 39601376661966031, 7785697324843605418, 2430187908679280573, -1411040387941023500, -3720766005745787226, -3513772140174058873"
values_78,10,"{-2065455060053264074, -7155661102657881964, 7967963480845999085, 1593689779923185952, -6868969556830776243, -7482933967657780049, -9010943096114960987, 1156601813049767046, -4960393202777996386, 5592110085483138172"
values_87,6,"{-7540321194457486576, 6202890366851490283, 1849915070470549822, 2951994730460145163, -5949461003910180968, 9105435335133621249"
values_6,13,"{1388454608234060131, -5125544876961573944, 9009929727361781192, 7032931751006939299, -3027116380967020045, -538377117344014454, -8869820233991326558, 364578408349206418, 2785665367759824075, -4125376097255829357, 2643525190429853385, -6896131846120162143, 5893104980076079000"
values_68,28,"{-311537606542836062, -7650951365004837572, -4721770664676054415, 197108710667705498, 1537228585971021521, -3221894625456373954, -4309837226987268254, -8200002685164539154, 3454293179503737043, -2675630135663242012, 7401741259660169126, 528758051312664472, 1365841502397238067, -160554646056602478, 8255574171903230724, -8193773688748496241, -676794708703436881, 6020314755364187843, 699563235429455969, -3266767383904441642, -5873380509422448510, -7196370842157025883, -7600235013407438079, 7807721759374944020, 7525338338819318864, 1721222970717563299, -1217848664560391123, 3081695086691610036"
values_69,6,"{7768173852207527455, 4123488752509711417, -4309704187097134129, -3118156300715177521, -1313615456580771074, -2986913943139412458"
values_1,25,"{8522980026822981543, -7048190652915022978, 9014267836695035489, -3846827219105396542, -6879582890348115072, -6086313744615779541, 6001278192066444304, -6730538054264295486, -71672259563642934, -4593609589619539685, 2547464211332943932, -4464185633088143475, -7894151695492089108, 3158197397243794248, -8955680388304825452, 305664543212603372, -6594294392009988102, 2178437148159256392, -1786904891220691253, 2459655448556856234, -6310893311621115201, -7500344942902117476, -8584391799754360452, -1205499728641079015, 508357723367367540"
values_45,16,"{-8409942306959854998, -6057429474831085769, 9195570713636628632, -5922975463495217629, -5737545894291117966, 4736316359416883892, -5745566462719202669, -1064787819551337583, -191097503453627592, 8040032861124063728, -652195747171478537, 864499942344850118, 215142890302540791, -7759088581654638165, 9014676699755243382, -7677991959623661995"
values_33,21,"{3277419242486656583, -8711510965464004962, 3564390117574717092, 7765131409192666082, 685606335133081580, 5334203551221137878, -4290951494810469243, -7086753016277943756, 5989876609419503769, 8454151994488159538, 1358412504400563388, -1575462540698374603, -6619619659980835189, 4283023034607782484, 4632535794077697952, -1948612328994835626, 8075565643097226997, -1730276248663369563, -5473183152796300011, -1991225416854646204, 7715258152646950787"
values_15,20,"{2568492545510285281, 3726707682584444641, 7152846370481433413, 3193615936955500223, 208210654437945634, 8577381184609506280, -959279711723969151, 1801216035057023532, 641680775731895349, -4749609473764843936, 4143448465992061016, 1260652648024500557, -7018959771759596991, -2797254975253931742, 4595395445182887695, -5773315294986624046, -8629210701849993858, 1855258974429321726, 183250796556021768, 2391125313272347988"
values_93,14,"{8682356831124715158, 875293547190237124, -7174908380723675191, -6673231752818372004, 8480388228368182510, 4178088727879965931, 7054720100586835876, -5674096316565919678, 8955215534889438730, -5087278492721362711, -1574567034480472290, -5246197748915822915, 3604090374778385276, -3636556232470132816"
values_24,30,"{-4131301467148564773, -2296595988731006044, -6160773551697664941, -4549371306713051461, 9069242340886284720, -2052087522556590149, 1188698747059365725, -8933745394675091628, -4253353887420840523, -1574236515645865535, 1187748989315544497, 4893699351808341396, -516882034539740408, -6688088490799778977, -4685869666107700973, -339626828404440540, -1719160733264655347, -1492208722081628214, -8849173823542857425, 5762813914063361217, 4650681568847281195, 2804007862971999062, 8354595926801523519, -2157373345162488453, 2352998969410094836, -5384776503822170518, 4079376624672146955, 6644190849031943777, 2525737427717707971, -3337094171542361639"
values_25,13,"{-3371155680700051936, 8240597672121638460, -7933559215119082578, 2521413788702097492, 8450004237794487836, -682895190270206894, 8502656174499594358, 7365611193775756188, -3320895603813316233, -9052613556013742584, -7113129601770780394, 2546330189873997636, -1716975712797656443"
values_26,14,"{-2383635845186766073, -2176753713989891533, -4681912195743902724, 2053827032056881298, -347191928920503547, -5291595913071908164, 7777458593111577441, -8608371774387092896, 1676357409599054543, -1884733897300574834, -1556459219291366746, 5701330810553691094, 4254675056649118422, 7055117966400050437"
values_48,5,"{-7710061354859213523, 6315589919434737296, 6699998727070074326, -8190592162616017578, -1313454088460377292"
values_71,29,"{3272318631377310189, -1391724911179470503, 8577587790021078041, 5890325944504974600, 7612657661879763233, 3340094798455370722, 5932872613319984608, -4771756019305380272, -3702287435677558730, 8120342033306931025, -6455730442416800984, -5958548976554760846, 1932022046580238579, 5053242458296650416, 3855373899771516494, -289459436704442632, -4624853831378138551, -7553425371377372279, 654448424015849854, -2994966662128971454, -2651538023786147191, -6041538623701416827, 4414298768500898454, -8407611809700611515, 6213341253415497212, 4514971663338214301, -1630230802961509346, -3698497237553966531, -1111036996247862503"
values_76,5,"{-5277300520024951376, -4955160151347595215, 8229550814842351880, 5563685837055730519, -2671184854057948641"
values_7,26,"{-9048150148436147641, -1237052271900794231, -1815421667912528507, 7910517938347368762, 1344118796423644472, -8832830076453490194, -6908350819987359635, -8896006104805809999, 2845034889556413170, 6388542896901560138, -4642472048736158469, -6870494222649683752, -4380762453885126291, -903809130740478801, -6120894389380355105, -785147504770761383, 4905220534595190285, -3489337481442308112, 4494907395229084013, -7955541530539157778, -2180084918800393691, 4908048809195553190, 8269780649139458833, 529015637296239418, 8473640847837472768, -2174004401931006892"
values_50,29,"{7034650554324129185, 5097082719291887195, 4878234914074624884, -51899764452994800, -8003422744965540991, 5339642887282892605, -4876369305888436662, 6176123858549739226, 5021676578661966739, 2549875715440293439, 3223413132722250112, -2713208171019027229, 5980392164665755591, 1960311594836239052, 1807486891206947805, 5956687006379583889, -2157683035884786789, -7657391836658679358, -5752669341009914939, -3350620401197487142, 2237776853403536644, 4879641050224705475, -8035683984516011757, -2229623582175700312, 4475456330814766340, -2133249265789873204, 4925405580689504966, 3812256030342668068, -7758846469484096961"
values_22,25,"{-4583057633423035813, 1162162533420991030, 8928874953265605301, 2177826528562210950, 7611941408068472955, 3560541673227297818, -4568758551970496421, 8512769712029895258, 1310722279095864078, 7650735214758757402, -3149409940012545123, -2002615143695592009, -615283426248644931, -5579333168257668231, -2201606010435679348, 1918805479515187363, -8461053719671099856, 3221422019426733113, 8111181911601738840, -7831999320350934621, -8113202996342759476, -8254499286995314718, 2690329004912057059, -231278171274129224, 501367760167347205"
