inputName,size
11,4
19,21
12,25
38,16
81,26
5,17
40,4
70,32
23,27
72,13
79,10
78,11
87,27
6,19
68,30
69,25
1,32
45,5
33,9
15,30
93,11
24,28
25,13
26,31
48,4
71,15
76,22
7,32
50,13
22,21
4,3
32,5
77,10
91,25
42,26
13,3
41,15
55,23
31,7
66,10
65,6
62,25
21,16
95,11
84,25
58,28
64,11
83,20
94,20
0,3
99,31
96,15
67,20
61,15
43,5
2,25
54,24
30,9
59,31
85,31
74,31
90,27
18,26
52,6
44,17
17,12
36,27
49,15
86,11
37,26
56,14
63,27
35,28
97,25
75,30
57,28
88,20
10,17
53,20
8,29
39,14
47,30
60,15
89,14
51,15
14,6
28,7
16,14
34,18
82,23
46,9
27,15
20,3
9,28
92,27
3,4
98,2
29,6
80,23
73,4
