inputName,m,n
11,1462997774589741153,6911084328974173912
19,1462997774589741153,2189702558414308472
12,1462997774589741153,5177716813175095167
38,2509698632941933189,1911329264870466167
81,4799426219227629577,6911084328974173912
5,3253945390891185654,8272060775725492433
40,1022012342540717803,3050532341882904908
70,6897996166030739077,3050532341882904908
23,6199650255299189113,6812016740451054190
72,6897996166030739077,5177716813175095167
79,6897996166030739077,2189702558414308472
78,6897996166030739077,1911329264870466167
87,4799426219227629577,4447218164640216016
6,3253945390891185654,1755748345439882047
68,5967929881261039454,1911329264870466167
69,5967929881261039454,2189702558414308472
1,3253945390891185654,6911084328974173912
45,1022012342540717803,8272060775725492433
33,2509698632941933189,6812016740451054190
15,1462997774589741153,8272060775725492433
93,5681952508906857913,6812016740451054190
24,6199650255299189113,4454389064866319734
25,6199650255299189113,8272060775725492433
26,6199650255299189113,1755748345439882047
48,1022012342540717803,1911329264870466167
71,6897996166030739077,6911084328974173912
76,6897996166030739077,1755748345439882047
7,3253945390891185654,4447218164640216016
50,8529210056371995719,3050532341882904908
22,6199650255299189113,5177716813175095167
4,3253945390891185654,4454389064866319734
32,2509698632941933189,5177716813175095167
77,6897996166030739077,4447218164640216016
91,5681952508906857913,6911084328974173912
42,1022012342540717803,5177716813175095167
13,1462997774589741153,6812016740451054190
41,1022012342540717803,6911084328974173912
55,8529210056371995719,8272060775725492433
31,2509698632941933189,6911084328974173912
66,5967929881261039454,1755748345439882047
65,5967929881261039454,8272060775725492433
62,5967929881261039454,5177716813175095167
21,6199650255299189113,6911084328974173912
95,5681952508906857913,8272060775725492433
84,4799426219227629577,4454389064866319734
58,8529210056371995719,1911329264870466167
64,5967929881261039454,4454389064866319734
83,4799426219227629577,6812016740451054190
94,5681952508906857913,4454389064866319734
0,3253945390891185654,3050532341882904908
99,5681952508906857913,2189702558414308472
96,5681952508906857913,1755748345439882047
67,5967929881261039454,4447218164640216016
61,5967929881261039454,6911084328974173912
43,1022012342540717803,6812016740451054190
2,3253945390891185654,5177716813175095167
54,8529210056371995719,4454389064866319734
30,2509698632941933189,3050532341882904908
59,8529210056371995719,2189702558414308472
85,4799426219227629577,8272060775725492433
74,6897996166030739077,4454389064866319734
90,5681952508906857913,3050532341882904908
18,1462997774589741153,1911329264870466167
52,8529210056371995719,5177716813175095167
44,1022012342540717803,4454389064866319734
17,1462997774589741153,4447218164640216016
36,2509698632941933189,1755748345439882047
49,1022012342540717803,2189702558414308472
86,4799426219227629577,1755748345439882047
37,2509698632941933189,4447218164640216016
56,8529210056371995719,1755748345439882047
63,5967929881261039454,6812016740451054190
35,2509698632941933189,8272060775725492433
97,5681952508906857913,4447218164640216016
75,6897996166030739077,8272060775725492433
57,8529210056371995719,4447218164640216016
88,4799426219227629577,1911329264870466167
10,1462997774589741153,3050532341882904908
53,8529210056371995719,6812016740451054190
8,3253945390891185654,1911329264870466167
39,2509698632941933189,2189702558414308472
47,1022012342540717803,4447218164640216016
60,5967929881261039454,3050532341882904908
89,4799426219227629577,2189702558414308472
51,8529210056371995719,6911084328974173912
14,1462997774589741153,4454389064866319734
28,6199650255299189113,1911329264870466167
16,1462997774589741153,1755748345439882047
34,2509698632941933189,4454389064866319734
82,4799426219227629577,5177716813175095167
46,1022012342540717803,1755748345439882047
27,6199650255299189113,4447218164640216016
20,6199650255299189113,3050532341882904908
9,3253945390891185654,2189702558414308472
92,5681952508906857913,5177716813175095167
3,3253945390891185654,6812016740451054190
98,5681952508906857913,1911329264870466167
29,6199650255299189113,2189702558414308472
80,4799426219227629577,3050532341882904908
73,6897996166030739077,6812016740451054190
