inputName,size,a[size][size]
values_11,7,"[[-3884262239384952343, 3354224288295987032, 79424537592893438, -6409759887962690047, 2874374609506033524, -5002028869716672258, -607177313303537571],[8371719892294670382, -3344925468125542902, 228846412247220250, -6826503964377961152, 5127066108871659572, 7876523601745454889, -6662627197877202262],[-3530963148462300803, -3553050923644667085, -835688914848216706, -1748886330946020201, 5464861116416953290, 3035016275077826708, -4451140021563909962],[7891136917649313702, -3185948974267937448, 3252412515873102149, 3482306097740171004, 3870595557909435845, -4385211496855495845, 2803847739940556911],[-1649400975432120565, -5688598030632317775, 5318170233247105688, 1260205246118325009, 7420116066463861637, -3560805217987355158, 5866692406190455542],[5940300494659682485, -9141087677207919313, 4437359797898580514, 8464739118596743231, 1050749659046277502, -5876493628920646138, -8129084575526661009],[-7899810583636639940, -8882560036034118710, 327193242407150938, 6541723728550956716, 8709895880201429648, -5722248777339103920, 1135316855878732149]]"
values_19,5,"[[4012896121569267088, -8345863031622074958, 3307085945721420832, 2093860261369665565, -1830252853269962320],[-6479903400344553163, 9116137578420352686, 7761540157411194002, 7023002549129265752, -4961035874826510070],[-3862308682564297837, 8950372464156240302, -4774601390904256013, -7178410458705236455, -3856204167206898405],[8268213550282892206, -2059072825922370476, -2272761700780480014, 2129065843953339134, -7982608413631250382],[1290729041271129811, -7605752014223741901, 7588356140731788402, 8385401883890380973, -5808606923191959685]]"
values_12,4,"[[8510064297904887747, -3744846655684990713, 1165757536210240379, 7475456840819654760],[622473081089038358, -8525678222735084003, -3210592530998224107, 9112894584986482065],[14083939960729666, 3028062027281749474, -5617801745745414211, -4790365201637508046],[-8685084256712103784, 8553963142877834183, -5987534106139258740, 4800781238581900699]]"
values_38,8,"[[-4129090113803033564, -879548381571340913, -2925829926818692930, -2084924291929976210, -3073444488218965132, -4020195480216493554, 3379822178115245842, -1780818845023898003],[6454694046612096861, 7569338021164717795, 6621822835891226289, 6101521345995739990, -2937322190151776573, -1306550488219089010, 6323230483988723586, 6407818154801693610],[657896669022180319, -8721801553463496266, -1674545657331585821, -2858520601482566191, 6626411544627349439, 158224190399241828, -3110055684015151710, -7278327323568483600],[1874892396131656081, 5262913139756313961, 5482142030655765589, -6098485520370038951, -7403810567252894930, -3609340739815752230, 7115750495467645496, 7050110007275589312],[5957716819247284089, -7776461325372076162, -8669887681672594316, -3736491031550855740, 2328392179942290457, 6576294785825771316, 3023621237449981322, 1094903790854194544],[-7771480126699201548, -1004875083930690689, 3128175319039889851, -4029751482551767449, -7619504257713822558, 7458270243546967693, -2804864826579608158, 2513221659117987884],[-7814671166273350879, 9001812758989484316, 8978656245119999313, 1493891720599076323, 4241064362586347376, 3058547581355046496, -1443890442456117405, 3882395830008891644],[7947151132259989530, 8337089901124277678, -4230675537522979182, 842132340126741666, -6787743002778303404, 937486818700993625, -6079192893521161886, 4798700635034149496]]"
values_81,2,"[[8943264726981898910, -2528316744855559598],[8524972688695278043, -6188576978720814883]]"
values_5,11,"[[3278156481416553294, -2619046501139173722, -1598918690605446884, -2889604519970756220, -1766399763964671298, 3026016701512137848, -8205805218715993758, -8193442858645531378, 6941561088294921050, -7037101790534932491, -6666194054254104673],[-3973303308528428817, -2407773627978652033, 1023347601459894871, -4749745642718232855, 809156053499508815, -8244534195422858811, 7303522583490596171, -6950614493433039354, -1637912329026795704, -434789647190120886, 4449578284376440782],[5096419209964626677, -4872464743088918128, 8585526840998688606, -1729774424228628511, -9215805138824818043, 5146638108815747697, -5190060318620334565, 2989778787125069799, -9036937486949503218, -2780825616261011614, 7273084884895971422],[-1404782226173274991, 1424732584399613611, -7451243221103089627, -4294941121770717324, 8041716680002357808, -266355089925478889, 8446394905210291167, -8288959115806544435, -170080961756807745, 339475916040111674, 5197046905285712269],[6993770915632134829, -95407803650842348, 1935548160375047037, -3208691406900588084, -2085422109924121748, 1518329389685477895, 1876635074700506674, 286212047040862071, -7535667987704858940, -43715710929427263, -8914215576880347793],[-697785808041603940, -8359912484670494328, -5446218176591519893, -922703770007814741, -1032008909249321365, 1994525072734327456, -8798372420781717649, 4369971834024670088, 896343503706586235, 7611689677045382926, -1119406537984220773],[-8986874032793259465, -6296721676273804842, 5105260617632363097, -9119260804558078527, 5884773930831700602, -47705065550375818, -6527185733925791018, 573441054023121747, -5934802140161131783, -1945265386486532824, 764964980079480934],[567673044345171631, 3843543404781544602, -6635178568847485070, 770600183107965369, 61053049444336745, 915971810984410989, 8013002235201972841, -66937076083695020, 2595372657953377227, -3251228289516449771, 8785018572437564785],[6828562252698737758, -4799160249577038028, -5823905872664848869, 9000184396910316331, -4641917844959989173, -1068400409429025569, -8442511328588325826, -9216789107846887296, 2841861644828971525, -2534409863638749023, -5137991673421618520],[-2183552259449190217, 5747831319430937850, 5300976516899422616, 7881601176794762420, -8264319689425036275, -1379185202929299928, 8629871969472262895, 2066114683351441445, 4699327068224877436, 6484606457406117596, -7540529837319807256],[8692921545824180662, -2238736788038185183, -6570672630143263163, -6778801041471831334, 4812224651031748589, 5371636016011303494, 6867937578529468905, -6396271871815145658, -4062262000043890501, -7544184738283594920, 4618336127309401731]]"
values_40,2,"[[935864665032982417, 5529270906786346276],[5794567048982727674, 4293240941846481573]]"
values_70,2,"[[1086292717014340282, 8415272046029931707],[7746337381364065228, -4574392104962618768]]"
values_23,11,"[[831659138813004160, -872185506185658722, -2846051760154170052, -2149261395702965592, 1369594455950764390, 2171091260872143893, -553521670299473341, -5887716920132524554, 7828753438189853694, -324759727816313973, 8559964553998008637],[-8942669390094549688, -209058196758422520, 7440736294755214388, -5699585589388965800, -1830518716094125803, -7006083448287723716, -5363087382882799427, 6068499436328165332, -3372101262883851584, -4660632724605089256, -5550762927049628877],[2526229732873217456, 2052395636707326581, -1644914477808751877, 3268317887878468365, 250787378858997842, -872496601154425712, 7623211259776844390, -597610943980287283, 6616705846950667615, 5275921103210015266, -4653362240609743985],[-6021439158600984807, -70334505066558336, 1297411021353636584, -5899713657665889486, 387085253720086427, -5264953736295583277, -1902158162752303935, 7675884384184505738, 4404737510669300545, -4524131522477478506, 1624485092955943606],[-1947217089457167628, 5056303156320287490, 710651269797483426, 1759428857409216201, 6075975011972612263, 6277738468710660974, 2332533311011753701, 8005273054812324477, 5162615118654032673, 3162807184301934953, -6238591891193104326],[-3275964047899889925, 148154611951902905, 9181704107555052804, -1842567248475379533, -4703777309972775030, 3376622616947072826, -2973032620024461987, -3842568013510059814, 379881424156917597, -514139417700326786, 5337147737729151759],[-8491925093255406365, 6630652524004629438, 1647184300273757294, 545289553178132111, -592990459069408825, 1619968653500755573, -1756585001138628343, -8218712205444528855, -7823034574460493217, 4835198457130645714, 4498008332487129442],[5506884266355178935, 6746090032143417053, 1127926786001140675, 4943984354448342860, 5407541973298210984, 6784357758157124490, 3209466474537688659, -5024366331449118428, 2054887142105336048, 5865910862020736449, -8353858984982532311],[8685396545174554526, -6770194113011777965, 5663790086800059812, 692753677507230651, 5391730946851205164, -4725917311013188308, -1860566491753183481, -7002306087917790044, 4386264024975472635, 5745251683526242356, 2313612662941388038],[3245032732665506820, 3790883121789076988, 7864543121714759778, -2133389524048931358, 441721192579281589, 7025909811580032269, -5280452619018408083, 2448706740610178122, -8144822373709721133, -6743826840302882477, 7800771360315453890],[-272565569992886283, 1037056000871148034, -4434022148789248812, -1331106997805475787, -7740603544892810454, 8908712854488003357, -8985816025716117323, 7844068773671118418, -6562735169615293952, -7329138004021789227, 7081695836234567493]]"
values_72,13,"[[4707253697465592185, 8555540342653684563, 1374334845754479185, -5013207505576330066, -7464956965060020675, -3337090362810692072, -3977191595989497890, 8503840054917343435, -2993037337162693065, 7457000258029865039, -8026351639402475708, 8878308552606173624, -1490269763956443080],[2080067921880865593, 1418120355350294477, 2270778467643545430, -2322353137007660037, 4997363130742430961, 20719719124107741, 7656782138179630459, 3163747623249475482, -197738460240403217, 4710289098490238807, 8555826569013960466, -6953015841252348167, -4876726776446842931],[1516012803411706729, -1585369517547479190, 7227348459403942652, -1355172506682500276, 4296310923048794907, 6069689152167942368, -8186604252310632273, -3885016725836636244, 3047075245569880103, 2543847221046909204, 8777146769423523410, -9193500879412174931, 5242401759397512300],[-8199326513553226286, 9213744919406627082, 8117572957486484045, -279301457433435650, -7073812132291664336, -8956843595171741496, 7429198209786662611, -8695917469698196462, 7546732000476171572, 4304822836664331149, 2049758693374958250, 8158060739750635792, 1015242743720062366],[-4043301164984618215, -8531940801879654459, -2859910406021369756, 606054578882599140, 6516791339384878434, 4723704493454534186, 4142091219036520544, 6775805770016103827, -8246687225409582691, -3222990469117434076, 2610353214368717927, 3359573965659236861, -35775364707071181],[1143742137391727346, 7915761981275367241, 891166505615218510, 1771556121900438222, -8011825719454232428, 5147534007191528525, -7348869988257043322, 3685046106681731985, 3761941722873523388, -6754504061421748828, 2734202833557259014, -1539689672470634280, -8414717114328065017],[-1612220114485997398, -329261741074873617, 2328787747339430173, 6073226133206346502, -5488174591574351546, -4171942500624258961, 467397973161250316, -8979906176830700732, -4645203636628576257, -6031467508008024013, -5892664198787694918, 4044564651253387653, -5721258549970152132],[1190010274997959549, -6847466843994422828, -4186223899963928991, -5339421817237686921, -1139772572074780119, -3834668922266688003, 5864563658652334453, -7633343399455414913, -3614707529496246507, -1837723655092090746, -8644015098859078292, 5281722706984613286, 8206963086247860828],[7016190528162647545, -4710358453389913059, -2939440972885623774, -706605155161843685, -6766454698034199959, -8119919675547466201, 6755181304461215596, 2713022888093243595, 6832553162844742833, 8827847291928808893, -8071760758411511492, -5990818642244273430, 3684124859355508959],[-4605678434676362112, 4269561079755717448, 741266685523497982, -5507724039090424369, 4798756389995287898, 6258078200771152162, -3937212123140366102, 5782797578093174529, 2594735835296093119, 8665141635384892382, 6396487630130682600, -6296855995207687877, -8920636550299161318],[-4505975183589783673, 7456804228798424285, 851111842923317138, -6581777387324354344, 5909277824847077331, 6777756162220881057, 6094536066046779191, 3848967107583628390, -596973243868178806, -3273188814390175074, 7161031098752913011, -4067726332835915286, -5409783871791083543],[-4108058779184556799, 8773211918695261745, -2013905535566008010, 8038352188921006906, -2372565768145752627, 6797330696101742368, 718551590991437979, 2395450562673349063, -6022898382823433964, -442005722017576812, 5163572614567163418, -95013733645923527, 1186601857854560361],[2571516443154089245, -2707770221918083808, -4424804262493377810, -7341525128223232712, 2678039816074041333, -5579379723790206999, -2224404506936295222, 1307406217324646084, -7712800192231389614, -7716368027321618829, 3903432580952581780, -9219204392565752222, -7829833849998464121]]"
