inputName,size
11,13
19,21
12,18
38,12
81,27
5,17
40,7
70,12
23,32
72,5
79,2
78,15
87,17
6,12
68,26
69,19
1,2
45,17
33,16
15,2
93,5
24,14
25,30
26,2
48,18
71,28
76,10
7,3
50,16
22,6
4,13
32,15
77,26
91,21
42,12
13,13
41,29
55,10
31,24
66,22
65,23
62,21
21,32
95,25
84,31
58,6
64,9
83,13
94,14
0,21
99,9
96,20
67,8
61,22
43,6
2,26
54,2
30,7
59,21
85,20
74,26
90,7
18,21
52,12
44,22
17,5
36,27
49,2
86,29
37,22
56,18
63,30
35,16
97,27
75,24
57,7
88,7
10,4
53,11
8,11
39,27
47,2
60,4
89,14
51,16
14,9
28,27
16,22
34,25
82,25
46,2
27,27
20,2
9,27
92,28
3,19
98,4
29,29
80,21
73,7
