inputName,size
11,28
19,21
12,15
38,9
81,16
5,22
40,24
70,20
23,4
72,27
79,30
78,25
87,28
6,18
68,21
69,29
1,24
45,4
33,17
15,31
93,7
24,30
25,5
26,17
48,12
71,29
76,12
7,3
50,16
22,9
4,14
32,6
77,17
91,12
42,2
13,15
41,25
55,4
31,21
66,17
65,30
62,12
21,10
95,17
84,20
58,5
64,18
83,7
94,13
0,16
99,24
96,27
67,19
61,18
43,10
2,17
54,16
30,29
59,11
85,2
74,16
90,21
18,9
52,27
44,15
17,14
36,7
49,12
86,21
37,19
56,20
63,4
35,14
97,11
75,6
57,21
88,4
10,24
53,23
8,5
39,19
47,10
60,22
89,9
51,22
14,29
28,10
16,26
34,30
82,8
46,31
27,3
20,16
9,32
92,26
3,5
98,11
29,26
80,18
73,20
