inputName,size,a[size][size]
values_11,3,"[[5693200705625056247, 8318733254652869754, -6913978450958022339],[6620072596633134464, 4811569970406753606, -4793051719862796876],[687316228590579300, 5363593661767954308, -1973215177785154711]]"
values_19,11,"[[-31456575537950506, -2237070503516930768, 6356293372849953971, 2641217176414287672, 8909888955655488571, 6966188034829593346, 2299684696247970604, 4927534813595048323, 4770599060847050038, 6773733506518991818, 1889803861458287054],[639651870712211556, 7106529066108543797, 7699548759091008077, -5999753257867808841, 4756902030272884349, 8927475452777728684, -8516872178820665540, -8789899623793973661, 7151522730426867479, 6466609316138071547, 1350463886623341353],[-5311586135682012985, -2355711743795630207, -920599782883058898, -7206999901549747201, -9127459752961215327, -1074686635928694451, 329081164548883398, 8406244921349530336, 5594207384888731584, -9215785902810230539, -7419240536954429577],[400351008302236079, 7274692707116108483, -6806400902368611122, 5306146430813578701, 2529637474736692514, -2050734682504668137, 122814028404310889, -4173840739141319848, -1116948625464004596, -5363826191225171922, -1588227888608473853],[1749501398586208100, 1907219457364529586, 7398620865879927666, 2005550672963816830, 669145980578357183, -1977153630211518667, 6211426198511311316, 2055156380607585992, -2150365877295334224, 3587739834183540021, -3324329963336386445],[1981083613800118897, 965351861513554409, 8922563391377316311, -6598526587857554451, -7778147439770987789, -2100978417389049811, 4609831107370038055, -123456727765569494, 8940123741634854373, 1739464583358123913, -4825493147230578510],[-6630867793799327680, -7432867348648834341, 3068570267026521017, 3362712459973635219, 6810883205396053594, -2198117744517896220, 6686430182265062362, 6400378493386442237, 7005601616987643543, -3682210292494070041, 5857110674748465999],[-2052244208900713039, 3238620543325645932, 84866884191466335, 149557247059992846, -902570120610874520, -7153317994345604497, 7951250783848855256, -1629272453490665093, -541910359328868707, 3550595522520006355, -6676173564563082324],[-6574705307672786314, 3346622119594341737, -1351479399435594986, 4567636513062464854, 7194814397243033710, 3106810798934037085, 4845955853204502466, 179962166788136846, -7558961253006191552, 8394553772262149028, -3866264015982588575],[2184751050169703235, 7011040968126780471, -332081287284167336, 7196951662404256279, 7327682395058203584, -6287200673669903720, -1978109208784556922, 7531169266451940377, -793614609845873355, 6589490196508092505, 5663693916385321556],[-8299499434667721398, -8476649109080817371, -6406583859009986209, -4158556042024969734, -5032001454972465077, -3378490992947797043, -2045366724769199023, -6283416817975888722, -7193248447547693272, -4194832928655027892, -2498694519694364850]]"
values_12,5,"[[-3883999506334287256, 6696940945613903524, 203062119454772133, 1649094466533253042, -1993642530871010883],[-6442126375378410259, -4886533870856698547, 8462766157200353850, 8462232017830490884, -568637470649589099],[-7167490094036093317, -3237256554773444413, -3019778081720737473, 4305155941166968711, 5263670380529928573],[-8164771594602187428, -8707961531624729589, -4782596228666119708, 7563958538628518723, 2153854468247147579],[5641716412169966290, -8953796834365098389, -7482389812187351494, -2968797422139113116, -8095532047484165695]]"
values_38,3,"[[7479822977495039498, -1033009627495575548, -3348443603222110034],[1814693237643037087, -4802674773750695989, 4358245275307755327],[-558409721143000041, -706146668254001549, 4506354160413799889]]"
values_81,2,"[[-7739718799623830601, -5321253347184483326],[-2387279352556726014, 8224001465626641913]]"
values_5,12,"[[3249928422875349569, -240974509881856137, -5855593069604666752, 8548279285803255239, 7352525985436705702, -2778626561403585791, -6294678003803363883, 1354402710714867450, 4200796046326866412, 1381702318371796904, -3652477629101682894, 4984481988271580666],[-4843385011173504374, 5166262321340418339, -8482941488648568813, 9061909454584641649, 8872846254652740616, -7540669595268806527, -4654534605330389798, -539284980297428268, 6066869424515859910, 3374542631291587816, -3720850230268367999, 8548274060942531519],[2652736934130958581, -1804193905123101830, 5137600606800026616, 54647149471550793, 791062024351173197, 7415704363694331314, 8116363926367786718, -6477410510316912030, -3850598146865051740, 3048402665844407653, -7438766887929014620, -4754923761554636860],[1387938881076801155, 851096408702665073, -6007311481395424153, 5946891493745738053, 2771797180618393179, -8913957462626067516, 1773677511027580032, 4717607521820612793, -4089601464957817154, 3213239164203810190, -254491777343443842, -4269340240560271070],[-7344837161896182898, -5350986825248187359, -6171738184007090947, 5607426867711252370, 2786449730353184605, 5770675190098940857, -4959427446762820694, 7247956039087932061, 1863796378805222512, 9169125081473894729, -3941755679056419186, -615466269932895335],[5154352926441126042, -7427962907771709338, 701389042338126282, 5563250071458930203, 6669653724435736533, -8491737315111244964, -902648265321542701, -2170195614987558577, -365576031684800082, 3206856029724602882, -3899597446096128227, -5007527371794807188],[1159397649476040672, 2554880026748181295, -8676850637011654717, -7125608208890330122, -5945915676038949129, 5474066527269699404, -2423984323703135008, 1576863231073738845, 6510380985953727446, 5123169926295242792, 1836547718142014922, 3500737399062543936],[-1793655284113987220, -2221978970127352054, -5950851219863142226, -934991444796045587, -3586016920114100764, -8907085540800417887, -2148504436437648221, -6212936091152808723, -39902684525544484, -6081450292186099, 8575096839685669314, -5400752422994033300],[-8135281425729406661, 6431778912058086707, 2998274271242276771, 2884190967391813866, 6737632557426493571, -2623344337918184561, -4631613690824468932, -6832545078469466626, 6083448349126246943, 8252523096410157236, -3649416231965686778, -414646139099586050],[6751061540605934636, -1711428415371000676, 42479450428658268, -6856441449312912511, 1906247592707509421, 8445898525960620259, 3673702644194827576, -1530348134690260144, 3461628620997165246, 889751629292425890, 1307559688148132170, -2680638967688059738],[-4303927696957097098, 7311154434630692902, 3549339502989438357, 9036534775114265869, -7894524634340317224, 3490878462196175672, 3041508027925840134, -2300287303484120695, 5553430634578178758, -4402903227672960358, -5930107962170298216, -3670294830588820679],[3397095955767042978, 5308643174532586955, 7701396106314275116, -7087704700319936634, -2408930831171415935, 780783226993309535, -29255384109826906, 9023329761768290125, -8779720122318205852, -3402467127784726723, 4706156115543677021, -8527645878218491795]]"
values_40,3,"[[-2457685414442371554, 1788855018556715100, 5731063994447984537],[-3485818954467771219, 5981906436920283179, -5474028431243806054],[-1785962116120917862, -9196003891429532950, 8281962667151151670]]"
values_70,13,"[[-224205252005741304, -4021456347888249980, 8619608720815935871, -8093407863482887620, 7954357024824598726, -6135784565948854752, 5064859830679066330, -851427599990165818, -1922386668043541006, -8970610337490456710, -395063321931625147, 1516664996156111344, -6324107312235718726],[-438199952939709648, -5947266308513214371, 1616483508772892303, 6312465339090693915, 4083495327543064914, -7756470189954651258, 5161800905791392137, 4664998738608640067, 8859444085328492170, 5727458342675998337, -3101735198691089173, 3241498105074624918, 289394689102863814],[7007745285944111306, -1745284513602198068, -4504294338390601518, 7027817026234946129, 7276783270957406269, -173698412789878657, 4678043684293282257, -4951570621639681000, -3377624545300469808, -4075726568521148596, -4522956155516838800, -8258608835539551783, 3408687851676370281],[-7510603932700237806, 326668520103243114, -5143186174298069496, -3875598018609154064, -355837142641236175, 7670217926076311394, 862785913242457886, 4182460416346229288, 487127077651932164, 8540692228850882250, -6157485236692196712, -803627634188060162, -4701242127762124931],[331670524987997051, -5051479145863376249, -3604935090629547351, -2232393814564517428, -313332705570082245, 6952720206062210155, -1538010417276615917, 8250859302119345060, -391723496504593013, -658260081252317070, 5264454927844285763, -8123946529019544013, 2793736972430963528],[5286159371074553724, -7380526967296077830, 8917306405867682406, -3004887470682973801, 691976487431985591, 3150782805451014072, -915487889093780020, 3689052359706169826, -4145229786893823965, -8126880149226690865, 8534015964348009848, 5760103000610075658, 5981301799835008346],[-1062834084327542910, 1037819505240416602, -2721689843420944888, -1400650124376316580, 4560700929977628703, 5799914855394491832, 4782513185060172181, -4922373627897811187, 9180646690998019997, -8812185096481597024, -4108971736908607197, -8184566396716553801, -2658809357156186629],[5498282440400140304, -5800884816760154871, -447987356074116052, -2077159739434454130, -2855169324040058804, -843143565420045390, 6306848106910893982, -1270727455075600884, -7874312441519728539, 7359938396873560838, 3996553092170200319, -6105522028452084131, 2217777710030030744],[-2639188523386060239, -3367512030979150936, 6994777185144029293, 4616696596298925097, 8152645345313202584, 5307790343160512682, -4731148076648660373, -4672412403946035275, -3033969651196296071, 3607078446289032610, -5002612175737509295, -6037446221468846974, -5215822244536402947],[7158302440233176734, 4754641547675573657, 4276329379306697323, -6208285054117586519, -7848477541226798588, 4721150433532391035, -8730898546365160504, -240610403385025317, 8539962152132987514, 7850761013607626502, 985091672406356288, 5080976813782961946, 3377603411598111366],[-7555061204116736561, -252891249504795728, 4455454966449806775, -1478067889498799815, 3251612033370571518, 8418780677869236054, -4151785472918723233, -7220016827945191692, -1235726438517677306, -9178036936636969701, 2469620883184201090, 5294979798842145910, -4254439641574044604],[-5261894877880410871, -7918203785136402331, -950100910062258561, -1023283452107612761, 7266054592322048635, -2302211239472098165, 692271011821639106, -4034923653466950231, 7292295174462748728, -8298642241377273016, -7376336089946343511, 8622889377781794762, -2190412629603410092],[6158004948535945686, -7162887680040535727, 908896659694680153, 8504342274486439670, -794232338742352229, 4210805403544370024, 1624949287273326271, 5636887179245007327, 4684736413001515675, -5515516159590763410, 5252442909163162089, 8408575015756999218, -5349157237878690628]]"
values_23,10,"[[-3174165517220905000, 3378300333694075831, 7195514099775414842, -253117191576923453, -920032222485885169, 4085258318164006634, -9050152776658265335, -2572889193212013227, -5123115001667043008, -5338064314288681916],[-8424812902841812790, -4747007179585614478, 4132951953474831066, 1920075194532432828, 6504234516802738459, -1857295576992800802, -6649093556636302279, -1877183229364088369, 9095680079739329544, 5765393924150505634],[2463810434860871310, -2076908667465459574, 5720213177552613967, 5429473147902525318, -8532725599460922511, -2892019164097689426, 7387650407828830505, -2225171699622350468, 3901261143318862233, 452373300233029515],[-6270929222852967357, 8227249891648503607, 8737309930422859678, -8503623242514248630, -7134953426492804650, -4337545797664234852, -1937124828211309713, -7277440090398495071, 6146463745135232437, 3914584283789138913],[5433098592461174537, 1227392123031021803, -4469838338853628573, -3699023578455722312, 7928655657748754069, -2041979425510947705, -9103265967761679518, 5617038658626735755, 6715079657995061930, 3638498134837066704],[1100399399598079720, 2206662121888883926, -8851030793928849079, 6702838700800152383, 7052974548889404304, 6291394052307140561, -5053797099778724937, 2377443427441440731, -7126660775501542749, -7195667377865304354],[5405685234150844436, -6991166699840766671, -4562808149929595668, -5133607137796095928, 3460974613275793210, 527739153992669712, 8947222086244601892, 4454678799907592430, 3039657073935108828, -2716580558790662559],[5007554919885910524, -2015029418968867240, -8374544920677732113, -4260275941146161791, -3060488683260586949, -3407061478085454039, 1814538199792669710, -6231207344642870031, 4961608936014806012, 2783950629084656690],[-9172881102302164767, 4116714196495970512, 2060665721199097054, 5823829839106452081, -1419049757175612231, 3626289618237623079, -8313807067019420196, 6883286076617300637, -5313350861858535967, 887703425329527878],[6755169366895768906, 8273460549228113450, -2072794619349696352, 2789081853738232883, 5724620687786638833, -4042429759413056143, -2563472949752454005, 5680359170730965159, -3434808298577037603, -3363587620420016828]]"
values_72,9,"[[4648677945402231405, 4191832989681509461, 3335302307897130746, 8735518715293040498, -4467082069707883884, -5601152125819810836, 346953124652799504, -7676258372903557340, 6995077125270918665],[1621011716456655075, 1837054153130230351, -4590068000892567401, -1278004572346778802, 7022016495302918647, 2847599792948423737, -2648282343825334398, -3722094216370201408, -336151989092622819],[-3370410969811811936, 917302319855788547, -3417272311559627865, -2808421696364020178, -8418733228210342281, -4526725735420250112, -4102144929397269303, 4241870027413000243, -2637122251557426650],[-6423712187723539887, -4509633238930942015, 4945609974772539927, 3359632075852545221, 8956631406560431397, 766325740401283640, 4579955656061132822, 7238805108927929568, -2868929435395872559],[1933156118264707433, 5837242180143906664, 3926711112291195530, -409659910302840749, 4349081645300568507, -1402926650632465192, 19884339506174962, -2868507533531331250, 3090599445981549990],[-1123046250550211803, 4643080091082624762, -695751355207045710, 3110019196783169650, -8658780152897285890, -4898919922855407034, -421482242039135347, -1567785778484405416, 7610430530094825331],[5709727555115415150, 6337412219005490878, 5970383220000154547, -5255981646495180254, 4053944431661683253, 6620072740887252038, -1473503865086270502, -6469490604990663114, -4617939655831858927],[2021278291594207070, -6930941566124867858, -5336378169652517106, 7653327011981314050, -8306430233715136049, -7867236118315487138, 6960014792949057573, -3253882039433008892, 8114174370277478402],[2994571322269793568, 1622623171742671886, -7542697420156768187, 765329777546122591, -8007657878122203936, 6455385705231100381, -7668388129077327148, 6461579919646999351, 2270320761337643276]]"
