inputName,goal
11,180
19,93
12,74
38,174
81,180
5,249
40,142
70,142
23,188
72,74
79,93
78,174
87,228
6,15
68,174
69,93
1,180
45,249
33,188
15,249
93,188
24,28
25,249
26,15
48,174
71,180
76,15
7,228
50,142
22,74
4,28
32,74
77,228
91,180
42,74
13,188
41,180
55,249
31,180
66,15
65,249
62,74
21,180
95,249
84,28
58,174
64,28
83,188
94,28
0,142
99,93
96,15
67,228
61,180
43,188
2,74
54,28
30,142
59,93
85,249
74,28
90,142
18,174
52,74
44,28
17,228
36,15
49,93
86,15
37,228
56,15
63,188
35,249
97,228
75,249
57,228
88,174
10,142
53,188
8,174
39,93
47,228
60,142
89,93
51,180
14,28
28,174
16,15
34,28
82,74
46,15
27,228
20,142
9,93
92,74
3,188
98,174
29,93
80,142
73,188
