inputName,size,a[size][size]
values_11,2,"[[3188574284167611032, 4967131749347064264],[5772195244247776682, -6342014150885452702]]"
values_19,15,"[[8791547039440768308, 8023595602311907256, -5443266745763163558, 1682071085561927289, 6211458283513007193, -7722007984560304617, -7111208275272666777, -1965658841756634488, -7143301722622777493, -1544507491503162883, -3787384870216827692, -4624624673654206404, 1634319055200208247, 4621802157034315674, -6444779537645952812],[-2747333103321644141, 2232607727127654679, -3318714589310785630, -6138793140828322909, 3556302509115006967, 8321242669001583745, -1299639775141628841, -5000379530001766412, 2233216890425297676, 4150196464282054366, -938943580196829284, -3696596344995884516, -8626500040343877964, -2091096645125720513, -8453950993971785747],[7065743377050394550, 741733286997236047, 4480932732956187104, 7507616824491492970, 809788141651106692, 8494508585213829482, -4706945369184154158, -1785606884899154980, 7049670852923077309, -7949105512503766141, 4211227827155377816, -2340336228378145636, 3260988105340306556, 5140689892829930846, 7878815668223113338],[1203722923396321331, 1571658824621378153, -4086840474960465532, -6098937593324813582, 8227159805305238546, -2085803720579479509, 4022304442495700705, -5831671531933266362, 2367721638345952567, -8942605574107806459, 5138966091721743231, 1524021927474875441, -1813238817882265748, -8329727990713360090, 8551442100702712950],[-5100808000544398672, 9190837796587079858, -233304003145127126, -7940792178073224918, 711843388398021523, -4162883858965944406, -5670867374148478392, 3645575922067151114, 3678635512973227550, -8652441449651123544, -3901087493528872868, -3631398120699175962, -3791458524445298647, 5577825271953701231, -3999578568340344867],[1069829484236679371, 3148951436904454120, -6286547249295302553, 8922859826935145753, 6419726986245224693, 6463706031917772913, 1520804118851865696, 3175024633511491009, 6750165414029979097, 245773839544517959, 3190430111477547974, 2020011461190658224, -5115301573514810636, -1652345635375557138, -1061705981281493360],[-383323355761529304, -2882765550211377107, 7049237569979504133, -875924159922222056, -3111204621720005176, -7330743428403930854, 2695627434480043421, 1535291054075687136, 5408532787018785183, -3761933267516717144, 8524091074111892395, 2206745872516184966, -4310184878680907676, 8701077504613495167, -1350842752027693382],[-2112362918041509320, 7013320456100717606, 1540816085136849858, 3900504807604245217, 8057869358313939463, -605063450094210655, 3006001171297385684, 1828762648929520330, 3890286958765297476, 7651022329578064049, -6998187714237084929, 2038406398914102198, -1502205989345063606, -1778041868334547606, 3461422753072357142],[2628638562991560446, 450618706595465116, 454057574973363177, 8215586774737283828, 1331618484617510482, 7803895451491364834, 3578818922495167406, -1010614729288442865, 1628760886994643485, 5703853081772953291, 521478788960243289, -7353655610314477386, -2802526028339590372, 1394422316457368009, 7404665284416027175],[-5999405775519609586, 6393643012749932159, -8624762320194081416, 5493705700528181878, 8655959627941914545, 1796767579082623414, -8543552982635765314, 2998584141614010818, -6951364062931705843, 8137104573922413196, 9110616880549748490, -2185652635749442069, -5519089109982049728, -4507159637506468677, 6898586951244882306],[7942361020089026888, 7253914977225746491, 506728968684421676, -2095032113252335523, -7643398610617415551, -9213667056898661174, -4928300824785805557, -4736960903160039002, -76496645625753060, 311492473809641495, -1890873595158498170, -5540354085949656504, -3783807724528800620, -1801284716922285826, -7847362466138592594],[1886515310812428361, -8048169343472794444, 3490373605975778983, 9042496315943881032, 9123737686048222757, -1123910328492522355, -3192233953558781661, -4456421964253446451, -5182774508873648859, -3044409071334461947, 7451985745040211517, -222150652639548124, -2035301788407941777, 2909844152080219345, 4502639244108650118],[3512162115521962515, -2396778269532550111, 3453756523566136107, -2903270651247380625, -1730781525719583981, -6320790433786893268, 2478568116510810228, 6351114951115742520, -6003786448335533757, 8347090454598776690, 7695814828412955169, -5563673528888921085, 7175502194272496951, 806436258694368018, -3217956739822662455],[3235723987783995953, 6665095771993509821, -1782433539116385025, -8565584697052833243, 6862833306825386879, -7508863673886436518, 8531190718159329659, 4892594406265498290, -6367162397165085702, -5906048061511332132, -2915992443623487257, 7501768977320222328, 6943028347055072838, -6269926680740894081, -7648027551981309574],[-398324496520652703, 3819559351847260526, -6142695053461542151, -4101774125203709509, -4158588064093165472, 6576805116810963345, -4985246370470125565, -5259588354759846494, -1003740322283297404, -7297871021718919818, 1434607734656006022, 3760481705202594334, 4855160371533814819, -363046251419231450, 1307143146301968126]]"
values_12,6,"[[-1764804442288632022, -5531017367386527877, 1200534244427923136, -7233857859963401677, 725759182337584426, -7652200868497447252],[-8415715650883025829, 4712782366721658213, 9061109274130444626, 399994119879845808, -1479904461483975606, 5903479259336367292],[-6546038263926316650, -6159015197836402276, -3143948023561891156, -3227227591822929460, -1917327171409256720, -3567874009914344215],[-3027087351579934843, 5825573020104733266, -9175987153305168336, -2298061321360142710, -5884475922231509296, -292057032084287600],[1497821574645217425, -1234335394181469437, -7658194527915982126, -3796210078629023348, 6171996268420626179, -6254268438943586916],[-6279263836586751149, -1029665778745664105, -8107107550930962585, 7729857102284121055, -7722733363705703803, 6941073044716307549]]"
values_38,3,"[[-7091016504619533516, -2833815059880979561, 5856796874009258169],[2708784731492652568, 5577127517120588272, -6079541968760161124],[423191258795418189, -4540921953348171142, -1094190884551974023]]"
values_81,6,"[[829468248713784634, -7852355885730588507, -8657327025770668283, -2069301427896423511, 5943245301154251259, -1181780732258994688],[-5695954792715587728, 8937982906776254069, 6903151575588045351, 4181639251271137831, -431264792496444472, 1229468126052619530],[-8099829795215529923, -1210329416023187288, -6820634894019535712, 3529431439374469484, 6910666898668092675, -654535617021063762],[8617049746382070957, 1755995618058231584, -6860334826207295689, -673841956061442612, 5126307045203870302, 8504616049174987253],[-8928397948924828053, -3070778171476232937, -703229374833553496, -3359634716815359965, 955082488619817626, 3262790421648504179],[-4746574111092468278, -6096257377829397272, -3465442115877558473, 8157990528490535901, -8718730213199072613, -5325864757389993294]]"
values_5,6,"[[9121513707628666723, -7857589110869453602, 772335552894029249, 329283963871162490, 6426372330754520977, 7161785706583378233],[8595216622268955497, -8632958380824429082, -8698092023072471981, -231990883867765312, -1412838004624663150, -2568228755671045357],[3286090695912343962, -4394076150654783614, 7558374296604247410, 2933955674206898955, 924257222796023500, -5288308961109814554],[19989892638048308, 7384433178859877712, -7382901918734256940, 3989447273480361408, 837344594777373755, -397153673968896689],[2976256329130394953, -2184610025581095427, -5770507363523283761, -6485074183043914159, 4965312420464411942, 715780708752216173],[4851054444108747871, 8817514424492125926, -9221273742219796397, -4710394774906788538, -8541462000237310281, -1519882552130455262]]"
values_40,3,"[[3996056537225501691, 1535046894753313829, -2464175885033020408],[2181392542383285486, -3911537303124140961, -1967426019581988694],[-3782021815186281524, 5305329764174633134, 6888104160722754626]]"
values_70,10,"[[-7595504798822267036, -5329271133031531532, 8783735682987424000, 8352348972107754597, -9142966305265940968, -930807942767724328, -8456380091748572018, 2623621116030515096, 6402686563418214950, -2875943388283971702],[-1662598777972526954, -4060663559918412725, 893297984932617281, 1638769531130049562, -3536537360171285025, -7477742650014422996, 8055650459257541474, 7539655863757922500, 3973296462266495328, -2792360381349172881],[4951737051873132565, 4160075339057304528, 4809601486011800303, -2303225375435166127, 8692575885219198572, 1460569226054885163, 609733903270217387, 1360133215693696743, -2670664485394192282, -3337947117322310002],[1263133539557859741, -9145089921069156406, 5249508387792633576, 3768474397459465754, 4340217758410166562, 8075909587374531904, 428109042068527371, -6019717955810093025, 6900995806838869014, 6358109026323551547],[-4132797818691909753, -3110860407221978338, 4358401690152290076, 3763041012195314930, 4606529063829927672, -8133118725975372429, 2842401928473501924, -1284050681525649017, 7609588305007081438, 8350327517532900409],[-2257214703221781132, -9188855948940672670, -7886329303776226154, 6855317661243170284, -1363207973957911306, -6672866580989444955, 7791520798532842671, -638392864778640183, 6079543463214182892, 6486658687547938342],[-5999576782258000358, -5091406756199771610, 1492526137446556558, 930333169104651660, 2883653810615096345, 5342990935718838664, 680923034507456705, 2534750593677553970, -2125607518590877640, 8881176915945272680],[7552098954893322996, 8418948540566816258, 3518123852307629501, 3536593136715328414, 5035877553258877554, -816795823530823032, -1234733797600517252, 5405910813136135669, 7540678280173655702, 4249524250095501951],[5928664266278517189, -7475011117805673168, -3742193470238907060, 6169518085157389624, -5307260528762198918, 2002919097593752006, 353239312792550790, 5336327104780358372, -8380135614038775655, 4430468456597863442],[-832359153599800912, 8695338907624590143, -5424674631626213821, -2303947232542874100, 3409724593693893911, 4219785985031311754, -4109645103796023949, -683065209315347131, -4377707965312797530, -2462509634403293477]]"
values_23,13,"[[-6543676316833514579, 7458479628042903599, 7209913727839340468, 1042788622530765231, -2825522655748195549, -1896147883021944267, 684223160273918444, 6349140974872236967, -2578316274629362398, -2429654019804701991, -59174254125549576, 3027461950821827906, 8852240036134297749],[-9202445910971625525, 6349033737578486557, -8801080603288886426, 40989662823890198, -4884964601329799397, 742681745353106955, -2958091578080327306, -480919623942133174, -2620926782121253066, 6133775042962935417, 6588012783537092275, -1423749760388191711, 4047411024610599941],[-8259607760515777577, -7899551317156250263, 2559104417582242021, 2598400262857892591, -8435605238713044917, 8054702028634821217, 8757666767667003707, 690656439124336402, -5213914822889896793, -4864819759681857672, -6710705354393510653, -1691273186968599365, -672306491810155394],[6383585020682246846, -627981145183955469, -2325518532114130147, -711177764680992108, -3491924823816003870, -4272515396707883401, 6556420791250862309, 8739893373755082391, -7389936083521195331, -136028134760204663, -3698848217596049336, -6695011049386515507, 8686730946326640071],[-8281755234795911701, 3788556820225475968, 1555088253507789066, -710277587007989228, -8402506944830668220, 7822028079132909575, -3777678362841620613, -935259927761531140, 2031303538560525785, 6417017111065863694, -9080176078495631589, 8328771792213808401, 4907669984564627281],[-4208747237725771299, 3120877943193034108, 5910577076210332028, -2851081511801175373, 5041627125907734055, 2771581556603522814, 1812601615223826330, 998306363039611971, -8573072431169267860, 8293121553535204322, 1284354960269751554, 8400309106529446115, 4180948596940277804],[1455236948024913860, -2385560580020325062, 997855652748693908, -3926660244271074129, -6358275668816862826, -2510361386800083099, 451074480825857003, 3823848613505638251, -3362327751399264460, -8409449054220029282, 470097660155762242, 2456011153017398711, 9207316433261081356],[-3157525198565440869, -7499733324984258739, -713025687553557316, -6211472013011195530, 4405408087468909634, 1169483242644864495, -4457178910408321883, -1014017006780831994, -7193279083888921375, 6277731444038581937, -1473844197098755308, 4787129494472639, -8675019935108095126],[5184061910444905871, -888518670062307229, -2093247322248477376, 4612909075449193030, 5626316632331602243, -5571245276259698860, -963817270813139868, 1009557389799099747, -4563063283301086940, 8153870921139414340, 1571116172893703900, 3513705246320725319, -2973512611605920313],[-8886966342256594155, -2511431562511527939, 5239943743981631830, 638391613524387425, -786536176896049091, -3625268280991488805, 6156879537464474878, -6906411092717541607, 4615355527429475684, -5826224383222406986, -376633178416556555, 893113999237239316, -8529136178851839351],[-7829635074630180091, -5017161805240421206, -7813986526531129698, 6172626384729965054, 5100801738134811981, -1678014849898545628, -8719128931212451697, -6286777557233386237, 2084194681020885773, -982608267218723417, -3596003144778048039, 4604536870523180190, -5192743124340601844],[163002838409879188, 9035953856874223123, -8502866590536323176, -3388838063928443310, -659622904904274907, -2062700926585710791, 7499267733271650437, 4856505931220183626, 3520697371654508200, 7752560087823158221, -3357320295488461732, 6186903677457175318, -5069656231929042503],[-6559700821118666572, -1363803946038791091, -8904922231359478720, 7795908203890852619, -3881632778190648141, -3009413771971113023, -7263472481104325354, -2160297530395118949, -360894531268710009, 6814989056796135315, -6881527501165056320, -3918172947703916344, 2711015108700854529]]"
values_72,10,"[[-3469545220442410591, -4439138805995146831, 1781239581102484666, 1927465602811275737, 1211434283880086974, -3370018708333979417, 1616055461734957686, 1380849930003788106, -5372900326938972911, -5061127946819378038],[-6210655833227287704, -6946197507218904565, 3867913280763209347, 732025641144612370, -2025649865279209307, -4510509478241853740, 8142939594629364456, -3973297624640659324, -6517317733085962569, -5176714273364092744],[-3370020443383384838, -6396448416538386639, -3642880486252960712, 8337224110845412858, -6576562400406520372, 5253141017087651848, -5315358532619618138, 8722010022774237472, 418094743417339719, -8905279365879662949],[-7552723028524978460, 7325351087070054990, -4773858546221287222, 4977144656591151055, -3940343790553496369, -4469811898864013771, 386076553146423781, 1675371586035490457, 6163211275661254947, 348058821420767697],[-4128168443139439255, -1371737724199975348, -878018776435269203, 7418531082773202698, 5749468290736147623, -6673977444810982377, -957657843105783048, -3884531466851856381, 3508416973727277144, -5689112716998475006],[-2249063630196841306, 8137215219699073075, -7715048340761434224, 3901465639927052205, -6397711829174389410, -2648227601733081434, 2476345408950280148, 5276265780528167676, -1170016097120737087, 4818602785552272218],[4513113161296341920, -2529052784326019577, 3564838956906082810, -1286569120497132829, -4141596431278042368, -8193934555659831070, -5355736934911874927, -1596444181270450289, 5370120553246489502, -4659041049026014277],[3729902471541297091, -6189965380169435632, -6140537614714387235, 8989762088718729869, 1155847676050300693, 463008162792109955, 3766256691890188114, 3942067282082912378, -3200325207507455029, -4505596262424523934],[-4683244015024385551, 9204531739684068877, -352024731385799816, 1571227607479577291, 4743180677571488116, -9187546206290654403, -8298389730138165135, -669433492378017542, -7199029024823037717, 2155687988220074589],[-288478013360328888, 2556629431540031874, 1926070889136151728, 1495903082604384357, 4082082420362531246, 8264608294355984684, -6676167341550258816, 6314958918040019644, -8343669747347970231, 3700409695065934882]]"
