inputName,goal
11,245
19,181
12,125
38,246
81,245
5,137
40,185
70,185
23,215
72,125
79,181
78,246
87,172
6,9
68,246
69,181
1,245
45,137
33,215
15,137
93,215
24,57
25,137
26,9
48,246
71,245
76,9
7,172
50,185
22,125
4,57
32,125
77,172
91,245
42,125
13,215
41,245
55,137
31,245
66,9
65,137
62,125
21,245
95,137
84,57
58,246
64,57
83,215
94,57
0,185
99,181
96,9
67,172
61,245
43,215
2,125
54,57
30,185
59,181
85,137
74,57
90,185
18,246
52,125
44,57
17,172
36,9
49,181
86,9
37,172
56,9
63,215
35,137
97,172
75,137
57,172
88,246
10,185
53,215
8,246
39,181
47,172
60,185
89,181
51,245
14,57
28,246
16,9
34,57
82,125
46,9
27,172
20,185
9,181
92,125
3,215
98,246
29,181
80,185
73,215
