inputName,size
11,20
19,7
12,23
38,30
81,13
5,26
40,32
70,29
23,29
72,16
79,22
78,9
87,28
6,12
68,19
69,11
1,29
45,29
33,7
15,32
93,3
24,29
25,32
26,28
48,3
71,4
76,17
7,5
50,22
22,13
4,30
32,26
77,14
91,2
42,19
13,29
41,32
55,5
31,3
66,13
65,26
62,18
21,6
95,18
84,12
58,16
64,17
83,13
94,12
0,4
99,7
96,32
67,7
61,18
43,8
2,15
54,12
30,4
59,22
85,23
74,19
90,22
18,31
52,5
44,31
17,22
36,32
49,17
86,6
37,20
56,29
63,28
35,27
97,12
75,23
57,13
88,4
10,25
53,4
8,14
39,18
47,31
60,11
89,32
51,17
14,21
28,31
16,24
34,13
82,4
46,10
27,25
20,13
9,4
92,5
3,27
98,30
29,23
80,17
73,19
