inputName,size
11,14
19,21
12,11
38,22
81,30
5,9
40,30
70,17
23,13
72,30
79,18
78,5
87,22
6,12
68,13
69,19
1,6
45,8
33,31
15,8
93,3
24,31
25,16
26,3
48,7
71,29
76,26
7,11
50,8
22,14
4,6
32,10
77,28
91,32
42,5
13,11
41,30
55,25
31,4
66,12
65,3
62,28
21,19
95,26
84,15
58,12
64,5
83,10
94,25
0,6
99,12
96,12
67,18
61,22
43,31
2,3
54,2
30,3
59,31
85,31
74,27
90,22
18,20
52,13
44,26
17,9
36,9
49,18
86,8
37,17
56,6
63,28
35,26
97,8
75,19
57,18
88,3
10,22
53,28
8,21
39,2
47,21
60,6
89,7
51,24
14,14
28,3
16,16
34,18
82,11
46,14
27,30
20,23
9,29
92,2
3,9
98,10
29,23
80,19
73,21
