inputName,size
11,32
19,10
12,24
38,8
81,2
5,6
40,15
70,19
23,5
72,14
79,21
78,7
87,17
6,27
68,26
69,12
1,24
45,11
33,22
15,30
93,32
24,32
25,9
26,17
48,30
71,15
76,28
7,31
50,2
22,14
4,8
32,30
77,6
91,22
42,19
13,8
41,22
55,14
31,23
66,26
65,13
62,24
21,22
95,30
84,30
58,10
64,8
83,32
94,6
0,13
99,11
96,10
67,7
61,8
43,12
2,29
54,20
30,4
59,30
85,19
74,10
90,31
18,28
52,20
44,4
17,19
36,2
49,20
86,14
37,27
56,13
63,13
35,16
97,11
75,6
57,32
88,12
10,2
53,24
8,32
39,23
47,30
60,19
89,18
51,17
14,14
28,29
16,8
34,18
82,5
46,27
27,17
20,6
9,28
92,22
3,9
98,21
29,13
80,30
73,24
