inputName,m,n
11,3402,20765
19,3402,27657
12,3402,17455
38,25226,13369
81,5807,20765
5,30331,11435
40,23239,3443
70,1494,3443
23,21038,12044
72,1494,17455
79,1494,27657
78,1494,13369
87,5807,16939
6,30331,4782
68,25629,13369
69,25629,27657
1,30331,20765
45,23239,11435
33,25226,12044
15,3402,11435
93,234,12044
24,21038,30109
25,21038,11435
26,21038,4782
48,23239,13369
71,1494,20765
76,1494,4782
7,30331,16939
50,27071,3443
22,21038,17455
4,30331,30109
32,25226,17455
77,1494,16939
91,234,20765
42,23239,17455
13,3402,12044
41,23239,20765
55,27071,11435
31,25226,20765
66,25629,4782
65,25629,11435
62,25629,17455
21,21038,20765
95,234,11435
84,5807,30109
58,27071,13369
64,25629,30109
83,5807,12044
94,234,30109
0,30331,3443
99,234,27657
96,234,4782
67,25629,16939
61,25629,20765
43,23239,12044
2,30331,17455
54,27071,30109
30,25226,3443
59,27071,27657
85,5807,11435
74,1494,30109
90,234,3443
18,3402,13369
52,27071,17455
44,23239,30109
17,3402,16939
36,25226,4782
49,23239,27657
86,5807,4782
37,25226,16939
56,27071,4782
63,25629,12044
35,25226,11435
97,234,16939
75,1494,11435
57,27071,16939
88,5807,13369
10,3402,3443
53,27071,12044
8,30331,13369
39,25226,27657
47,23239,16939
60,25629,3443
89,5807,27657
51,27071,20765
14,3402,30109
28,21038,13369
16,3402,4782
34,25226,30109
82,5807,17455
46,23239,4782
27,21038,16939
20,21038,3443
9,30331,27657
92,234,17455
3,30331,12044
98,234,13369
29,21038,27657
80,5807,3443
73,1494,12044
