inputName,size
11,16
19,16
12,28
38,19
81,31
5,29
40,18
70,23
23,28
72,8
79,9
78,22
87,16
6,11
68,18
69,16
1,15
45,18
33,26
15,19
93,12
24,15
25,13
26,10
48,8
71,24
76,24
7,10
50,22
22,3
4,20
32,5
77,2
91,25
42,9
13,22
41,27
55,25
31,7
66,12
65,16
62,8
21,28
95,14
84,16
58,2
64,27
83,31
94,19
0,4
99,12
96,8
67,7
61,31
43,6
2,17
54,30
30,32
59,2
85,12
74,10
90,2
18,18
52,28
44,23
17,28
36,9
49,12
86,21
37,9
56,28
63,11
35,21
97,30
75,29
57,21
88,17
10,12
53,29
8,9
39,5
47,8
60,11
89,7
51,14
14,17
28,30
16,5
34,19
82,11
46,19
27,11
20,13
9,30
92,23
3,6
98,17
29,30
80,17
73,29
