inputName,goal
11,116
19,21
12,155
38,184
81,116
5,225
40,140
70,140
23,109
72,155
79,21
78,184
87,246
6,102
68,184
69,21
1,116
45,225
33,109
15,225
93,109
24,142
25,225
26,102
48,184
71,116
76,102
7,246
50,140
22,155
4,142
32,155
77,246
91,116
42,155
13,109
41,116
55,225
31,116
66,102
65,225
62,155
21,116
95,225
84,142
58,184
64,142
83,109
94,142
0,140
99,21
96,102
67,246
61,116
43,109
2,155
54,142
30,140
59,21
85,225
74,142
90,140
18,184
52,155
44,142
17,246
36,102
49,21
86,102
37,246
56,102
63,109
35,225
97,246
75,225
57,246
88,184
10,140
53,109
8,184
39,21
47,246
60,140
89,21
51,116
14,142
28,184
16,102
34,142
82,155
46,102
27,246
20,140
9,21
92,155
3,109
98,184
29,21
80,140
73,109
