inputName,m,n
values_11,1462997774589741153,6911084328974173912
values_19,1462997774589741153,2189702558414308472
values_12,1462997774589741153,5177716813175095167
values_38,2509698632941933189,1911329264870466167
values_81,4799426219227629577,6911084328974173912
values_5,3253945390891185654,8272060775725492433
values_40,1022012342540717803,3050532341882904908
values_70,6897996166030739077,3050532341882904908
values_23,6199650255299189113,6812016740451054190
values_72,6897996166030739077,5177716813175095167
values_79,6897996166030739077,2189702558414308472
values_78,6897996166030739077,1911329264870466167
values_87,4799426219227629577,4447218164640216016
values_6,3253945390891185654,1755748345439882047
values_68,5967929881261039454,1911329264870466167
values_69,5967929881261039454,2189702558414308472
values_1,3253945390891185654,6911084328974173912
values_45,1022012342540717803,8272060775725492433
values_33,2509698632941933189,6812016740451054190
values_15,1462997774589741153,8272060775725492433
values_93,5681952508906857913,6812016740451054190
values_24,6199650255299189113,4454389064866319734
values_25,6199650255299189113,8272060775725492433
values_26,6199650255299189113,1755748345439882047
values_48,1022012342540717803,1911329264870466167
values_71,6897996166030739077,6911084328974173912
values_76,6897996166030739077,1755748345439882047
values_7,3253945390891185654,4447218164640216016
values_50,8529210056371995719,3050532341882904908
values_22,6199650255299189113,5177716813175095167
values_4,3253945390891185654,4454389064866319734
values_32,2509698632941933189,5177716813175095167
values_77,6897996166030739077,4447218164640216016
values_91,5681952508906857913,6911084328974173912
values_42,1022012342540717803,5177716813175095167
values_13,1462997774589741153,6812016740451054190
values_41,1022012342540717803,6911084328974173912
values_55,8529210056371995719,8272060775725492433
values_31,2509698632941933189,6911084328974173912
values_66,5967929881261039454,1755748345439882047
values_65,5967929881261039454,8272060775725492433
values_62,5967929881261039454,5177716813175095167
values_21,6199650255299189113,6911084328974173912
values_95,5681952508906857913,8272060775725492433
values_84,4799426219227629577,4454389064866319734
values_58,8529210056371995719,1911329264870466167
values_64,5967929881261039454,4454389064866319734
values_83,4799426219227629577,6812016740451054190
values_94,5681952508906857913,4454389064866319734
values_0,3253945390891185654,3050532341882904908
values_99,5681952508906857913,2189702558414308472
values_96,5681952508906857913,1755748345439882047
values_67,5967929881261039454,4447218164640216016
values_61,5967929881261039454,6911084328974173912
values_43,1022012342540717803,6812016740451054190
values_2,3253945390891185654,5177716813175095167
values_54,8529210056371995719,4454389064866319734
values_30,2509698632941933189,3050532341882904908
values_59,8529210056371995719,2189702558414308472
values_85,4799426219227629577,8272060775725492433
values_74,6897996166030739077,4454389064866319734
values_90,5681952508906857913,3050532341882904908
values_18,1462997774589741153,1911329264870466167
values_52,8529210056371995719,5177716813175095167
values_44,1022012342540717803,4454389064866319734
values_17,1462997774589741153,4447218164640216016
values_36,2509698632941933189,1755748345439882047
values_49,1022012342540717803,2189702558414308472
values_86,4799426219227629577,1755748345439882047
values_37,2509698632941933189,4447218164640216016
values_56,8529210056371995719,1755748345439882047
values_63,5967929881261039454,6812016740451054190
values_35,2509698632941933189,8272060775725492433
values_97,5681952508906857913,4447218164640216016
values_75,6897996166030739077,8272060775725492433
values_57,8529210056371995719,4447218164640216016
values_88,4799426219227629577,1911329264870466167
values_10,1462997774589741153,3050532341882904908
values_53,8529210056371995719,6812016740451054190
values_8,3253945390891185654,1911329264870466167
values_39,2509698632941933189,2189702558414308472
values_47,1022012342540717803,4447218164640216016
values_60,5967929881261039454,3050532341882904908
values_89,4799426219227629577,2189702558414308472
values_51,8529210056371995719,6911084328974173912
values_14,1462997774589741153,4454389064866319734
values_28,6199650255299189113,1911329264870466167
values_16,1462997774589741153,1755748345439882047
values_34,2509698632941933189,4454389064866319734
values_82,4799426219227629577,5177716813175095167
values_46,1022012342540717803,1755748345439882047
values_27,6199650255299189113,4447218164640216016
values_20,6199650255299189113,3050532341882904908
values_9,3253945390891185654,2189702558414308472
values_92,5681952508906857913,5177716813175095167
values_3,3253945390891185654,6812016740451054190
values_98,5681952508906857913,1911329264870466167
values_29,6199650255299189113,2189702558414308472
values_80,4799426219227629577,3050532341882904908
values_73,6897996166030739077,6812016740451054190
