inputName,n,key,arr[n]
values_11,28,-36,"{74, -57, 55, -13, 60, 48, 107, 123, 32, -66, 116, 54, 28, -103, -31, -75, 96, 123, -103, 78, 90, 88, -111, -77, -73, -97, -44, -94"
values_19,28,-28,"{-50, 68, 116, -126, -82, 56, 47, -115, -121, -104, 95, -55, -79, 60, 13, -74, -120, 21, -15, -124, -57, -108, 90, -19, -98, 72, 117, 55"
values_12,28,-32,"{96, -84, -60, 56, -20, -116, 49, -10, -62, -76, -14, -73, 105, -60, 69, 10, -68, -115, 82, -95, 119, 91, 93, -8, -54, 93, -104, 19"
values_38,10,-3,"{-25, 48, 23, -113, -91, -87, 22, -113, 56, 81"
values_81,19,-36,"{110, 31, -31, -61, -79, -115, 9, -13, 99, -24, -2, -18, -124, 8, -79, -36, -113, -62, 66"
values_5,28,-51,"{-26, 54, 64, 81, 115, -44, -81, 124, -79, 4, -50, 91, 29, 17, 33, 11, -18, -5, 80, 8, 16, 33, -42, -67, -35, 11, -4, -124"
values_40,24,24,"{-90, 89, -57, 103, 46, -59, -15, 13, 57, 58, -39, 112, 53, -80, 90, -15, 20, 68, -7, -45, -18, 69, 95, 66"
values_70,2,24,"{-97, 79"
values_23,24,-103,"{35, 52, -24, 24, -99, -12, 87, -29, -27, -79, 40, -94, 17, -95, 121, 16, -19, -32, 50, 63, 105, -64, -125, 2"
values_72,2,-32,"{-2, 81"
values_79,2,-28,"{94, -120"
values_78,2,-3,"{64, -82"
values_87,19,-55,"{43, -21, -8, 99, -27, -102, 69, -79, -117, -128, 96, -33, -72, -43, -30, -9, -35, 44, 107"
values_6,28,-42,"{31, -8, -17, 89, -87, 104, 88, -107, -87, -49, 97, 89, 24, -108, 33, 12, -13, 99, -34, 25, -28, 115, -92, 94, -28, -9, 110, -89"
values_68,20,-3,"{121, -128, 125, -33, -81, -62, -93, 68, -42, -50, 49, 39, 71, -22, -83, 42, 13, 87, 33, 11"
values_69,20,-28,"{118, -29, -38, 8, 39, -125, 98, 8, 108, -46, 33, -31, 109, -88, -79, 20, 68, -72, -36, 85"
values_1,28,-36,"{3, -80, 6, -93, -10, 91, -109, -19, -84, 54, 107, -10, 39, -5, -75, 7, 14, 30, 61, -124, 29, 42, 6, 48, -127, -92, 49, -67"
values_45,24,-51,"{-2, 84, 83, -28, -80, 64, -127, -44, -24, 62, -71, 10, 122, 27, -34, -17, -73, -62, 102, -76, 119, -125, -55, -90"
values_33,10,-103,"{32, -71, -75, -35, -107, -91, 59, 3, -102, -14"
values_15,28,-51,"{1, 58, -32, -69, -116, 24, -127, -41, -44, -110, 10, -82, 64, 74, 58, 106, 49, -78, 40, 43, 92, 80, 92, 123, 33, -94, -78, -83"
values_93,24,-103,"{-64, 75, 45, -125, -31, 79, -83, -122, -93, 97, 62, 95, 33, -93, -114, 77, 17, 25, -114, -44, -106, -39, 100, -94"
values_24,24,79,"{-33, 105, -96, 90, 34, 35, 47, 101, 42, -120, 123, 109, -122, -47, 6, -39, 122, -41, -54, -51, -104, 21, -101, 8"
values_25,24,-51,"{25, -95, -125, 96, 0, -70, -96, -34, 4, -54, -96, 53, 76, 11, -116, 29, 77, -118, -55, -8, -75, 103, 78, 11"
values_26,24,-42,"{45, -52, -75, 5, 20, -51, 115, -7, 119, -71, -39, -69, 27, -78, -110, -69, -28, -119, -45, 53, -1, 81, -95, 120"
values_48,24,-3,"{-126, 77, -19, 57, 34, 23, 109, 9, 122, -87, 24, 106, 82, -122, -25, -55, 58, 85, -51, -64, -128, -87, 22, 116"
values_71,2,-36,"{31, 45"
values_76,2,-42,"{53, -68"
values_7,28,-55,"{55, -39, 78, 81, 122, -103, 7, 16, 116, 16, -24, 43, 1, 76, -119, -48, -32, -18, 72, 37, 70, 89, -51, 23, -42, -88, 96, 103"
values_50,13,24,"{-96, -103, -78, 127, -105, -31, -115, -29, 59, 50, -86, -101, -125"
values_22,24,-32,"{-75, 39, 46, -88, 122, 111, 113, -110, -80, -47, -101, 116, -17, 5, 124, -93, -47, -82, 95, 83, 111, -84, -17, -102"
values_4,28,79,"{-53, -60, 50, -77, 125, -52, 5, 127, 85, -52, -123, -118, -110, 69, 5, -109, 89, 6, 68, -78, -70, -83, -33, -89, 91, 81, -95, 66"
values_32,10,-32,"{27, -116, -8, 10, 93, -106, -21, -120, 1, -62"
values_77,2,-55,"{-50, 107"
values_91,24,-36,"{101, 62, 82, -44, -20, 72, -96, 110, -79, 29, -53, -35, 100, 89, 67, 87, -121, -103, 24, 9, 98, -76, -1, -60"
values_42,24,-32,"{-116, -75, -3, -1, 97, 24, 28, -50, 84, -125, -58, 126, -41, 48, -102, -16, 88, -41, -78, 124, -73, 14, 124, -65"
values_13,28,-103,"{-37, 38, -110, -56, -75, 73, 36, -78, -7, 75, 36, 105, 108, -62, -67, -47, 35, -24, 55, 87, -75, 89, 69, 70, 22, -10, 81, -4"
values_41,24,-36,"{36, -36, 118, 71, 98, -70, 113, -35, -66, 4, 110, 29, 115, 61, 54, 8, 104, 123, 5, -67, -50, -30, 79, 25"
values_55,13,-51,"{112, -12, -2, -23, -44, 2, -9, 75, 102, 21, 91, -16, -98"
values_31,10,-36,"{-44, -120, 38, -15, -85, 62, -100, 35, -127, -60"
values_66,20,-42,"{64, 87, -95, -104, -90, -5, -125, -25, 3, -31, 63, 20, 44, -96, 26, 95, -34, -55, 9, -63"
values_65,20,-51,"{-6, 50, 114, 66, 80, 89, 47, 114, -49, -116, 57, 11, 127, -85, -24, -103, 12, 62, 21, 126"
values_62,20,-32,"{-55, -46, -17, 52, -95, -2, 105, -57, -17, 88, -48, 1, 85, 8, 105, -18, 56, -15, 0, 111"
values_21,24,-36,"{-10, -25, -125, 101, 102, 85, -74, 5, 64, 82, 29, -30, -109, -58, -37, -114, 99, 19, 45, -112, 65, 92, 54, -7"
values_95,24,-51,"{-68, -12, 122, -82, -32, 97, -73, 12, 42, 65, -71, 77, 16, -67, 66, -24, 125, 83, -33, 84, 56, 111, 73, -41"
values_84,19,79,"{-114, -53, 50, -24, -6, -57, 63, -74, 58, 18, -32, 78, 10, -16, 102, 47, -85, -14, 71"
values_58,13,-3,"{-97, 70, 14, 86, -120, -18, -77, -22, 64, 16, -94, 26, 121"
values_64,20,79,"{89, 2, 65, 60, -90, 80, 89, 87, 33, -11, -73, 66, 116, 87, 0, 6, -23, -25, -61, -119"
values_83,19,-103,"{27, -47, 93, 66, -42, 14, -93, -81, -22, -45, -59, 56, -96, -51, 78, -111, 15, 65, 56"
values_94,24,79,"{32, -88, -116, -11, 46, -24, -7, 24, 76, -13, -86, -64, 126, -17, -42, 34, 33, 96, -7, -80, -63, 92, -104, -16"
values_0,28,24,"{-80, -71, 47, -77, -20, -30, 71, 104, 77, -14, 59, -128, -4, -71, -120, 112, -97, -79, 59, -48, -65, 36, -38, 5, 48, -88, -82, 7"
values_99,24,-28,"{98, -66, -92, -102, -4, -43, -35, 114, -91, -106, -34, -99, 92, 58, 70, 11, -44, 44, -96, -90, -7, 81, 3, -84"
values_96,24,-42,"{65, 73, 98, -113, 12, -91, -24, 95, 1, -115, -61, 58, 56, -72, 5, -4, -53, 67, 60, 123, 70, 104, -96, -29"
values_67,20,-55,"{-10, -106, 15, 72, -12, 24, -52, 11, -1, 45, -57, -57, -18, -29, -79, -19, -124, 120, 99, 127"
values_61,20,-36,"{-16, 61, 19, 62, 21, -32, 125, -39, 126, -24, 8, 74, -113, 112, 97, 88, -73, -114, 32, -13"
values_43,24,-103,"{-28, -12, -55, -59, 41, 119, 97, 68, 108, 59, 107, -101, -31, -17, -83, -57, -115, 122, -3, 104, 90, 20, -41, 39"
values_2,28,-32,"{-115, -105, -118, 41, 105, 90, 13, -8, -60, 93, 18, 81, 53, 117, -69, -22, 22, 11, 44, -73, -11, -64, -71, -23, -65, 99, 76, -48"
values_54,13,79,"{-73, -31, 91, 16, 0, -106, -59, -80, -102, 84, 52, -95, -68"
values_30,10,24,"{-115, 49, -22, 85, 11, 95, -52, -18, 21, 53"
values_59,13,-28,"{74, 104, 16, -11, -68, 127, -74, -34, 53, 60, -127, 3, 112"
values_85,19,-51,"{-104, 86, 88, 50, -65, -32, 34, -114, -111, 27, -12, -23, 4, 75, 70, -41, -17, -90, -55"
values_74,2,79,"{-36, 5"
values_90,24,24,"{10, 126, 77, -74, 108, 100, 105, -25, 81, -119, -128, -22, -19, 89, 111, 50, 59, 29, -53, 114, -17, 110, -26, 14"
values_18,28,-3,"{-41, 53, 67, 40, -28, 76, -95, 68, 50, 15, -18, 67, -69, -125, 58, -87, -25, 0, 119, 74, -109, -87, 30, -18, 114, 21, 12, 14"
values_52,13,-32,"{-18, 96, 111, 50, 65, 49, -51, -65, 102, -47, 46, 72, 71"
values_44,24,79,"{-32, 1, -92, 46, -36, -45, 115, -91, 50, -10, -120, -81, 51, 15, -110, -77, -104, 5, 70, -47, 105, 96, 71, 93"
values_17,28,-55,"{6, -99, 111, 108, 97, 86, -74, -21, -126, 80, -70, 32, 103, -28, -14, -7, 126, -4, -31, 58, 73, -16, -123, -122, 8, -3, -84, -107"
values_36,10,-42,"{-120, 112, 64, 96, -48, 18, -53, 5, 42, -59"
values_49,24,-28,"{48, -83, 2, 33, 32, 5, -26, -74, -115, 17, 102, 2, 47, -78, -42, 116, -65, -15, -7, -76, -115, -126, -116, 60"
values_86,19,-42,"{105, -89, -2, -61, 96, -9, 47, 58, 13, 46, -82, 30, -23, -90, -59, -40, -123, -9, 50"
values_37,10,-55,"{-13, 76, 48, -7, -62, 98, 114, 82, 26, 81"
values_56,13,-42,"{76, -114, 85, -47, -42, -114, 29, -117, -92, -37, -116, -45, -13"
values_63,20,-103,"{98, 69, -59, -61, -27, 75, 2, -39, -11, -99, 12, 8, 1, -34, 122, -4, -71, 6, -110, 112"
values_35,10,-51,"{25, -116, -47, -106, -81, -67, -51, -46, -74, 101"
values_97,24,-55,"{91, -94, 27, 17, -86, 114, -128, 8, -109, 84, 123, -101, -51, -74, 65, -23, -33, -98, 113, 77, 52, -62, 66, -113"
values_75,2,-51,"{-125, 110"
values_57,13,-55,"{24, -96, 118, -105, -128, -102, -4, 70, -36, -9, -77, -47, 61"
values_88,19,-3,"{22, -57, 67, -61, -70, 24, 73, -43, 119, 46, -55, 73, -128, -26, 124, 92, -93, 7, 112"
values_10,28,24,"{-61, 117, -28, -63, -110, -44, 100, -20, 5, 51, -20, 117, -99, 8, -15, 30, -14, 66, -59, -59, -111, 21, 41, 9, 53, -34, -49, 9"
values_53,13,-103,"{102, -5, 77, -122, -77, -111, 67, 105, -11, -25, 97, -40, 39"
values_8,28,-3,"{14, -74, -26, 43, -51, -22, -64, -55, -30, -8, 10, -48, 63, -48, -81, 20, -108, 75, 62, 126, 28, 8, -95, 56, -50, 19, 113, 119"
values_39,10,-28,"{61, 1, -33, 66, 63, -47, 113, 58, -101, -120"
values_47,24,-55,"{-22, -101, 91, -38, 68, 122, -6, -64, 85, -31, 95, 75, 51, -92, 57, 47, -94, 56, -82, 125, -39, -26, -79, -61"
values_60,20,24,"{13, 116, 53, -96, -128, 24, 25, 111, -57, -65, 50, 8, -60, 36, -65, 103, -54, 84, 100, 4"
values_89,19,-28,"{-41, -121, -23, -87, -7, 90, 115, 107, -7, 21, 33, -85, -20, 4, 14, 58, 24, 127, 82"
values_51,13,-36,"{-37, -65, -76, -74, 38, 56, 90, -24, -73, 95, 68, 87, -112"
values_14,28,79,"{-97, -100, 98, 42, 8, 27, 125, -19, -80, 60, -92, -7, -26, 121, -53, 24, -39, 8, 77, -43, -107, 85, 119, 22, 4, -24, -87, -122"
values_28,24,-3,"{-24, -20, 84, -75, -86, 29, 44, 102, -7, 101, 104, 81, -127, 44, -108, -73, -96, -80, 32, -65, -119, 17, -54, -11"
