inputName,goal
11,46
19,142
12,110
38,213
81,46
5,6
40,247
70,247
23,196
72,110
79,142
78,213
87,2
6,106
68,213
69,142
1,46
45,6
33,196
15,6
93,196
24,154
25,6
26,106
48,213
71,46
76,106
7,2
50,247
22,110
4,154
32,110
77,2
91,46
42,110
13,196
41,46
55,6
31,46
66,106
65,6
62,110
21,46
95,6
84,154
58,213
64,154
83,196
94,154
0,247
99,142
96,106
67,2
61,46
43,196
2,110
54,154
30,247
59,142
85,6
74,154
90,247
18,213
52,110
44,154
17,2
36,106
49,142
86,106
37,2
56,106
63,196
35,6
97,2
75,6
57,2
88,213
10,247
53,196
8,213
39,142
47,2
60,247
89,142
51,46
14,154
28,213
16,106
34,154
82,110
46,106
27,2
20,247
9,142
92,110
3,196
98,213
29,142
80,247
73,196
