inputName,size
11,18
19,9
12,10
38,30
81,28
5,20
40,23
70,30
23,10
72,7
79,7
78,13
87,17
6,24
68,29
69,28
1,3
45,21
33,4
15,21
93,20
24,24
25,19
26,17
48,11
71,12
76,18
7,12
50,28
22,7
4,16
32,32
77,7
91,20
42,2
13,18
41,28
55,4
31,30
66,17
65,18
62,2
21,17
95,14
84,22
58,2
64,21
83,26
94,2
0,24
99,22
96,6
67,27
61,19
43,23
2,32
54,19
30,32
59,16
85,27
74,13
90,31
18,2
52,20
44,9
17,27
36,14
49,5
86,16
37,22
56,15
63,5
35,26
97,23
75,5
57,25
88,10
10,25
53,22
8,9
39,28
47,6
60,26
89,3
51,18
14,25
28,15
16,15
34,11
82,17
46,26
27,18
20,24
9,32
92,7
3,32
98,9
29,2
80,20
73,27
