inputName,goal
11,114
19,210
12,23
38,49
81,114
5,26
40,214
70,214
23,7
72,23
79,210
78,49
87,214
6,173
68,49
69,210
1,114
45,26
33,7
15,26
93,7
24,149
25,26
26,173
48,49
71,114
76,173
7,214
50,214
22,23
4,149
32,23
77,214
91,114
42,23
13,7
41,114
55,26
31,114
66,173
65,26
62,23
21,114
95,26
84,149
58,49
64,149
83,7
94,149
0,214
99,210
96,173
67,214
61,114
43,7
2,23
54,149
30,214
59,210
85,26
74,149
90,214
18,49
52,23
44,149
17,214
36,173
49,210
86,173
37,214
56,173
63,7
35,26
97,214
75,26
57,214
88,49
10,214
53,7
8,49
39,210
47,214
60,214
89,210
51,114
14,149
28,49
16,173
34,149
82,23
46,173
27,214
20,214
9,210
92,23
3,7
98,49
29,210
80,214
73,7
