inputName,size
11,18
19,18
12,18
38,6
81,13
5,8
40,20
70,12
23,2
72,12
79,12
78,12
87,13
6,8
68,11
69,11
1,8
45,20
33,6
15,18
93,23
24,2
25,2
26,2
48,20
71,12
76,12
7,8
50,2
22,2
4,8
32,6
77,12
91,23
42,20
13,18
41,20
55,2
31,6
66,11
65,11
62,11
21,2
95,23
84,13
58,2
64,11
83,13
94,23
0,8
99,23
96,23
67,11
61,11
43,20
2,8
54,2
30,6
59,2
85,13
74,12
90,23
18,18
52,2
44,20
17,18
36,6
49,20
86,13
37,6
56,2
63,11
35,6
97,23
75,12
57,2
88,13
10,18
53,2
8,8
39,6
47,20
60,11
89,13
51,2
14,18
28,2
16,18
34,6
82,13
46,20
27,2
20,2
9,8
92,23
3,8
98,23
29,2
80,13
73,12
