inputName,size
11,10
19,23
12,22
38,16
81,11
5,15
40,29
70,5
23,20
72,8
79,16
78,20
87,18
6,21
68,14
69,5
1,29
45,32
33,22
15,5
93,29
24,26
25,32
26,17
48,13
71,17
76,2
7,14
50,2
22,25
4,16
32,10
77,21
91,17
42,13
13,32
41,13
55,18
31,15
66,26
65,32
62,30
21,3
95,25
84,23
58,8
64,9
83,12
94,13
0,12
99,24
96,7
67,5
61,15
43,17
2,32
54,30
30,7
59,24
85,21
74,26
90,10
18,8
52,8
44,8
17,17
36,8
49,14
86,17
37,18
56,30
63,8
35,18
97,29
75,31
57,22
88,30
10,14
53,16
8,31
39,28
47,5
60,19
89,13
51,11
14,21
28,4
16,5
34,5
82,32
46,28
27,11
20,24
9,25
92,10
3,3
98,13
29,12
80,23
73,29
