inputName,m,n
values_11,671821371865610330,5118897799230041211
values_19,671821371865610330,787956994516527735
values_12,671821371865610330,2074253949985261709
values_38,4550262904834170812,4753274977679640421
values_81,5400272651871564155,5118897799230041211
values_5,7365833650386902035,4365683847365450521
values_40,1455628313057589117,5253731119339461384
values_70,8256440410814763220,5253731119339461384
values_23,3362160301077893586,1916511136568759154
values_72,8256440410814763220,2074253949985261709
values_79,8256440410814763220,787956994516527735
values_78,8256440410814763220,4753274977679640421
values_87,5400272651871564155,1297559473438137251
values_6,7365833650386902035,5668679154476944998
values_68,6345905176023391317,4753274977679640421
values_69,6345905176023391317,787956994516527735
values_1,7365833650386902035,5118897799230041211
values_45,1455628313057589117,4365683847365450521
values_33,4550262904834170812,1916511136568759154
values_15,671821371865610330,4365683847365450521
values_93,6193993867535519519,1916511136568759154
values_24,3362160301077893586,3160564544620107213
values_25,3362160301077893586,4365683847365450521
values_26,3362160301077893586,5668679154476944998
values_48,1455628313057589117,4753274977679640421
values_71,8256440410814763220,5118897799230041211
values_76,8256440410814763220,5668679154476944998
values_7,7365833650386902035,1297559473438137251
values_50,3170487587677167669,5253731119339461384
values_22,3362160301077893586,2074253949985261709
values_4,7365833650386902035,3160564544620107213
values_32,4550262904834170812,2074253949985261709
values_77,8256440410814763220,1297559473438137251
values_91,6193993867535519519,5118897799230041211
values_42,1455628313057589117,2074253949985261709
values_13,671821371865610330,1916511136568759154
values_41,1455628313057589117,5118897799230041211
values_55,3170487587677167669,4365683847365450521
values_31,4550262904834170812,5118897799230041211
values_66,6345905176023391317,5668679154476944998
values_65,6345905176023391317,4365683847365450521
values_62,6345905176023391317,2074253949985261709
values_21,3362160301077893586,5118897799230041211
values_95,6193993867535519519,4365683847365450521
values_84,5400272651871564155,3160564544620107213
values_58,3170487587677167669,4753274977679640421
values_64,6345905176023391317,3160564544620107213
values_83,5400272651871564155,1916511136568759154
values_94,6193993867535519519,3160564544620107213
values_0,7365833650386902035,5253731119339461384
values_99,6193993867535519519,787956994516527735
values_96,6193993867535519519,5668679154476944998
values_67,6345905176023391317,1297559473438137251
values_61,6345905176023391317,5118897799230041211
values_43,1455628313057589117,1916511136568759154
values_2,7365833650386902035,2074253949985261709
values_54,3170487587677167669,3160564544620107213
values_30,4550262904834170812,5253731119339461384
values_59,3170487587677167669,787956994516527735
values_85,5400272651871564155,4365683847365450521
values_74,8256440410814763220,3160564544620107213
values_90,6193993867535519519,5253731119339461384
values_18,671821371865610330,4753274977679640421
values_52,3170487587677167669,2074253949985261709
values_44,1455628313057589117,3160564544620107213
values_17,671821371865610330,1297559473438137251
values_36,4550262904834170812,5668679154476944998
values_49,1455628313057589117,787956994516527735
values_86,5400272651871564155,5668679154476944998
values_37,4550262904834170812,1297559473438137251
values_56,3170487587677167669,5668679154476944998
values_63,6345905176023391317,1916511136568759154
values_35,4550262904834170812,4365683847365450521
values_97,6193993867535519519,1297559473438137251
values_75,8256440410814763220,4365683847365450521
values_57,3170487587677167669,1297559473438137251
values_88,5400272651871564155,4753274977679640421
values_10,671821371865610330,5253731119339461384
values_53,3170487587677167669,1916511136568759154
values_8,7365833650386902035,4753274977679640421
values_39,4550262904834170812,787956994516527735
values_47,1455628313057589117,1297559473438137251
values_60,6345905176023391317,5253731119339461384
values_89,5400272651871564155,787956994516527735
values_51,3170487587677167669,5118897799230041211
values_14,671821371865610330,3160564544620107213
values_28,3362160301077893586,4753274977679640421
values_16,671821371865610330,5668679154476944998
values_34,4550262904834170812,3160564544620107213
values_82,5400272651871564155,2074253949985261709
values_46,1455628313057589117,5668679154476944998
values_27,3362160301077893586,1297559473438137251
values_20,3362160301077893586,5253731119339461384
values_9,7365833650386902035,787956994516527735
values_92,6193993867535519519,2074253949985261709
values_3,7365833650386902035,1916511136568759154
values_98,6193993867535519519,4753274977679640421
values_29,3362160301077893586,787956994516527735
values_80,5400272651871564155,5253731119339461384
values_73,8256440410814763220,1916511136568759154
