inputName,m,n
values_11,89,98
values_19,89,47
values_12,89,26
values_38,23,44
values_81,63,98
values_5,13,43
values_40,65,26
values_70,124,26
values_23,34,22
values_72,124,26
values_79,124,47
values_78,124,44
values_87,63,112
values_6,13,48
values_68,84,44
values_69,84,47
values_1,13,98
values_45,65,43
values_33,23,22
values_15,89,43
values_93,104,22
values_24,34,92
values_25,34,43
values_26,34,48
values_48,65,44
values_71,124,98
values_76,124,48
values_7,13,112
values_50,77,26
values_22,34,26
values_4,13,92
values_32,23,26
values_77,124,112
values_91,104,98
values_42,65,26
values_13,89,22
values_41,65,98
values_55,77,43
values_31,23,98
values_66,84,48
values_65,84,43
values_62,84,26
values_21,34,98
values_95,104,43
values_84,63,92
values_58,77,44
values_64,84,92
values_83,63,22
values_94,104,92
values_0,13,26
values_99,104,47
values_96,104,48
values_67,84,112
values_61,84,98
values_43,65,22
values_2,13,26
values_54,77,92
values_30,23,26
values_59,77,47
values_85,63,43
values_74,124,92
values_90,104,26
values_18,89,44
values_52,77,26
values_44,65,92
values_17,89,112
values_36,23,48
values_49,65,47
values_86,63,48
values_37,23,112
values_56,77,48
values_63,84,22
values_35,23,43
values_97,104,112
values_75,124,43
values_57,77,112
values_88,63,44
values_10,89,26
values_53,77,22
values_8,13,44
values_39,23,47
values_47,65,112
values_60,84,26
values_89,63,47
values_51,77,98
values_14,89,92
values_28,34,44
values_16,89,48
values_34,23,92
values_82,63,26
values_46,65,48
values_27,34,112
values_20,34,26
values_9,13,47
values_92,104,26
values_3,13,22
values_98,104,44
values_29,34,47
values_80,63,26
values_73,124,22
