inputName,goal
11,195
19,58
12,106
38,124
81,195
5,234
40,205
70,205
23,222
72,106
79,58
78,124
87,243
6,142
68,124
69,58
1,195
45,234
33,222
15,234
93,222
24,107
25,234
26,142
48,124
71,195
76,142
7,243
50,205
22,106
4,107
32,106
77,243
91,195
42,106
13,222
41,195
55,234
31,195
66,142
65,234
62,106
21,195
95,234
84,107
58,124
64,107
83,222
94,107
0,205
99,58
96,142
67,243
61,195
43,222
2,106
54,107
30,205
59,58
85,234
74,107
90,205
18,124
52,106
44,107
17,243
36,142
49,58
86,142
37,243
56,142
63,222
35,234
97,243
75,234
57,243
88,124
10,205
53,222
8,124
39,58
47,243
60,205
89,58
51,195
14,107
28,124
16,142
34,107
82,106
46,142
27,243
20,205
9,58
92,106
3,222
98,124
29,58
80,205
73,222
