inputName,goal
11,150
19,103
12,140
38,187
81,150
5,160
40,148
70,148
23,158
72,140
79,103
78,187
87,240
6,71
68,187
69,103
1,150
45,160
33,158
15,160
93,158
24,194
25,160
26,71
48,187
71,150
76,71
7,240
50,148
22,140
4,194
32,140
77,240
91,150
42,140
13,158
41,150
55,160
31,150
66,71
65,160
62,140
21,150
95,160
84,194
58,187
64,194
83,158
94,194
0,148
99,103
96,71
67,240
61,150
43,158
2,140
54,194
30,148
59,103
85,160
74,194
90,148
18,187
52,140
44,194
17,240
36,71
49,103
86,71
37,240
56,71
63,158
35,160
97,240
75,160
57,240
88,187
10,148
53,158
8,187
39,103
47,240
60,148
89,103
51,150
14,194
28,187
16,71
34,194
82,140
46,71
27,240
20,148
9,103
92,140
3,158
98,187
29,103
80,148
73,158
