inputName,size,a[size][size]
values_11,6,"[[-2712149576882278735, 6834420141756532193, -1792826383830463343, -6196093277351420200, -8673842198089538039, 1795113318385947019],[-269414544406766219, 5188191999683394878, -2476697222533151953, -3556135045114121083, -5759189559019903625, 4838544495717922882],[2614689741843049151, -3883122876140084233, 5863173611957335166, -4378556979526485535, -6708077501512107608, 6747321829111341875],[-930756204435228271, 3009685777383295258, -8707711366887460376, 1062524386573693665, 3355635533184791496, -4712868185108721455],[-8537318306700509639, 4315607416299791343, -7427517772272401949, 1637620521503933178, -3784813876442147286, -7944279051258451800],[1157825534203880999, 7559526010832274587, -1495669793893868620, 2639485979214205625, -4257776596104279082, 7473809636113823600]]"
values_19,14,"[[1669685624425316475, 184808399817218702, 787699374139844380, 4637678486359289455, 6092786585743200505, 1927056862076848349, 1381599176228957268, -3690381950583890947, -6851598517167982601, -1473577591937919786, -4220514053076189629, -5802653511229707673, -4622420355382858565, 7834824890751952321],[-268431406068926873, 3346750123366286972, -3122072058182812014, 2005633495648192544, 6017257155536003696, 7920343903355370189, 3962988116077171348, 1063139558928626394, -302272942931147488, 1307528700716636384, 5631598113472624752, -3069131167004144357, -1778184796945966590, -2767979886846025914],[1812023968140871078, -7660180496633776432, -1698715420824541738, -665696648442658958, -7092344827365154747, 7902534784832366531, 4987510761901351269, 985886268481162167, -2580106877204632052, 5133017857237065599, -3337648242438376925, 4623461675006820240, 3236457197542278868, -8130058763692372661],[-3339872905304160077, 5157629508482694630, -9009551342373440486, -8353895244589770402, 4695097018350216363, 1937805249359230428, 3780367417479210723, -848593669739520326, 6916512805340675945, -504877887161720171, -2841442957271519911, -1735773667611705063, 7505397784667620677, -8934038795677700026],[5342056281352288915, 2694070903123895131, 4272931032109238784, 6755676448141271456, -5003330578787983352, 4353263337193403758, 580530247974652757, 9127174261641798407, -6552028648427692293, 1606410509778051802, 2641040817574648158, 4583980847826887262, 1939737030186182795, -3801825581242679319],[7667139720445906613, -2048646731726240132, 5963084446607607761, 4907174996126955442, -2885222924013689807, -7523270643422330941, -4662004078748194906, 8071054196657381889, 7631588349924176315, -4912836953304965078, -4416232872674802690, -180988668599450849, 3977826178406907292, 5257711312563306740],[7525135805507896565, 4977387142382550841, 7608744562281684388, -4795358603095364676, -4310714140090319449, 1916360734449519882, 5205634563176885756, 701474949325754150, -2309475942394910433, -3606570381106970497, -5804059644296971698, 5479807994176114793, -2805226553030805424, 8277050532720821930],[892318068775578331, -7823500600836156219, -6013671528365331543, -4392193366004240325, -8130817593982651554, -7604075187159285739, 1335532512374894791, 5436083853730895361, 1067288913449083739, -1790558091954898113, 7423560938278234303, -35236908868738559, 276763462177943506, -4580606669895374572],[3571140424607888018, 1685711528756532045, 8307490361408253935, 5379253182067652617, -8638192687638297452, 6703754531934382701, -4099043328896004684, 7518878289929158748, 3725674382705090430, -7934401134413258677, -579799144654116698, 8129326698741404344, 470402216076067430, 6798070872002988719],[5170023594640190457, 6316869639472999306, 3585452513649404185, 844860640463664382, 3595539457474070776, 68772193675822247, 1811025508266245890, 2418237822292062895, -4037420720563302089, 4448872012377074877, -3186513192755509622, -3838559690824409987, -3809419311929628346, -7595714863863481396],[-7149859231688206443, 2095705073585247659, 8747648969330439515, -1474086971655343421, -6011736229632573350, -766673453770272863, 1047109791678883931, -843097713319385513, -7783065976483192462, 9111615119440594283, -1655521517851855139, -1588259478073067402, 5949948080172546059, 8651578769044328282],[-4775067102931313858, 508564839434018756, -946261093161926530, 7120900992603508562, -3266474749795639615, 4972894598442938051, -2835280250438416712, -9076161818851220737, 1116718727706878905, 3357619409995131203, 731754777534643006, 668255414482875175, -5921824801506130621, -3951442358283290272],[-1689364877309018470, 4789136772488306997, 4444490651723608154, -2335764536500297893, 3194345186194691590, 8748607309839908279, -203496910001720567, -8636300507689547932, -4586457835679170770, 6497202398365656466, 7637373430159151154, -5446977569734651779, -3569424915475089291, 2660585554597925013],[-7696497256755565578, -4037489768414646027, 4057895770488830506, 5504937234356276834, -6878087106544249910, -962133874302431843, 528036601683827371, -2073817349807197519, -2715051771459125134, -4348236403684153014, 1744552816892291825, -4524788740672231278, 2020067136504681557, -392856871277022417]]"
values_12,12,"[[1699185440918896677, -3236394478175740650, 7063924476821507204, 7336260257308206934, 3751781482866713625, 9183556540835829174, 5892347930449507649, 2843328941633233621, 8521537026574802008, 586757168757821010, -7997785285761033024, 5503498532307073880],[-1718659953446439219, -8850407495153117263, -472142067950422952, 312205414865786643, -1908882567262767589, 7982322935434724767, -2817461873308666640, 9012458106336724142, 8630894832567592546, -3960154398938223359, -4709406567735371485, -4906726435362343530],[8739772006451201770, 4471626647822298212, 4525069694618213741, 1298848377631431806, 5762716767406421873, 3325369144095771582, -6333269145100858104, -8434676018765020088, 6659579798514710611, -7530443031556622044, -2898821924765937188, 8358554988787521016],[-2527778895631450480, -5273969227327011915, 6321839712131849246, -2123262215827486852, 2200488377804976469, -5484567723480703466, 2291232468181947769, -1786652589895281661, -9133303837068234881, 4030575321428195997, -5864985143155082793, 5635336941182075585],[-2264234217863008130, -5028226484820442838, -3271224028525434534, -7814478826692642371, 2543647018916650784, -3545756760463386368, 8248727533675609605, 7282333250411060849, -7228110986963485859, 2919968732557259728, 5198204985738698951, 2247314241715899605],[5083245128068010594, 3977087117521590295, -6559184019859092722, -906181804163515942, -5034768703844172457, 4795857839904114331, -3617778271456757593, 6445776867108467343, 4822652076219058172, -7395963155678655529, -7699165508086590313, 3806030962003769527],[8253470129887463288, -4387157353873021010, 184075685973487571, 3401458446528572623, -48217253570702573, 6389664029600664250, -3144715589351795122, -33118797372209267, -3103248452790293890, -1193254832634736806, -3847475249616318677, -8061935220956319873],[3472908845407575957, -4539234283969744485, 7712622780066025229, -4594295158881930832, -906183285757349870, -4678008368263010692, 6203204278865500428, -2249250760298473670, 3438015863678149927, 8688999841426274036, 7993608912804704535, -7257261926272209455],[-4347514625945268210, 8134320287326119236, -6563823750610673302, 2556052373700236291, -7753664240754588434, -36497870302458588, -3267730877576839989, 7022988974596078310, -1337028328055858424, -4963241573011356041, 7255820565716349727, 8121569941313178005],[-8902851977007853592, 6204003332688934245, 7205100622956918878, -648253233003711760, -7783773918521938979, -6923538873126890004, -3178788935871310060, -6843388079823229850, -5023691355624689197, 3830899152891955675, -1863189729635539960, -7509436917435122072],[3783996775881562231, -8596812463944107092, -7928019919892779115, 3479347738426268752, 5010210000891399795, 5023509197559393555, -5373662573255956685, -1624323212286895425, 4593029199481001031, -2050011303304215885, -3323806083663926291, -7674088418431134967],[-3390412770452770496, -1004180987546553708, 6622426097531550853, 3762015580199303040, 4163672825070090749, 5820900589312197296, 5060549414307842491, -8861303606672833590, -4860277032510251512, 3438562125153589815, 7373034759467992953, 3417009670325233492]]"
values_38,12,"[[-9139728617909484041, 2931286066668481205, -1506847568111253134, -1284582219828551898, 6738794878909641372, 7842239690659995095, 7045716884687745355, 5350331529190673810, -2773188554768956461, -8427612775894057464, -9030123144688455875, 3424655887627583745],[-3209373040399645479, 95059564374178805, -2095600821089709226, -6531990630978929770, 6152182582371394047, 1867372253049314101, -1383191689813301753, -7895192692328342151, 5052189972218944120, 8894140368449219235, -3232484707491325706, -3408033897894636922],[-6656407062219647602, -8380291591533362468, -5444227938101064210, 3559698343434597011, -2359854656926577437, -5752267152858475521, 8029433318642479599, 3577886635441906196, -2439054683753217053, -8822805406526169779, 8555368747330612363, -6601346938014306338],[3198768018605524160, 3845169684588061694, -4105793573173199278, -496421681405059231, -6913203204171284812, -2759569667777465782, 818849761022649398, 1853002808815426733, 7584037174628930624, 4782946807881676437, -9092771797470085418, 6754743540453616711],[-8780777754981347531, 6762742436229604381, -775698038448220689, -1791126513356989422, -2524924719919112219, -5295980596547356129, 5152384320732479595, 5260140662628310007, -5018936515722208448, -6177248239972968091, -227385890603451955, 5269481102616603091],[2110652938909345953, -7812923231240984611, -7391324830109207045, -5093938428190174437, 6405285373194564206, -4636979489336796513, -5827714372597540111, 4151961823589432317, -8967679644847443355, -8215862761109200944, -2410836808271004895, 4565295741861664812],[9143349215716962972, -7912950069323061104, -714163124176827493, 6276774863001782617, -6454339364192746195, -8269670135118373089, 8029366264445403999, 7121135345835124730, -2298334280649124873, 7072987291566061865, -8084560709385320617, -2662877245520077684],[-3404036448317564907, -3284822262814927177, -1120556614623365508, -8815668733549140430, 8088544961648964544, -2300121034110491137, -6469615667878140393, -5599995489150265427, 1660039112569807263, -3427289113477908166, 1920324567699433464, 3243780266405688971],[407110819669132182, -3221930965344144463, 398037274932903572, 1962909350276986486, -1769596514229666898, -6892050655329800809, -2488955412319434601, -1920355136709652873, -1050430132191105369, 8239119731114919350, 284300753276107268, -9175684562530123414],[-1430619427631283298, -7445849409605358796, 7815268055225153539, -1564441696639173408, 8766040318997390557, 7832873213980457203, -5008803124047572476, 8291034560871837603, 7170636697731229806, 6881864115201014375, 3306171143832681064, -1995527792234972819],[3356804194850003580, -5161544950159581123, 8007066715131362354, -3401681824359863879, -5267655255506090057, 4492794180601891101, -6500058045857456874, 5888462185450842357, -4795059948650796418, -2021666748967350535, 5827129199036521740, -5552831263594932496],[-6732464887548019551, 6528250752845936529, 8308112542035234449, 143090837638967943, -3157792799502691725, 5828584627847292414, -2419899185330282272, 628464335621717677, 7820240678813128455, 6159961042327015830, 7484063608541619396, -4981795953476329776]]"
values_81,9,"[[-1072131610816907520, 4380803786581036264, -2070176621459900466, 2956381731595994670, -8806222105880876154, -6313203713435734368, 8129982387383413504, -7279151252352342073, -4264898119826857096],[8904943697521326955, 1950639120422641394, -2537146793302800292, 4024050094935832737, 3884825166955479284, 87872473092906499, 5605508610762654137, 7060140052450712275, -9048194653953870946],[7566202562335483206, 1171163817352101371, 2439828399747689041, -6177141177204225510, 291503031349248053, 6589407612849613908, 37542660143510667, -7607991195965297989, -4890445332538855213],[-333760704476279907, -4231419225317677174, 9110563004177795428, -4641657406861694767, -5513436834190900238, -5206430317244812935, -5660217215967850286, 4072933938836121391, 7383845836387259197],[-1744658854811072028, 8854642184849289102, 2961112192113259260, 8272047129046019304, -437450736823210904, 1518004982975414711, 152136949629515058, -1327492287839777957, 96172584383093877],[-2047865477394031093, 629379239120205488, 609172226549769156, 5446716481626793200, -6084290788218485037, -1818626029676961248, -6291437362312734431, 6277334065853041911, -7812011110623895211],[3546125931210138645, 1097658790755432889, 4398961926351033530, -6921305599938647706, -4199190495292049106, 6267003786312106022, -4893193660826223147, -8708557258223053932, -5725121473230910082],[5909366488574926752, 3624489423079195733, -4938676866591518502, 8254358961068140367, 4112121275539422618, -1241615914572719306, -7919962506857938995, -7187013206015003292, -6506370166387947578],[647469000449377521, 5909283209177032550, 8205024966149049133, -3596473978132586110, 8657173783081642954, 1495167867993954721, 770215830288230190, -8908957053148436831, 8744704685237959105]]"
values_5,12,"[[6805933733014198364, 2875985301727949116, 3362459054576799801, -8133582017233246566, 9118864555389813287, -561418020992605229, 1295138284884358311, 1369397280998937838, -5420645788637725828, 5293186899805819715, 5232353189301576241, -6482979972901235361],[-3911887091165630726, 4783417095442929609, -9110013709077869274, 3808337087091180534, -8524502267573736386, 3546220808086621282, 7101211858748317502, 1186482597691092553, 3899099844583915229, -8789644129885678598, 5674427484077434975, -6861155798457595712],[-8059874218025866300, 5701078199351261085, -8000379677799168887, 4994277487388002206, -4229524709644751205, 7911449542853246682, 3471222569010680139, 5154620582847248108, 101482732341633757, 8128860070266415523, 5910093706175769030, 5525036901812761577],[-8790734486258446565, 144307777985790345, -3912324839966260271, -7847742685198405552, -7971692994773571701, -441015824209725313, 135090225969815328, -6109838646000730161, 8014923713073722889, -2656957502906534413, 4975586908732458243, 1467338164028506047],[7960992026224243471, -4905963175482483044, 7910002233685423780, -7887693213552871732, -6686426827168222205, -2730770410551563188, 4765249590545578462, 8226621279815328455, 5682430659677757427, 3120551336024319775, 4135484383578382434, 2923270197975263394],[-44966798444775147, 2991049814655776279, -2116604317092117262, -8817128265664989601, 4746326852553544225, 8413388088491975315, -7060224820572354742, -650340495720169602, 8810097612003995192, 5276696905037998282, 9222801313168072649, -1226987257392637891],[3752593296974316433, -1249702169422105582, -6733386187597725237, 5167183805923669002, 1995952218713758114, 944647340656829305, 2060220597060544613, 603625555505673698, 380754418651287297, -1875770557016018109, 5575432060884879384, -4725915880759573302],[4356166880591497852, -8476427659890712606, -7603482339502116306, -3312304135766857980, -8467209449663505476, -1952907732968117481, 4162353750510196753, -4338157992537443564, 5537189912001113065, 7969022887851902605, 831382070818995341, 4090823329192468674],[-3153202214525582261, 7822413311565847153, 8683978691022709424, -6993594580891044599, 4012670668878185460, -6554988444749040321, -8897895902212062534, 5696832006944904822, -7286532498737041003, -185384742101572728, -1763648140188764943, -695177227985400560],[-6893979808403043405, 5515559791853919067, 3674764636043549513, 9026907375653229136, -7490602654868129152, -8212539783601561122, -8374499122511562052, -1036009549277023927, 8432228028565065851, -5067882521691423392, 9017750751597260784, -3589068675982103308],[8506176087728271634, 7883723513427925967, -4021931698400823208, -7534575177908222940, -3548773668645921946, 40719401203339460, 4128920803699199477, 5334481378584989085, -6478520515733690490, 6895799125948264793, 4044728587342352594, 7897929297414162952],[-644769656784202988, 9151186943533026168, 2150132107553150055, -735677608074971852, -2074020096330181377, -6177581144418091050, -3417377438723757332, -5204026014362829843, -3396718034226782933, 67464232114147309, 3900260606006230130, -7780593507961809346]]"
values_40,15,"[[-6813326606836279476, -8977373622056569466, -3151898238740757147, 4725821254262272573, 4066882314891985583, 206330685274289645, -8850079143119301371, 4521706864976308819, 3239918191348819108, -6611483427384203890, -5671523830769972304, -3545697187163309868, 3858839060650028318, -5625792562305750449, -9098061309027257308],[5149452961375422432, -6873531206018180402, -7550092014137085344, 6617760036660752860, -1453517711900953285, -2706744714128685503, 4309290376233164996, -7276244863262444028, 3304952321329199141, 325123479183782589, -1800619718005401466, 1633460183872775183, -6529565249180017490, -7301470708116407811, 769917369750546250],[-8245347071492860790, 3154593436514462420, 6199751564909140408, 7526097461146865400, -7785644280880541000, -1247833916712536488, -592618758809638979, 2265211521350130457, 8554281137983011095, -8691417531060406353, 5043934063383754163, 1127977661289987585, 6922943060406309412, 6051897389899671161, 3822580830998846557],[-7550098342648651601, 7738942823344994172, -2314640852435484084, -7174275153883110270, 8784456265338995870, -1312998016999673879, 945622662755045835, 1109729580331241181, 251888334193847756, 3418943444501299701, 5901415976607156239, -958080652673775008, 4351881162796951151, -1876149757289939976, 8009731530582100260],[-6725919170082642642, 823419269841039077, 5857293598349807218, 9216474840132985309, 7420185183546072534, 2092618394399164149, -5123082609079818423, -2100631216363729351, 6572045419134925137, -103788951158762416, -8847450764886581621, -4323200242318243196, 3021611101584269692, 3075134103852643343, 5089913567272621119],[5597495691846988606, 282070288258442060, 1022057577439818727, -6486936709110004870, 6414338659942018010, -4415382667084780585, 5464329847960589809, -8241639398324061468, -5520054819269068209, 8268266935256459902, -6721202515131689730, -943870616339480403, 2798505869517282415, -2536517235912869768, 7814775800464935524],[-864794468439322151, 3939607178675776454, 681588736772733682, 2866532970549704947, -7549701030705095275, -2820037927687178473, 6024115363690102541, 5136435175507323492, -1399254381736498244, -6341623162278507194, -5662233754260807741, 5977927386146391598, -6121907248038790057, 146622682620835502, -3470501270411306956],[-6313196443302883873, 2141488498062436656, -6571772700857373510, -5720730595139312532, -3007464726211854885, 6404330207513764992, -1464306226132897647, 5061133511378765075, 1423213197660247522, 3769092897016599149, 8523786321480996650, 718993873853712538, -3826124393943498100, -3340118158449267212, -5576327111608971866],[5179427640993087415, 3101877460131595353, -8274685122350156371, 3774956313420496521, -8681921838272573127, 6530725090624264016, -5927712834812964005, -2555000646929711928, 36216640946758837, 8241683545144476505, -5005631967494631026, -5518902412603128195, -6262398142319953703, 7217846544624291474, -824289951298996097],[6779963181603528691, -6737763866049333433, 8511535536178134076, 6870910852648531844, 3917545479390664112, 7067176527359702506, -8527973465522302098, -6714498784281144187, -4260702110963146382, -436637088576799335, 5568598557029966870, 6576679561036193027, -5566955512745751386, -8018818197163535056, -1294071912661196978],[8754412908198492028, -628216907041806770, 2631027308547528664, -3637117136553236213, 1684397665015251097, -2160158666953030690, 5881353495473311720, 4742721375524600606, -6669759880133495765, 6530594491084545244, 1560416968529423866, 4763965573849626550, 5714257483613402949, 2749266885148177041, -1582825685942688502],[434076700081839112, 1952941971819425682, -956558302274203312, -1505361982728381112, 950324110807803190, -337031873581010886, -8313922548275777960, 2955063897708974819, -6002023564923857501, 4896853221823919269, 9176759986651665844, -7256432309175487544, -7217812833632159987, 1114525203843043055, 1493577910244735686],[-7349365197171849564, 3666823545147151996, -2570715668142873877, 5889927066546385913, 3174255743962466978, -7007459800428291691, 6357752362898624072, -543770363714550082, 3410111121663099935, 4559847892460630555, -1842374633122176180, 2857440152654402885, -1152128335519551091, -8387871236474083110, -7846869956349900002],[5746105519665272370, -2772326190960916659, -3257720997877371913, -2785602208629310784, 8127941739085670450, 6469456242427425300, -3595440646056685958, 865719845777622989, -4216837902011449605, 519514768090359955, 6863784767861612487, 8067084852659738413, 6178351797177864638, -1052041139535395058, 9115903936546998045],[4188897534502561797, -4421707883870161038, -3066461528196151935, 5171241881133465783, 7882479792163868677, -1920617014466446815, -4738667701545605903, 6547344917534934892, -3120636809691231422, -5767478487503665952, -9038427977723984256, -6865075426635698077, 3647495320352198754, -634816631409731744, -756271203244581374]]"
values_70,8,"[[-4875012403871957770, -5343790831806598811, -4847757060554254313, 2396964084705171835, -8486967477714754187, -2960757793681170736, 2101231729292337242, -8227994067553415906],[1108177997528245730, -770599366446786536, 3829144608738770895, -5954614838859981532, -3972538514404276292, 176758681240997762, 3275461033149061831, 6249323260596633828],[-542682697175641355, -6468902634425808420, 3467318780336613045, -5882655223952627067, -6854990525700672362, -6603172234357739776, -4731633154421139834, -2036635725747174806],[8851659804355535624, 1505079248800337431, -6252115902964935857, 693889327329276948, -1584907152293206973, -9166220940563526543, -7434714315595527501, -7232237147597518751],[7745535542099207215, -9060392685010804813, 739318599495369025, -5415694346030280404, 5424971653864491303, -768866966798979405, -1894640016071972817, 8578370023103007913],[6707198665100422610, 6419427836598359566, -2664688742689652854, -6763730166501380416, 3112736188896790008, -643400649398044049, -3711822380059276168, 2749743674948574588],[-2275646349712802288, 3006396307931099241, 4451318381736090122, 2337058613372113103, 5331802594802562090, 194951131488018879, 5301213677840748364, -8107782382783594234],[4539168986873915530, -8934244742008692850, 4582144845942863249, -9027991677580850092, 601507047064279204, 6073152660431044823, -764521311960614330, 2664828330417541668]]"
values_23,11,"[[549700444439681081, -2135743037346537595, 5069613780576363825, -5910595981394957193, 5273235253213706197, -8588349553349265916, -1912344520855990019, 3898614663019960853, -8411231384580879714, 4120704308100599829, -7593840620848583838],[-6940036222550693037, 3439233422180099937, 3151392374962348508, -6966842782680868910, -8985861504943299794, -1940099232857853707, -2511377019864411129, -2628872078061547871, -5343134243627508148, 5446850629776565477, 7898280413541119247],[-8047407622135157420, 6025004580183565817, -8004578939405954545, -7035290581056046999, -7303109210399044510, 1679693994882230338, -7426235320268344847, 3816259628673947760, -5516500421180027276, 7372674800127212087, -8340241060983307579],[-8384751495836916801, -8582944937471599768, -6836091012836900298, -2644186845243456223, -188523048012487562, -3750100533588657582, -3126974976665494648, 4077719397019421970, 5024528920097549641, -7328440572735233686, -4141926196722207210],[-6378866555415585150, 3193964249835485719, 1252748136047921777, -9149961437232750284, -5798776937689527130, -2461859712860263232, -2684531524167597204, 3315604296015071750, 6167920614145125240, 4312787166803143692, -2744008328928698180],[-531202321048956429, 4242295910218733389, -556812051846424388, -5197286154606158535, -8231691692516878170, 8069304598885392899, 3976302069100429803, 9221425395479534206, 7719779028319414187, -262908501145961147, -5706626440018311514],[7681847284193261816, -4859305721520763069, -8489672049795191167, 7816319648452387128, 2955646200891218630, 3087722012621202630, -6094244928407238836, -3128757032975506163, 5601047614309907875, 3714971279025316491, 5156873893728597963],[6330963297021247427, 8285840295732503122, -4912574448015239763, 2967262906661484294, -1170995631516057368, -1903710353595624544, 3266551733791454384, 2776597231470940500, 1937662504889201837, -6103460987447599562, 1605222718953024171],[-7234929925167006625, 3175812631704061320, 3708106094089753969, -6447974670741938604, -7832997275851370727, 4280343607411375246, -2691724725394620128, -6412514409362129748, 4035475306270125582, -8361685749258474585, -7828147547410654927],[2652972586362650074, -1923312021495390017, -7682973750299548681, 353398998514648948, -379267691868321878, 5244307353595928089, -4416001186873345442, -2383215209636705579, -9185702300615875003, 6051957345700908735, -5564497314441023463],[-726469025071410887, -1244882079576097858, -5411696036833237718, 2283867823116494301, -56579915579078226, -6102128266433066077, 4716654749173415663, -8896281218712533391, -7484797367997568525, 3749290417441783742, -1988300468964189577]]"
values_72,7,"[[6221790336459068388, 2735261502150778884, 6449431860473849434, 2338612661610921193, 3826145611338739165, 5285566051516463762, -7465634779221174658],[-2381009254199207657, -3379618415495925596, -8440033276507518925, 652908096532499194, -3315705039281042494, 2169218708111165774, -7383921884723190027],[585834275864570028, -7127937845651399054, 7132683793519184179, 6418367274226416586, 4628232578887173208, -1347540706984203150, -867512599818974191],[-2907482246737335253, -575600110418278611, 6768935385033283920, -3031124128022005777, 7608535780496221952, 9047758315544465968, 3403657227299283822],[3547017661004414175, -2601057526320057621, 5437120003798254451, 5365969304605604456, -6182247313939360261, 8865283357702279095, -4420370355704933016],[4933053565939424260, -53119571468704349, 7246490776656052805, -3154408114818465898, -1069739146983046836, -4340292727431880250, -8390675307457411993],[-1132505978152862596, 8676085411737467438, -1341473509882632662, 6320605355775329882, -7301878554039710887, 5426074183617747061, 7132783225665845459]]"
