inputName,m,n
values_11,2984433918854927858,6548029974068542501
values_19,2984433918854927858,7243193852494451867
values_12,2984433918854927858,4475218772570256482
values_38,7234366795413974156,4700527901178214593
values_81,3455561558237232161,6548029974068542501
values_5,3918376537089378856,8112485787221398060
values_40,501963715116766198,7093340444800982998
values_70,5676882676403694196,7093340444800982998
values_23,1139113830137993793,7086562741894866745
values_72,5676882676403694196,4475218772570256482
values_79,5676882676403694196,7243193852494451867
values_78,5676882676403694196,4700527901178214593
values_87,3455561558237232161,3681450282120454206
values_6,3918376537089378856,4255438336327745088
values_68,52485430386755304,4700527901178214593
values_69,52485430386755304,7243193852494451867
values_1,3918376537089378856,6548029974068542501
values_45,501963715116766198,8112485787221398060
values_33,7234366795413974156,7086562741894866745
values_15,2984433918854927858,8112485787221398060
values_93,3405511014857776944,7086562741894866745
values_24,1139113830137993793,8304680539093957753
values_25,1139113830137993793,8112485787221398060
values_26,1139113830137993793,4255438336327745088
values_48,501963715116766198,4700527901178214593
values_71,5676882676403694196,6548029974068542501
values_76,5676882676403694196,4255438336327745088
values_7,3918376537089378856,3681450282120454206
values_50,325014732741614418,7093340444800982998
values_22,1139113830137993793,4475218772570256482
values_4,3918376537089378856,8304680539093957753
values_32,7234366795413974156,4475218772570256482
values_77,5676882676403694196,3681450282120454206
values_91,3405511014857776944,6548029974068542501
values_42,501963715116766198,4475218772570256482
values_13,2984433918854927858,7086562741894866745
values_41,501963715116766198,6548029974068542501
values_55,325014732741614418,8112485787221398060
values_31,7234366795413974156,6548029974068542501
values_66,52485430386755304,4255438336327745088
values_65,52485430386755304,8112485787221398060
values_62,52485430386755304,4475218772570256482
values_21,1139113830137993793,6548029974068542501
values_95,3405511014857776944,8112485787221398060
values_84,3455561558237232161,8304680539093957753
values_58,325014732741614418,4700527901178214593
values_64,52485430386755304,8304680539093957753
values_83,3455561558237232161,7086562741894866745
values_94,3405511014857776944,8304680539093957753
values_0,3918376537089378856,7093340444800982998
values_99,3405511014857776944,7243193852494451867
values_96,3405511014857776944,4255438336327745088
values_67,52485430386755304,3681450282120454206
values_61,52485430386755304,6548029974068542501
values_43,501963715116766198,7086562741894866745
values_2,3918376537089378856,4475218772570256482
values_54,325014732741614418,8304680539093957753
values_30,7234366795413974156,7093340444800982998
values_59,325014732741614418,7243193852494451867
values_85,3455561558237232161,8112485787221398060
values_74,5676882676403694196,8304680539093957753
values_90,3405511014857776944,7093340444800982998
values_18,2984433918854927858,4700527901178214593
values_52,325014732741614418,4475218772570256482
values_44,501963715116766198,8304680539093957753
values_17,2984433918854927858,3681450282120454206
values_36,7234366795413974156,4255438336327745088
values_49,501963715116766198,7243193852494451867
values_86,3455561558237232161,4255438336327745088
values_37,7234366795413974156,3681450282120454206
values_56,325014732741614418,4255438336327745088
values_63,52485430386755304,7086562741894866745
values_35,7234366795413974156,8112485787221398060
values_97,3405511014857776944,3681450282120454206
values_75,5676882676403694196,8112485787221398060
values_57,325014732741614418,3681450282120454206
values_88,3455561558237232161,4700527901178214593
values_10,2984433918854927858,7093340444800982998
values_53,325014732741614418,7086562741894866745
values_8,3918376537089378856,4700527901178214593
values_39,7234366795413974156,7243193852494451867
values_47,501963715116766198,3681450282120454206
values_60,52485430386755304,7093340444800982998
values_89,3455561558237232161,7243193852494451867
values_51,325014732741614418,6548029974068542501
values_14,2984433918854927858,8304680539093957753
values_28,1139113830137993793,4700527901178214593
values_16,2984433918854927858,4255438336327745088
values_34,7234366795413974156,8304680539093957753
values_82,3455561558237232161,4475218772570256482
values_46,501963715116766198,4255438336327745088
values_27,1139113830137993793,3681450282120454206
values_20,1139113830137993793,7093340444800982998
values_9,3918376537089378856,7243193852494451867
values_92,3405511014857776944,4475218772570256482
values_3,3918376537089378856,7086562741894866745
values_98,3405511014857776944,4700527901178214593
values_29,1139113830137993793,7243193852494451867
values_80,3455561558237232161,7093340444800982998
values_73,5676882676403694196,7086562741894866745
