inputName,m,n
11,678107113.555,1344723636.492
19,678107113.555,846396798.431
12,678107113.555,173107238.513
38,606827848.347,488043719.046
81,1271524427.606,1344723636.492
5,1819042876.109,2076906803.222
40,1254826477.287,511837533.056
70,1606530720.72,511837533.056
23,574808473.769,1245262533.175
72,1606530720.72,173107238.513
79,1606530720.72,846396798.431
78,1606530720.72,488043719.046
87,1271524427.606,831032313.536
6,1819042876.109,1525406834.659
68,135253463.859,488043719.046
69,135253463.859,846396798.431
1,1819042876.109,1344723636.492
45,1254826477.287,2076906803.222
33,606827848.347,1245262533.175
15,678107113.555,2076906803.222
93,486600612.941,1245262533.175
24,574808473.769,1353093016.949
25,574808473.769,2076906803.222
26,574808473.769,1525406834.659
48,1254826477.287,488043719.046
71,1606530720.72,1344723636.492
76,1606530720.72,1525406834.659
7,1819042876.109,831032313.536
50,709491136.185,511837533.056
22,574808473.769,173107238.513
4,1819042876.109,1353093016.949
32,606827848.347,173107238.513
77,1606530720.72,831032313.536
91,486600612.941,1344723636.492
42,1254826477.287,173107238.513
13,678107113.555,1245262533.175
41,1254826477.287,1344723636.492
55,709491136.185,2076906803.222
31,606827848.347,1344723636.492
66,135253463.859,1525406834.659
65,135253463.859,2076906803.222
62,135253463.859,173107238.513
21,574808473.769,1344723636.492
95,486600612.941,2076906803.222
84,1271524427.606,1353093016.949
58,709491136.185,488043719.046
64,135253463.859,1353093016.949
83,1271524427.606,1245262533.175
94,486600612.941,1353093016.949
0,1819042876.109,511837533.056
99,486600612.941,846396798.431
96,486600612.941,1525406834.659
67,135253463.859,831032313.536
61,135253463.859,1344723636.492
43,1254826477.287,1245262533.175
2,1819042876.109,173107238.513
54,709491136.185,1353093016.949
30,606827848.347,511837533.056
59,709491136.185,846396798.431
85,1271524427.606,2076906803.222
74,1606530720.72,1353093016.949
90,486600612.941,511837533.056
18,678107113.555,488043719.046
52,709491136.185,173107238.513
44,1254826477.287,1353093016.949
17,678107113.555,831032313.536
36,606827848.347,1525406834.659
49,1254826477.287,846396798.431
86,1271524427.606,1525406834.659
37,606827848.347,831032313.536
56,709491136.185,1525406834.659
63,135253463.859,1245262533.175
35,606827848.347,2076906803.222
97,486600612.941,831032313.536
75,1606530720.72,2076906803.222
57,709491136.185,831032313.536
88,1271524427.606,488043719.046
10,678107113.555,511837533.056
53,709491136.185,1245262533.175
8,1819042876.109,488043719.046
39,606827848.347,846396798.431
47,1254826477.287,831032313.536
60,135253463.859,511837533.056
89,1271524427.606,846396798.431
51,709491136.185,1344723636.492
14,678107113.555,1353093016.949
28,574808473.769,488043719.046
16,678107113.555,1525406834.659
34,606827848.347,1353093016.949
82,1271524427.606,173107238.513
46,1254826477.287,1525406834.659
27,574808473.769,831032313.536
20,574808473.769,511837533.056
9,1819042876.109,846396798.431
92,486600612.941,173107238.513
3,1819042876.109,1245262533.175
98,486600612.941,488043719.046
29,574808473.769,846396798.431
80,1271524427.606,511837533.056
73,1606530720.72,1245262533.175
