inputName,size,a[size][size]
values_11,4,"[[21387, 21150, 11000, -21140],[23484, 17026, -6434, 32467],[22932, 13023, -29891, -13122],[4821, 26204, 20409, 7141]]"
values_19,10,"[[-22253, -6327, -19378, -14795, -1212, -5122, 5127, 20524, -21878, 3558],[-14239, -25581, -14789, 7046, 22094, 5135, -18675, 22025, -22145, 5195],[10754, 25014, 8082, 32436, -6547, 4802, -2474, -31562, 24356, 13100],[189, 9759, 1864, -163, 31924, -745, 19648, 6001, -22928, -16908],[-25263, 19709, -24021, -7361, -23388, -4378, -15321, 30363, -7382, 15101],[19262, 11367, -31143, -23494, 5382, 32181, -736, -14599, -22307, -21289],[-5729, -11549, -595, 25021, 3472, 25454, -22839, 18299, -13631, -28084],[-6441, 29351, -30337, -3663, -26849, 11533, -27454, -206, 24696, 24490],[-30757, 2895, -14467, -22820, 22507, -21090, -25644, -29433, 30380, 14291],[19481, 30759, 11901, 27027, 12462, -11970, -27303, 11951, 30262, 2506]]"
values_12,11,"[[-19500, -9454, -13047, -19025, 28088, -20079, 8057, -31305, 4035, 16467, 823],[-28786, -30707, 12091, 27452, -30622, 318, 28752, 5989, -21373, -10876, 5],[-26228, 19296, 28140, 32651, 553, -20127, 9458, -11568, 8359, 9343, 7182],[-6553, 2699, -21694, 15970, 32246, 19143, -22072, 14864, -9185, -10511, 31269],[19213, 12086, 16025, 16379, -3927, -11142, -4419, 24693, -1641, 31870, 30664],[13075, 10204, 19758, 21486, -20247, 1921, 3753, 27017, -32109, 18570, 29034],[12159, -22144, 5177, -11418, -26279, -11307, 18096, -6913, 21202, -26163, -27713],[-3846, 19356, 28797, -26622, -11122, -31425, 3097, -29490, 27896, -11871, -3289],[-26723, -13436, -18202, 11108, 26369, 11138, -113, 28453, -10753, -13882, -24702],[-17526, 11927, -21508, 664, -19925, -21325, -32427, 23247, 3798, 6114, 27220],[-20713, -24111, -23991, -25869, -25393, 27892, -32254, 11839, 32089, -6991, -23883]]"
values_38,21,"[[6958, 31840, 1790, -159, 31574, -29569, 7096, -16762, -686, -23883, -25906, -22359, -11107, 14475, -22115, -16487, -21481, 11758, 19782, -1221, 31480],[32148, 16797, 25103, -21735, 3478, 5678, 13032, -32254, -26255, -30771, 4679, -23345, 30251, 1335, 32719, 8442, 27861, 18386, -5172, -2430, 26191],[19540, -29232, 29935, 19468, -32663, -6191, 23224, -10659, -9128, -28118, 26066, -18348, -8112, -30799, -28218, 6042, 29644, -14673, -31020, 22567, 7761],[-13996, -22629, -32520, -21303, -20657, 31130, 28950, -24174, -23198, -18796, -31704, 6161, 19366, -2806, -5049, -30293, -24751, -21513, -18051, -4524, 20819],[-29564, -1703, 29999, -15175, -13007, 10038, 8555, -343, 28186, 1447, 11842, 6255, 7993, -989, 30972, 24587, 2461, 1174, -9910, -5881, 11194],[-11538, 20118, 1344, 31187, 15214, 31621, 18565, -8987, -21445, 22803, -18872, 29079, -25551, 32353, -27357, -7695, -32617, -20258, 13969, -9946, -6170],[3183, 1870, -10582, -27302, -10753, -651, -11426, -13417, -12286, -30739, 8362, 14494, -12481, -29121, 26233, -29296, 27781, -31473, -239, 32581, 19193],[-25879, 23134, 3233, -15007, 32316, -10857, -1359, -32021, -25324, 13724, 17133, -29194, -30060, 5073, -16181, 24588, -9862, -31793, -2647, -32243, -10738],[24132, 14850, -16732, 21437, 4336, -3395, -17436, -32351, 7204, -25888, -5004, 26321, -24680, 5260, -22287, -29374, -27623, -2255, -29145, 21785, 25706],[27711, 9846, 26334, 4444, 5017, 21783, 20627, 16833, 9415, 29898, 31771, -15432, 8166, 4287, -9875, 13829, -9690, -27273, -32541, -18375, -29401],[19772, -24828, 13333, 175, 27296, -16392, -15057, -32582, 27949, 1146, -14005, 21168, 28759, 29406, -22102, -13647, 11443, -2352, -13159, -12154, 9556],[4048, 2705, 15744, -1816, -14903, -31626, -1921, -25706, 26991, 2183, -14601, -4607, 20628, 26796, 28545, -10357, -18189, -32067, 1624, -25192, 15194],[-17084, -12218, -19498, 7473, -9978, -13036, -21994, -3662, 15361, 31665, -8050, -2779, -6390, 6285, 4885, -24226, -22590, -20452, 2816, -25706, 18156],[-6225, -7810, -30948, -6876, 30726, -24507, 24535, -16642, 27316, 28155, -8110, 19958, -32237, 11637, 15375, 9524, 25874, 1528, 6599, 29516, 32651],[19794, 10232, -16755, -11782, -18694, -23418, -32654, -29929, -13283, -30910, -9633, -11936, -7877, 1782, -22713, -116, 4694, 25955, -31078, -202, 8180],[-18079, 17209, 16862, -26225, -4931, 5747, 20470, 15218, 5770, -7458, 8793, -2144, 25706, -13814, 3097, 8011, 5625, 7323, -14067, 18450, -31090],[5103, -27127, 6018, -20042, 12685, 21246, -31358, 31435, 29888, -31858, -21178, -9934, -441, -21062, -7139, -7631, -30767, -32017, 10650, 2035, -4427],[-3738, 24334, 7739, -3171, 14700, 4701, -22108, -9376, -24550, -18506, 11914, 26510, -10037, -31277, 7899, -26885, -13951, -23554, -7140, -14342, -4717],[4399, 25687, 17731, 6593, 2950, 29394, 20807, -15736, 19836, 25197, 10540, -20185, 14120, -23689, -14087, -28601, 31707, 6854, -16314, 5956, -14191],[1686, -17536, -9897, -32175, 9162, -21367, 22528, -22098, 1530, -19647, 11148, 6366, -13918, -19969, -29631, -14360, 12156, -68, 7255, 4873, -2898],[-13599, -6486, -12039, -19987, -8840, 15473, -14815, 26873, -15899, 15752, 23318, 23542, -20747, 9140, -18880, 30162, 7395, -2080, 2310, -2716, -9864]]"
values_81,23,"[[24399, 24076, -18284, 12642, -19167, -20354, 6322, 19593, -22903, 5154, -21085, -22201, 983, -13656, -21173, -10916, -1814, 4240, 5948, -1748, -5897, 21932, 2354],[-30314, 2416, 20712, -17798, 18791, -21241, -16262, -18694, -7569, -23367, 3422, -4087, 19450, -15784, -28757, -2470, 14452, -15532, -32602, -13993, -21305, 22909, -5777],[-11137, 15632, -13363, -11365, 2586, -32546, -20803, -22657, 24458, -17134, -17554, 14313, 4656, 18226, -14495, 13766, 17386, 10212, 19859, -22962, 5621, -31125, -17676],[4864, 9195, -7438, -10672, -27139, 29939, -10894, 12300, 15142, 27509, 14908, 20218, 19782, -10292, -6331, -3152, 22913, -22623, 23688, 144, -31190, 29713, -31360],[11322, -6252, -15258, -3994, -25020, -31147, -10735, 5717, 24744, 7928, 31002, -17301, -25763, -24407, -20956, 7998, 8874, -22828, 5558, -24747, 1242, 25806, 22995],[-20976, -12089, -5380, -408, 24955, -6333, 15027, 6272, -12084, -13574, -22634, 13642, -5299, 5819, 6465, 9354, -26648, -27592, 4664, 29433, -31578, -10734, 23946],[-19676, -32357, 13577, -1483, -19911, -4842, -2604, 7002, -22231, 7952, -25107, -5570, -8277, -23913, 26876, 18487, -6010, 26800, 2965, 30536, 14038, 4542, 873],[11421, -638, 24918, 9366, -27911, -31215, 7250, 3643, 28232, -9165, 31648, -27717, -17354, 15346, 1730, -15943, 7634, 5480, 19762, 7602, -9709, 31363, 31641],[11490, 28404, 5721, -11686, 15804, 11303, -5977, -12575, -17787, -32194, -28209, 31778, 25852, -31946, -28328, -1384, 25840, 31573, -26658, -22256, 11368, 24597, -10847],[29681, 18767, -19021, -13834, -31022, 28046, -30349, -10369, -28993, 29993, -30312, 23586, 9468, -25026, 4631, 3962, -4989, -11602, 16654, 25919, 29595, 20652, 24525],[15290, -2675, 2879, -10019, 2196, -17449, 27734, -30362, 31045, 30290, -8519, 22076, -15057, -18255, 23861, 26941, -31152, -14382, 6251, -7772, -4404, 26455, -6648],[-2593, -28132, -30839, -21215, 27701, -29082, -10775, -12300, 11304, 19745, 5745, 30269, -13291, 24948, 9780, 28198, 7686, 25327, -8003, -1131, -12824, 8431, -17058],[14602, -32154, -3451, 5314, 26524, -16811, -27611, 18572, 27935, -16810, -1977, 25642, 32046, -14713, 30095, -2658, 23527, -4992, -4133, 1998, 5425, -21586, -25219],[7432, -2506, 22437, 1225, -1993, 16653, -11032, -30778, 9329, 30840, 29205, 26254, 21674, 18387, -29443, -10888, 8037, -19559, -6921, -29895, 5827, -18807, 29437],[7375, 8730, -23508, 22962, 31144, -26187, 20899, 13815, 20050, 23953, -21199, -159, -9535, 16515, -17574, 22956, 8808, 20914, -17152, -30278, 30901, 11273, 23500],[-28259, 7058, -30730, -19915, -24537, -27841, 18752, -15090, 6235, -11916, -593, 15026, 9436, -10476, 11680, -10772, 7790, -19607, 23264, -20096, -3174, 5247, -13183],[-8109, 11025, 19842, 10251, 25005, 20691, -4094, -32744, 10701, -6381, 21262, 12253, 23037, -3196, 32730, -5785, -21716, 24441, 10970, -17906, -2475, 4045, -12204],[12591, 4381, -21916, 7570, 10586, 2242, 17287, -16436, 31276, 15154, 14275, -2595, 11004, 9541, 18826, -31043, -16093, -11897, 22014, 29866, -2609, -3707, -28752],[4676, 4104, 17714, 4068, -20442, 16824, 18241, -14840, -27679, -20595, -13958, -24904, 20821, 11144, -1874, -26138, 25509, 10385, -15880, 26964, -8591, 19847, -25042],[-20126, -12062, 29519, 23689, 23322, 19421, 11123, 30462, -5340, -31334, 17505, 30921, 15690, 2579, -12762, -21863, 7636, 2808, 18902, -2590, -6574, -3264, -18073],[6335, 3125, -22096, -13469, 32137, -16953, 10449, -27429, -19586, 5624, -7531, 11800, 22475, -14739, -27345, 23345, -32253, 19340, 32671, -31849, -25416, -3719, 19369],[-5261, -9787, -5372, -10213, 6600, -9628, -25911, -25203, 6117, -5898, 6877, -25366, 10922, -21522, 29346, 20326, 28706, 8727, -15952, -23122, -2328, -14419, 24917],[1899, -10815, 25193, -19550, 21589, 23715, -29161, 30828, -1298, -10150, 26992, -1248, 2670, -3359, -24386, -4268, 25871, 11816, 5239, 25473, -13469, 11586, -13752]]"
values_5,18,"[[-10725, -14610, -7817, 25453, 27706, 9803, 23802, 9927, 16033, -24630, -12002, 32692, -16008, -3781, 16759, -4309, 16418, 5685],[-14862, -26117, -17053, -3089, 2235, -31083, -32519, -27017, 11169, -16410, -21833, 15973, 21513, -31349, -10079, -27889, 6016, -4947],[-5223, -29186, -20006, 8345, -8074, -29799, -11821, 17473, -6441, -20039, 608, 2539, 26638, 27936, -4580, -24450, -18657, 199],[-17045, 7371, -2948, -31958, -15981, 5231, -9827, 11536, 26776, -24890, 647, -1627, 25434, -13604, -1004, 24168, -11276, 27916],[15991, 11536, -516, -31349, 31757, 343, 3637, 26335, 9473, 13643, -29476, 17564, 8081, 25232, -14688, 10388, -30431, -10594],[28910, -5859, -17589, 13415, -5744, 8982, 18835, -20469, 31763, 19620, 17337, -16434, -2191, 17895, -1091, -28338, 10075, -26186],[-32572, -9954, -6604, -3383, -3556, 27916, 1408, -12031, -2020, 24557, 8125, -1135, -16242, 14969, -22151, -30505, 28664, -24669],[-17776, -13269, -31641, -23561, 36, 17223, -16747, -11644, -13776, -12412, 24589, 26618, 11284, 7261, 18543, -25461, 4715, 18231],[-11387, -11811, -29272, -29299, -18259, -30311, -24034, 17029, -19175, -29634, -19629, -31188, 21959, 29314, 15645, -10888, 8712, -9992],[-20433, 19991, -25123, -27699, 10122, 15882, -7726, 5038, 13371, 25546, -24115, -569, -178, -1366, 19025, 26582, -32039, 14379],[27371, 4388, 32583, 9316, 24959, 4286, 17946, 20956, -3176, -21552, -17093, -19328, 26563, 2432, -25187, 1966, -16743, 17700],[-17400, 24074, -10316, -22345, -23953, 32085, 9021, 6628, -24170, 25416, -26791, -13164, -6705, -4764, -13117, -1887, -16780, -9484],[1053, 7319, 20631, -12483, 18201, 25455, 4102, -9542, -31025, -1316, -28003, -24633, -24619, 2188, 21576, -7348, -7757, 8310],[4547, 27619, -13715, -17421, -18018, -26078, 20290, -520, -21719, 19664, -20731, -7069, 7938, 32505, -13358, -24730, 1461, 7651],[-18183, 11397, 17863, 12613, -12541, -1634, 17008, 2826, 13029, -18205, 8097, -3527, -13839, -7812, 3538, -11821, 27976, -16365],[13672, 1408, 20105, 718, 7894, -9591, 29704, -21217, -13616, -32425, 12298, -4663, 1305, 13234, 21867, 29947, 18659, -11004],[-1200, -30182, -11563, 18164, 5530, -289, -25842, 16688, 24549, 5903, -25822, -19659, -10988, -13323, 24514, -3295, -7550, -31080],[-25021, 21029, -13513, -3364, -28768, -2582, 2773, -23858, 4364, 21556, 11052, -6826, 5165, -12393, -15196, 17997, -6898, -28757]]"
values_40,14,"[[19561, -27858, 10659, -16866, -274, -19035, -14889, 2621, 22663, 1581, -1271, 7129, 15065, -1621],[-4832, 22478, 26988, 13146, -29864, 15553, -21260, -1911, -8161, 5663, 1333, 28942, -1239, -23395],[25049, -4033, -23465, -23323, -16779, -5359, 21005, -14389, 2893, -4345, 25657, -25645, 28141, -26027],[-24956, -29083, -22603, -3423, -15550, 30645, 11134, -32562, 21142, -10275, 12004, -5174, -21168, -4413],[23062, 9548, -17236, 3482, -26205, 26141, 4591, -26936, -23008, -7032, -22658, 16952, -10620, -30666],[-9119, 21803, -11394, 21864, 24185, -21587, 2490, 9174, -9775, -4114, -884, -20922, -11192, 24220],[24258, 19087, -28033, 23472, 11951, 20146, 9550, -7602, 19264, 3569, 13853, -9524, -5667, 7631],[-9772, 28011, -9793, -30752, 23526, 31676, -16312, -28899, 5188, -23222, 32144, 16945, -8154, -9434],[-22573, 32733, -23677, 7960, -5444, 25320, -7931, 29111, 6500, -25485, 6765, -11963, 4666, -6343],[-12904, 3185, -8823, 4854, -22604, -13792, -3942, 20084, -11999, -24047, 3210, -32717, -14389, -26931],[-3628, -8311, -8088, -6219, 3543, -1960, -8856, 6609, -13320, 11184, 19693, -11180, -29443, -2821],[691, -27, -24008, -13530, -13644, 19202, -16319, 3834, -133, -15387, 583, -1718, 15653, -1095],[14184, -2769, -21352, 28752, -20975, -14103, -19018, -23405, 10339, -28624, 23253, -24009, 13932, -15126],[-14888, 27763, 5158, -8010, 13043, -17612, 18865, 27363, 27875, -6137, -12967, 8570, -22838, 16838]]"
values_70,4,"[[-26206, -24324, -32333, -18673],[30573, -16659, 18626, 30197],[21522, 22599, 20818, -31304],[6306, 17957, 20194, 9062]]"
values_23,3,"[[-29434, -22622, -27420],[-26594, -29309, 17044],[-14341, -23685, 25858]]"
values_72,19,"[[21834, 29310, 7292, -14491, 17586, -27716, 7699, 3249, 22890, -13059, -21741, -8314, -9027, -9297, 10476, -31110, 31242, 26735, 12557],[-16280, 15872, 31059, 9832, 2443, -19181, 18785, 4896, -21669, 6688, 10916, 13938, 16527, -17766, -30824, 18759, 32759, 24009, 24736],[14222, -23284, -13845, -9588, 13795, -1993, 5647, -8661, -26658, 8858, -15399, -18226, -31816, 32450, 14757, -6611, 5594, 22706, 32062],[-6934, 16867, -4424, 1823, 21821, 31478, -15437, 20989, -27874, -27768, 658, 25567, 24957, 29648, 20272, -7815, -32281, 32687, 20633],[-10834, -19571, 12306, 17194, -3528, -998, 3309, 28260, -18415, 32294, -25139, -16237, -31282, -17366, 8651, -25740, 15127, 31118, -16774],[-13701, 25859, -32627, -26843, 17349, 14229, 25435, -20223, 30657, 12649, -32670, -22057, 16843, 7593, -12903, 15566, -8327, 10647, -12796],[15558, -2441, 20981, 27568, -24008, 21925, 11888, -27131, 27589, 10058, 26149, 21871, -2923, -16146, 8287, -16969, 10151, -10074, 23304],[-23478, -29245, -1903, 25148, -28929, 17319, -692, -1611, -28432, 24666, -31134, 3520, -8700, 13303, -10704, 5385, -21638, 19013, 5262],[26177, -1319, -21316, 4695, 21381, 28749, -5544, 12928, -4684, -9072, 24507, -1598, 22233, 23631, 18855, 2871, -6738, 14183, -30556],[22096, -22514, -29772, -16822, 21179, -16006, -23730, -7952, -15381, -6364, 7357, 23753, -1652, 27642, 31998, 4507, -17059, -5710, 21102],[-1305, -31070, -6636, 29284, 16617, -4226, -7272, 2853, -16021, 28777, -29418, -6227, 1760, -32444, -25781, -4247, 22463, -30533, 10043],[-25477, 30263, 7201, 3886, 18041, -29976, -10077, -22919, -30116, -18968, -13084, -18318, -14193, -15479, -15271, -2107, 24395, 2997, 28775],[-19099, -18740, -1230, -11699, -31541, -2938, 28015, 2528, -18587, 3562, 422, -12464, -5053, -294, 19217, 10213, -29987, -1484, 20569],[-7564, -9806, 25256, 14090, -29302, -13222, -5732, -2506, 5131, -11237, 3193, -13277, 27237, 2885, -9343, 20399, 14040, -20680, 29709],[-947, 25739, -1293, 25265, 7771, 18357, 2582, 21834, 8949, -13262, -31603, -30719, -25432, -21283, 11252, 4322, -5331, -31423, -6115],[24298, -10181, 21519, -12983, -31716, -18694, 16382, 27206, 12917, 4928, -10434, -18996, 4505, -30693, 22750, -30890, -6219, -12647, -15510],[-23244, 21163, 17110, 16807, -2351, -30578, -17114, -3864, -14089, 26607, 5251, 18690, -11793, 1062, 14650, 8025, 18244, 23207, 28337],[26617, -17421, -12381, 25892, -29601, 3076, 27015, 12456, 9419, 13578, 23783, 353, 20074, -26781, 7790, 26034, -11237, -8202, -28107],[8964, -22391, -6667, 19541, 18818, 7304, -28719, -30641, -7751, -12538, -2018, -21908, 25271, -18122, -16907, 23436, -26271, -16345, -27198]]"
