inputName,size
11,12
19,9
12,16
38,21
81,20
5,25
40,19
70,23
23,9
72,21
79,25
78,25
87,30
6,25
68,13
69,28
1,11
45,17
33,11
15,18
93,14
24,17
25,9
26,10
48,5
71,12
76,15
7,18
50,30
22,32
4,21
32,10
77,32
91,29
42,29
13,28
41,4
55,24
31,8
66,17
65,11
62,8
21,28
95,26
84,27
58,11
64,13
83,26
94,10
0,29
99,22
96,16
67,16
61,22
43,14
2,6
54,23
30,30
59,30
85,22
74,28
90,14
18,22
52,7
44,31
17,10
36,8
49,12
86,20
37,14
56,28
63,24
35,23
97,22
75,30
57,11
88,14
10,17
53,4
8,31
39,20
47,25
60,22
89,21
51,22
14,23
28,19
16,31
34,26
82,13
46,11
27,18
20,18
9,14
92,15
3,20
98,27
29,2
80,13
73,9
