inputName,goal
11,152
19,72
12,38
38,242
81,152
5,57
40,73
70,73
23,246
72,38
79,72
78,242
87,56
6,30
68,242
69,72
1,152
45,57
33,246
15,57
93,246
24,187
25,57
26,30
48,242
71,152
76,30
7,56
50,73
22,38
4,187
32,38
77,56
91,152
42,38
13,246
41,152
55,57
31,152
66,30
65,57
62,38
21,152
95,57
84,187
58,242
64,187
83,246
94,187
0,73
99,72
96,30
67,56
61,152
43,246
2,38
54,187
30,73
59,72
85,57
74,187
90,73
18,242
52,38
44,187
17,56
36,30
49,72
86,30
37,56
56,30
63,246
35,57
97,56
75,57
57,56
88,242
10,73
53,246
8,242
39,72
47,56
60,73
89,72
51,152
14,187
28,242
16,30
34,187
82,38
46,30
27,56
20,73
9,72
92,38
3,246
98,242
29,72
80,73
73,246
