inputName,goal
11,229
19,112
12,114
38,200
81,229
5,70
40,254
70,254
23,80
72,114
79,112
78,200
87,221
6,7
68,200
69,112
1,229
45,70
33,80
15,70
93,80
24,207
25,70
26,7
48,200
71,229
76,7
7,221
50,254
22,114
4,207
32,114
77,221
91,229
42,114
13,80
41,229
55,70
31,229
66,7
65,70
62,114
21,229
95,70
84,207
58,200
64,207
83,80
94,207
0,254
99,112
96,7
67,221
61,229
43,80
2,114
54,207
30,254
59,112
85,70
74,207
90,254
18,200
52,114
44,207
17,221
36,7
49,112
86,7
37,221
56,7
63,80
35,70
97,221
75,70
57,221
88,200
10,254
53,80
8,200
39,112
47,221
60,254
89,112
51,229
14,207
28,200
16,7
34,207
82,114
46,7
27,221
20,254
9,112
92,114
3,80
98,200
29,112
80,254
73,80
