inputName,size,available[size],allocated[size][size],max[size][size]
values_11,7,"{27577191263781081, 7787281432134045135, 7606966435334476179, 4885522743982447445, 6347261691868556462, 1553952943340961679, 6605142223551498900","[[4107501771346847273, 6373122764813493507, 1532136275313117675, 2661983679769493585, 8934186211706419642, 2313601318667681610, 4431582387821028673],[4565361915712040959, 6996296539477373601, 4462085527776296648, 5010456074020492802, 8430679982192899397, 8394453379904919868, 1680158373439986],[7580852056280336141, 6721635983371344683, 2983190261373487839, 3069192011980746002, 1046496033144266001, 3594030018800125854, 8873263602338683361],[6572390739599201209, 3562050369870895178, 2719809111259077386, 78352824812427371, 752353166086956626, 1180535399932642360, 1478744443503757933],[6557231348958299352, 9195690534349409568, 6605908932798664271, 6332928517467999777, 853977735851458970, 6074850161154418641, 208164080859443244],[5922438825387302595, 1586975445291277797, 4331057224153196947, 7422174706378884313, 5372027955824237769, 2286488889309491833, 4141693110720902220],[5289249473013495758, 6454301647997426417, 3626016641417854616, 5082891591534949978, 7916081483611024868, 834185676886206287, 8537029697328229514]]","[[5500472309120272359, 3076905330274430699, 3792449548511128580, 291330477873691829, 2852704560967986163, 7266776740338483939, 5747755195197848040],[2284074558854167183, 2334159580476209338, 7873034549920084576, 4754368475508035303, 3203030747485585608, 7777136751734632404, 2612549487503638655],[6960683685678182718, 8523099420829286104, 4927701935822349086, 8444695325772236094, 2770846847112075544, 5316936800525288061, 139575419908278783],[7611932985033682831, 4851081051890741754, 8620165216824341710, 3903436925839054565, 3433553580744459340, 2928268927926087454, 3231394153611661827],[3458526649148477213, 427305585660594894, 7697406001909570819, 5111553096773311798, 1850076938352258567, 986231199225869238, 1961824319780593885],[4556845419267225088, 4590433765402494823, 8316779497471510329, 7585143582527954976, 4225381795911741346, 1442200916984946038, 2540674512665688511],[8049298814793611056, 7245614256129327848, 8653945694586713030, 2523356676935441625, 112866702922326589, 5655157359017282033, 577584927539106303]]"
values_19,9,"{1090997472580487031, 6285398742549067997, 1962921474901204796, 8784680498862026224, 1698431135325202963, 7692065926591294240, 2570522009312882534, 5250669314366987158, 8317140824824579735","[[8403675447856370584, 6966660942767803380, 1153736207186976307, 752401969396328647, 4663495913073824112, 7159354148897176549, 2683441515109145187, 1796129669099884221, 3189109818022950789],[2917425848071299724, 3290565073075258281, 7694603624566738275, 6151694724625424986, 2366978200948382137, 7710639268640906690, 5197901188871947533, 8760491322503386031, 9166022721380260055],[2423436065523026054, 6500962631182050079, 4044034975170798595, 1816985434267981597, 3781549676616436134, 2635502207851507647, 6240710967714495311, 4961788955430142728, 8047833066864059087],[6849361825076217268, 3977616417774634446, 1129726060925038139, 7841193509132738573, 6258660004695149197, 8448810374602313152, 7816763833822407862, 3078299131800821500, 8496526759933194097],[9006098212518380647, 6924690436480372561, 3424925368006528773, 2067987830976899169, 8769754690697114817, 8183473421930828346, 7664295794593266727, 3873336718333114104, 4471953898913370310],[7022708330869602350, 3617765700659204217, 8455743556255292948, 5335614013440835674, 4068551041163829111, 8524684049953864080, 7912415996253262762, 8258793078145663466, 1953714630435376977],[7342416483171882875, 8994245698632144074, 6931514896042416848, 522860696686921018, 6196079680522354194, 5689728618645026263, 4341340750598682638, 1343566526664054818, 4798336414463548502],[5431058134184033049, 8471099356223881073, 6775732754349516699, 2576021494954669476, 8911224993494256931, 8122615437930630317, 5629176492046006335, 4774040366718679535, 6796315397225059911],[3068207850506761212, 6926056087104823774, 469146690644161666, 7204812771764909716, 7351647172569644411, 8205400355182720744, 3390961693045321584, 210872659680803990, 7770319723956939545]]","[[6582081898797044398, 4384236218292824902, 6205582601887155, 3471773584171983096, 5234029928917009474, 5181786442174480514, 4472626371538627731, 8866025529310007245, 8177680500365718544],[5929373116034782105, 5901538046656423898, 3905790993500408159, 2647258502489141752, 7053514794047906313, 3671186507931055545, 7029167301679347712, 1954414010721102087, 519601452329468305],[8217166727828025220, 1862625468901608649, 568733116537361936, 8152799674141544784, 7759544050631131878, 5951380976290943452, 5487585048119538770, 2249781617486193159, 3063850373279763822],[1016990804520027504, 3704982261552114471, 2620682291962691392, 4302144949594714566, 378167921797272123, 7080990530980575693, 5598321535992237794, 2292296470925950177, 804215903240258857],[4953754139375289680, 1692999355540234537, 6738462980318960749, 4372524576076847988, 3003478525522196498, 7964469782545367642, 2130879278914783014, 3527172116288561335, 3240029273123205514],[6457432509479808709, 3120477558780928460, 4245610462480994041, 4194650064777916710, 6162277927982980895, 3299297931954903603, 6416552459888827, 8250991714474388702, 1948475839861463582],[9136123823639920375, 1390832227336869270, 4927328680724012427, 4886425725441522200, 2441197508968971702, 1502196431281751278, 6275750502208848983, 1441581895606027691, 7648497334749946608],[6767769841786090540, 3785999028879675648, 1394189765780422903, 8081623954172293879, 7939972698442295178, 975607139572895036, 6663277742635446031, 901260194091221911, 4346608069832562951],[513136799978439231, 3398675396686716780, 9149383625836897676, 2982865829206598205, 8757345735426295590, 5703351336919291824, 5420486512941780328, 3777061339257378531, 8254319298354787304]]"
values_12,4,"{271851020522663560, 1409483137107302107, 2183148000049068318, 2341590992106599772","[[4454633656783588241, 7231283422351366797, 4064976385613758360, 7403201361316450908],[2932956515356394041, 3417781396202776597, 2197676642873259818, 4276492751177631677],[4901012118801435666, 5069541448292974430, 1007578932253265927, 2401451933258014629],[828752060991755883, 6339308189343926953, 3463678217045112106, 1815657424685963419]]","[[6031107362450837976, 7155072374118411573, 4012461188545430815, 2315249207945936892],[8628554880491625396, 3813731661144115068, 309680523504209586, 2943647609918533106],[4839886195273032368, 4738824495562616206, 4629533822671678527, 587483824775543426],[4130422133917707185, 2739030371928510005, 5580318296661350934, 651184630017475350]]"
values_38,6,"{5226237634126579274, 351590556210361845, 6605168605249776752, 7462408399417477633, 7904304555484692973, 1664382865576318940","[[6854178844713953140, 2492721744250165674, 7170393351208222981, 2516840546934448753, 8627442419698257569, 3308940412979050914],[4834314074615337746, 1511278978023115205, 9049757940217034972, 2553581988843761964, 1457137637263970274, 5715709503924534503],[1107645444956936546, 8949011791783817251, 2196769322651744608, 3958915871038145509, 4736556785286647258, 5762747605855697803],[3841087995862319538, 96210398473774028, 1860531602761755200, 8591935426215952471, 1462757573260324745, 2973453782249316380],[6948827505842052791, 9124287370733234870, 3480626568625050211, 323849199720130668, 8988310947572245066, 3823607970985765716],[8455523641854862467, 110068402858193495, 6896202477414827359, 8475513853042945801, 6929597305447361809, 3125573740723068046]]","[[1915138948045123524, 169011477579572657, 3406882805161034929, 5764950437807770411, 350840775975576498, 489268485623044552],[2985360474898725473, 6517131533764632537, 3119171455427613651, 1965937914358164867, 1557275364995555489, 9183595428726235408],[7147511639598437296, 5977363511327134430, 7999847705481394471, 4033701265011251041, 2452831177096029120, 7639299087475505789],[5717916456635058370, 1782471703757101707, 2779029447561449826, 5884351013350296135, 8594021359286860958, 1450772209691073895],[33666374932156192, 7655739278635426156, 1256014333342167749, 7205862354062386407, 2242354426801052742, 6243678459130298987],[7305196596239382556, 6520357091859437804, 6261129101180367905, 3546617822473204907, 5360629800641720639, 3932015526389281781]]"
values_81,6,"{4794100456289338612, 1408940643280071230, 3055545222512672246, 5332590407960084457, 1245816314685691886, 4035096552373402401","[[9059597704224775093, 5501224581196457732, 7387207346086995124, 3646866435950696760, 7896832314673942151, 38954978353226427],[3552857043146077651, 7133540126772274703, 2756765728725149727, 8504605751444121138, 7434680605914203279, 4410275661772025310],[1509023330772600934, 8870317729590427251, 5021711162031908767, 7814977705607837693, 7599498505639996166, 3809243638814925203],[7348634215856914150, 8109627578261790117, 5729739647111543805, 6942151300347680158, 1770133479288619280, 6923309019187362186],[6746326180075154173, 2560540425763680142, 8224422749017237953, 3633312234633134149, 5286858408472678135, 8619812694385342192],[4451695298774626239, 1028501865844680169, 3398207348394544698, 531173208538554288, 7229611072652092228, 6465936919261098332]]","[[3588497327273257865, 6051116886553561613, 5403894750238155243, 7054630747556348538, 4298357307285542028, 7431916991350143780],[7147850594646733916, 4408534080978101494, 112967071250690844, 38609701004433643, 188740884211668820, 1801138163032228681],[4899311092932587240, 2500492947360861380, 4779000059861890314, 4008548511096528686, 6295634376403659469, 6627643200064891962],[7800704583322162493, 3973132973542002723, 1539012440949284233, 2263843415126972811, 6808276184470075578, 243526941764521417],[2683389436177511765, 9193329366926998727, 6094819432621413386, 919138831231131999, 7371466363220819355, 8897738436620318571],[268047379060900993, 5416364684066591102, 8207614205280320426, 5213338471868278940, 8838136184537090239, 3401924484831838424]]"
values_5,7,"{9110891836031502039, 594162704070557523, 6978312088766191780, 7564985294315629562, 135559776623483515, 838164245650059948, 2435980127072566649","[[8036089624980845906, 589631281349387999, 6820888942854652395, 7566708032068258241, 3671453487551595003, 7581853571452781796, 7589285904542606275],[3096826915350470328, 9091680004719785721, 4581831529794242716, 6706724500527686858, 6272403507669452579, 3172000843555752647, 5865181912957447222],[2607295500022727497, 4114722258299367135, 4942230018388466185, 8707429377820771381, 536682337746225020, 1264275645751890752, 4782460124153452581],[4955304199934041612, 5801684585466049643, 2418772451593767416, 3059304489625057333, 9165111247080241587, 1977855520659943037, 4138581006025184592],[7727058554977254827, 8126041671761203161, 79554336482992475, 5109425915663363539, 8619543211061498421, 6606205594755018690, 8072503521861096671],[8453466564308620695, 3195968723366434406, 3713953559272410555, 9149525705871647906, 8756007574329217808, 8169046957631517925, 2245238916467481515],[3305409488636737401, 6717938124251436525, 7469889853146120215, 6330580802955021282, 2462768762579187445, 4824559485444740325, 5751189304163641435]]","[[1480493586311527275, 2190558136745754002, 2802687063110644950, 5542347249517898288, 5486006400221918501, 5201639035750316144, 1008684472518564316],[5508540168255162027, 4974154829488805978, 3684631873891106014, 2793447610985419182, 4338023121832636729, 3840943476613560832, 9189361733180497461],[8222641807368495607, 540606452728545398, 640509559737788211, 8553692583430484550, 2859427503646435963, 6602852081264576455, 2201348348732182848],[7112372350831651411, 6201776795338575197, 3019027859061671558, 7751047331619250657, 4630537130569943735, 4445101897479626802, 3184980147179160251],[7675070395120575533, 5206590825415364763, 235500058780082025, 2729470892376767658, 7272979556861214873, 7458447931813387485, 4031164871936097196],[2826378779259759825, 5744847016025642384, 8758659547062734303, 5624918922896878389, 3771654795213776283, 4905918311860946143, 5436948374013572989],[8371520837137327536, 573205587312882845, 6284787515022314112, 6348847488240569117, 2083347098857213304, 2589077907146444356, 8688328164239225537]]"
values_40,4,"{8405435891105096490, 2141819661932131339, 3754474818706875784, 9103507646898002535","[[4869372061129318421, 4029337494875420957, 8681869854741536145, 7430363905801524869],[4949988535060535024, 1918313308171144449, 7702223160887974124, 7415347181228305606],[8936205430820631535, 1389419109159685067, 6300297359117407764, 8961075962191678610],[2402107407672759160, 8725443480289618653, 1556214202098280101, 1267607074429320402]]","[[8388774431086621656, 1949300694212608365, 7109003782496188431, 7561503254767638363],[8346945866138544594, 8793749817616413703, 6832935114025674678, 8515777958870592966],[2265329285950639696, 3274649700705693355, 4623672948495313835, 5192505809025287185],[6679909048711684988, 1602153239050449128, 8282893998260094755, 4315288648957871227]]"
values_70,8,"{1167861666833622161, 1027558388640114007, 1232302307223599718, 3931723104495861287, 5660298003708060496, 8431965955245626937, 6252582776067638363, 567802063485315362","[[7948846236949467024, 7304339377086561197, 8637376491844781176, 744210586961418299, 3102390264580804810, 3181963827454547286, 5176481246688807873, 644855259850184940],[7137713796753840467, 8277992539038710558, 8170359732143751036, 7040640483974140741, 798689510024481615, 3074473299385371459, 2584469312489838119, 5591005438211123506],[4810874713485673526, 2474679271202083612, 6460428209401514297, 2725456405270472892, 5031979423562524862, 3121597508600010754, 3267840291163296155, 2343732726588957094],[6298810910739960369, 5682771940562946053, 1277691427232506674, 6555551422477537102, 2231294017027811624, 6727571683218239732, 1049160743035287496, 5544907281376835463],[6077392848289999701, 2986881413738308490, 8350301955986328694, 6071737647058537465, 858289386117136771, 1478787922364423174, 3998390327842789601, 4460232447071287863],[4841280993770056162, 6747106748656204784, 1959002983462195177, 1096350046139791002, 756698423674450605, 5086002377503578505, 3140580852945639179, 6919788456179971851],[8957863043520178275, 3037533418568512580, 5790642845397380066, 6723967501939393227, 9120254756212600407, 7015766112800312941, 4675783104137302703, 4119184686219152735],[4741883760722452816, 6032444925540341368, 162481755842340143, 5751456884109326250, 9126135785741743026, 8083902420133295027, 526631348460755723, 979091111512227102]]","[[9020963890339429955, 2709809745250038547, 4118256347632708327, 4345802266908447393, 519185646657545738, 6952261861526202587, 5114028779387915744, 7600879267472784333],[8431131689795314852, 4729188303683754219, 5717338514461907410, 2828683751097068705, 6905889746385818929, 3311272941477870299, 5039030620414796122, 8422299585040778189],[2732379433605571229, 2932552335851075854, 6633635175361178107, 7256798549027111583, 8642495978084600754, 1719290022751843898, 2749080361920595680, 6893661063782808593],[7531435609167304464, 4521228569093906298, 7208804918859540163, 1144070482918783752, 3837723788163135945, 3230973611674318621, 5785176307812384348, 2100783524062829068],[6650937405896807687, 1953364056881238626, 2149017610682858437, 8533846427578503093, 6680313253113559508, 2257584912260090562, 6373831428473210508, 8890285424132117839],[3307836755569172324, 1320878656775966151, 8915262000411863862, 4593550362455275484, 7402988387825511353, 6355715042475470152, 1505943252114925128, 3052700993168132782],[8281495299676192916, 2252903076094632952, 444760556136140187, 8684356051202503826, 2271048829652236721, 8316116616506015608, 2716590152461372083, 5943066142347533787],[235636459291824449, 4886751257991146056, 2915996235149875095, 4724897470830865282, 4494047042725394363, 5679212296505789258, 6182725755751258668, 881746832288659229]]"
values_23,6,"{1644727805325940707, 230617710941030382, 9172785950185572938, 106634842835979785, 4061973000314774291, 9196982192792084884","[[2298881277826051216, 8891240164492957338, 5995218418339626172, 2828045032349760457, 4127536969324549871, 7417847429900495764],[1489183942925883684, 1206294706896234323, 2137539071983711125, 4072901784741761664, 8060529063193112874, 2360241644739835547],[1182807140487115776, 4820672282551645647, 8162073290004150988, 8253715290659763086, 2802651918352689655, 2632970414417294760],[6399690102837968455, 4058956770229690087, 2814215020751564357, 9196792172216154947, 5086042048371203732, 2823746539839532882],[1651814679827218782, 2760386193533468774, 2131330849607575852, 6720479198241134903, 8469868397357699557, 8305415958199073676],[1594276064891136441, 2943185764415121683, 7492990056849967600, 9178655905344587697, 3045300532616213073, 1442597002895756389]]","[[6327075141598410352, 2415692660869275746, 8116877800117488222, 6607579888042678843, 330176786497953385, 6376924999168797874],[3954647683276102808, 3877557612107065987, 6010998023593849306, 4967830984172199990, 8403432864456862630, 166767126661994941],[4560832126839615152, 5356225197201657074, 3474394505294625596, 1009818920365320600, 3425667673784470939, 1569315442630095095],[6476705792396508070, 7699768177752925380, 2763587691846823785, 1160488751272501095, 2856926259330237989, 2724528248960987254],[8977878439678343523, 5407145200853932112, 1774058300065093995, 7980341279184743977, 4742686556375250142, 2917656866972589320],[6778789777983701419, 5259196361696897747, 5023862965267289210, 1042980369680578825, 7568254453710241555, 2123445284099871689]]"
values_72,4,"{1560831577492860491, 9081452688529842084, 4737963982545379725, 664332008081664275","[[3125026436740667534, 3349905960720455521, 3512135228236096949, 1119102708025702387],[1738837626785568237, 608482875745128683, 6303919177199722383, 7224539841274947231],[3167320807471184173, 5753888132502799514, 964545544370314911, 173293079864671373],[3414149859283628185, 7095145119957190557, 3821163274402039058, 8257244123549021410]]","[[6752933363045851749, 1661344499325766860, 994342280378239481, 701284886308941524],[7619319802796544623, 4159540866008234173, 3661676864436220244, 8262888359000713335],[7993135587920781742, 8969188525680181100, 455254080658929108, 5594256697867177141],[3997701972177700108, 8470664316664385085, 1432341981912961038, 5666624576273334896]]"
