inputName,m,n
11,1334775213,1105045034
19,1334775213,1028578245
12,1334775213,981723070
38,1816425326,2122050620
81,1774901316,1105045034
5,1678637976,2085676935
40,877308564,256762164
70,68132518,256762164
23,871266641,657616862
72,68132518,981723070
79,68132518,1028578245
78,68132518,2122050620
87,1774901316,1200278146
6,1678637976,1730851902
68,1343171716,2122050620
69,1343171716,1028578245
1,1678637976,1105045034
45,877308564,2085676935
33,1816425326,657616862
15,1334775213,2085676935
93,1054045214,657616862
24,871266641,374747130
25,871266641,2085676935
26,871266641,1730851902
48,877308564,2122050620
71,68132518,1105045034
76,68132518,1730851902
7,1678637976,1200278146
50,757922073,256762164
22,871266641,981723070
4,1678637976,374747130
32,1816425326,981723070
77,68132518,1200278146
91,1054045214,1105045034
42,877308564,981723070
13,1334775213,657616862
41,877308564,1105045034
55,757922073,2085676935
31,1816425326,1105045034
66,1343171716,1730851902
65,1343171716,2085676935
62,1343171716,981723070
21,871266641,1105045034
95,1054045214,2085676935
84,1774901316,374747130
58,757922073,2122050620
64,1343171716,374747130
83,1774901316,657616862
94,1054045214,374747130
0,1678637976,256762164
99,1054045214,1028578245
96,1054045214,1730851902
67,1343171716,1200278146
61,1343171716,1105045034
43,877308564,657616862
2,1678637976,981723070
54,757922073,374747130
30,1816425326,256762164
59,757922073,1028578245
85,1774901316,2085676935
74,68132518,374747130
90,1054045214,256762164
18,1334775213,2122050620
52,757922073,981723070
44,877308564,374747130
17,1334775213,1200278146
36,1816425326,1730851902
49,877308564,1028578245
86,1774901316,1730851902
37,1816425326,1200278146
56,757922073,1730851902
63,1343171716,657616862
35,1816425326,2085676935
97,1054045214,1200278146
75,68132518,2085676935
57,757922073,1200278146
88,1774901316,2122050620
10,1334775213,256762164
53,757922073,657616862
8,1678637976,2122050620
39,1816425326,1028578245
47,877308564,1200278146
60,1343171716,256762164
89,1774901316,1028578245
51,757922073,1105045034
14,1334775213,374747130
28,871266641,2122050620
16,1334775213,1730851902
34,1816425326,374747130
82,1774901316,981723070
46,877308564,1730851902
27,871266641,1200278146
20,871266641,256762164
9,1678637976,1028578245
92,1054045214,981723070
3,1678637976,657616862
98,1054045214,2122050620
29,871266641,1028578245
80,1774901316,256762164
73,68132518,657616862
