inputName,size,available[size],allocated[size][size],max[size][size]
values_11,8,"{893569916.053, 406696817.847, 2855070749.772, 3664429822.436, 3784037165.721, 264692489.964, 1546409328.637, 1991307058.624","[[1692015343.175, 3557384897.225, 2804588194.032, 1944710418.639, 1298627710.025, 849944183.322, 2017330218.193, 311996248.336],[3431901425.032, 3734450717.735, 2900949099.083, 3677964714.121, 309956713.989, 802785943.882, 388909431.978, 4093748870.865],[368340565.13, 39678917.14, 350008638.538, 359657682.08, 1028126852.073, 3915291213.439, 1414291580.273, 30722128.714],[683859006.755, 3567912771.226, 407857273.913, 873531931.12, 1670046276.775, 139706654.67, 76967983.009, 2901681441.15],[1239133344.692, 1200015183.815, 126296155.026, 1230584595.525, 2548396816.426, 75482646.545, 173529316.766, 3978811844.811],[3435198583.209, 424667601.258, 3348767634.476, 482971644.088, 3601878494.256, 2975542986.926, 2413500162.285, 1624700825.792],[2807228188.256, 3098626162.703, 3859273405.025, 670330796.691, 1614743895.883, 3906629772.013, 279067006.983, 2646098933.356],[1272891559.716, 2604799545.836, 1857697614.257, 518029275.697, 430649217.432, 1040435969.13, 3473062579.126, 3103184884.67]]","[[517224523.799, 2328206153.691, 2326733728.71, 1943120338.075, 1947372680.628, 924290729.18, 4116843873.195, 3232515092.346],[2785020474.997, 2591343944.685, 868125335.591, 2170542526.356, 1456815140.424, 1497928213.346, 3974320774.932, 2934029124.528],[2015158884.373, 3850602041.976, 1861496923.969, 2998834198.79, 1505600488.661, 1312995834.335, 1088518786.653, 3847878624.053],[1422391477.674, 1352489837.632, 870742892.087, 1656555458.936, 2642021176.422, 3254883625.228, 1115418102.266, 2007244934.752],[2488095129.197, 2516512929.194, 3175570822.468, 479798286.0, 1824407671.005, 760971011.723, 4064724479.077, 1781767158.826],[160375019.994, 4036695155.851, 2838892769.679, 3845247074.167, 2614760884.085, 1090849743.639, 2154601671.149, 2078670462.355],[1594824651.791, 3576526803.927, 2598407634.295, 1445816371.607, 3019468539.753, 3056836262.316, 3309450136.068, 3045696012.428],[3568247817.716, 60253728.628, 1070248330.982, 3374689568.487, 2800780328.143, 1294252806.623, 3717151483.16, 1967362545.251]]"
values_19,10,"{3954762689.705, 756643711.808, 62809326.972, 1417629119.604, 3758032113.501, 3247590595.013, 2628002978.927, 3885746741.231, 2197011724.152, 1618797394.052","[[4277736878.93, 241695749.407, 2842030028.736, 1501146919.38, 291451451.583, 45844505.597, 4101002805.02, 3672999085.627, 293760681.733, 735984530.307],[963304786.957, 1952660841.442, 374598682.217, 2001925951.707, 1977992626.142, 1386263812.392, 634947450.99, 2670317345.709, 3575489677.01, 3687579167.942],[2626050168.035, 4040755083.714, 3862853195.823, 2923130615.939, 4154775732.507, 4117130699.194, 915817536.859, 527644295.999, 519918135.647, 2965011633.084],[3248179274.936, 1078707677.806, 3147177787.475, 4054248081.6, 2740172446.654, 984537095.658, 1986707990.301, 2457996056.249, 2669897716.768, 3537336798.894],[3515085824.413, 2779592435.348, 3194194536.562, 2963912638.715, 4262738635.495, 3392464281.535, 1547063014.989, 3049823634.004, 2699030474.03, 588619956.363],[2275941703.166, 3086648810.086, 2610206531.109, 3370119523.054, 3322032096.204, 910715019.995, 1156475139.002, 1851026778.005, 2358065876.694, 2238485018.045],[1724911017.234, 2788251753.739, 437473038.76, 3231979915.408, 3524182714.554, 1844704195.169, 1568426674.275, 1318673160.736, 2100302175.157, 634654857.765],[173622372.957, 2909966914.3, 1227439723.857, 4100366330.791, 364423467.316, 1937183489.854, 2593407997.769, 1010907827.317, 1009116461.407, 4219995104.736],[1239365203.324, 271271565.356, 2255709870.643, 1570857214.342, 964291664.744, 142950192.393, 774412015.539, 3583179602.716, 2679526605.89, 2143548193.96],[3781225082.609, 2264412482.738, 952556178.759, 1768874895.22, 3643731581.357, 1866039987.796, 2703814119.063, 4114779504.645, 4224726264.472, 2850282272.837]]","[[1083571300.406, 2680681990.672, 1418404028.843, 3611596956.028, 1162005690.169, 2018000698.3, 3716448505.045, 2505845390.991, 1236650865.962, 435529813.699],[3487849315.485, 1061386861.944, 4009981143.12, 2887980971.443, 3559196072.308, 3288412804.653, 3700940682.039, 2607514026.524, 3786210469.188, 2538783175.717],[3186124998.654, 960084525.216, 727606375.915, 104781425.79, 1044901962.578, 1455412883.45, 2414831239.603, 3543254186.704, 265829644.136, 562576037.87],[4059504368.334, 604034205.391, 3977557546.525, 1133129554.015, 768697428.159, 3879578070.24, 1722612859.84, 2850606648.387, 2164613895.77, 1703428987.76],[603223678.496, 1087270964.446, 3316233188.773, 3311812897.183, 3842259722.949, 3015858574.781, 664684133.484, 1278791451.947, 3236321029.386, 814194403.451],[3912368544.16, 2769689917.296, 3366660682.236, 2708813311.133, 604980129.053, 144257967.473, 3484149529.767, 3005278837.16, 1449891596.323, 3737488633.662],[130953907.771, 19093218.59, 1309338726.198, 621568448.515, 4228731750.828, 1850176171.238, 1812252791.291, 3138582307.121, 1106685366.445, 1932913770.253],[3275981835.536, 4263194813.281, 2237589220.017, 805920042.632, 1699501813.01, 4167395243.128, 572881825.306, 361943565.932, 1999650949.667, 1052499326.816],[1014557494.045, 2934012501.921, 1844029949.447, 2491224187.152, 2492835592.561, 2712467070.04, 3391687181.63, 588464495.482, 301566079.354, 959103745.28],[179409981.052, 2633647104.211, 3051723405.101, 3764637451.927, 2048186382.458, 3676002689.451, 4040494653.383, 1350249566.367, 4088118414.594, 3688937072.249]]"
values_12,11,"{3797046257.357, 4168973767.281, 2748940556.391, 1166660856.014, 3500227811.537, 3305438767.327, 2225335713.525, 4056066943.019, 1813072194.795, 684305055.389, 3050365590.739","[[3217642397.52, 2926751157.434, 3440004239.677, 395029863.676, 1860582887.085, 3147097380.967, 1310462020.514, 3957199454.434, 2026873111.284, 1085493342.447, 1226613492.316],[697476174.388, 765685560.493, 1372222593.887, 1174005972.492, 4041006411.728, 983999838.771, 948166097.556, 2878068504.407, 4074684586.561, 2673445382.651, 2766987554.229],[286675073.371, 394356707.414, 3635204967.837, 2981476926.98, 401061924.099, 49768680.513, 3055824901.588, 2209122901.897, 434924920.456, 578593880.956, 1621220317.397],[967369699.857, 4182387548.517, 3097340725.519, 2575373449.119, 4287852358.818, 2652623829.108, 4247183719.485, 8569912.911, 747963736.242, 527584492.524, 1446855337.169],[3934096650.606, 3741198537.699, 2234416422.191, 3587863975.454, 3206933150.609, 2326669218.938, 201215957.019, 332606118.915, 58692651.328, 982741048.663, 4077977010.072],[1520057081.531, 2491493580.925, 3821681546.972, 1373050767.496, 826075682.468, 4248010756.142, 4005320310.881, 4029509027.71, 3543513561.747, 2924265324.465, 158296708.915],[1293609236.506, 2661205633.929, 706413706.899, 616373216.061, 443662431.639, 3380175404.029, 2891221540.619, 3381996045.184, 445578130.357, 2687688640.444, 4110320195.612],[1617058302.341, 4008813397.152, 3391884438.81, 4183659239.735, 2226378777.521, 4069653259.205, 201492829.865, 3751501024.007, 2165073369.087, 2606648486.929, 2101577325.184],[3799951098.137, 1098315206.817, 1580878471.488, 771507025.314, 1882591695.272, 3312509496.352, 2730559101.271, 179773819.479, 3668603253.834, 417017863.871, 1862402050.29],[914360824.293, 3162360589.363, 4217473084.393, 3154775620.691, 1342004729.742, 2673273024.275, 4081081005.815, 4237301701.76, 2740781710.63, 4047579183.0, 1031188344.619],[3478998042.882, 2680065889.455, 1631678863.911, 2387507197.777, 2560518897.254, 999173267.451, 3111366023.303, 2524410008.305, 2209580161.069, 1985577510.973, 2249254514.316]]","[[1031793311.232, 508755291.52, 4217058014.498, 932726005.676, 1929736760.597, 3243721832.048, 1505825370.106, 4100978216.186, 2172096081.2, 763728724.855, 1565648273.622],[4184700419.101, 747036556.776, 1835597290.404, 2858817295.466, 2137051437.684, 1384933770.978, 866834413.309, 1163948956.302, 4232061530.537, 4247984373.739, 3369546472.987],[1310631705.54, 3745209759.797, 2282414026.979, 2991797821.296, 4274228825.567, 4143424647.529, 2656126170.389, 1323109873.169, 4141665874.844, 1559570015.28, 243536443.361],[1736292079.376, 896393742.408, 1776367558.019, 607155027.976, 100789236.986, 2550744329.92, 3061708193.113, 160657006.711, 3526514424.675, 1667844702.419, 3670441853.816],[2261610141.099, 2457290633.943, 4049646010.653, 418597683.934, 2784063623.151, 2415341914.25, 15593931.754, 4285809137.519, 1908303343.089, 3563482314.484, 3458160966.799],[1224713179.254, 516206165.41, 575676681.384, 583209142.119, 3645120471.653, 232280702.663, 2624883699.533, 1390290143.071, 2618862496.898, 1055346000.571, 1540655808.005],[1062417962.7, 1506585159.162, 2327898028.998, 3505922048.652, 3781560267.747, 3293374764.018, 2821417389.281, 982725718.155, 3140793189.521, 4233232794.08, 1509530597.806],[4047263472.301, 2602967138.875, 2919988566.761, 964141742.925, 1533713247.697, 4220035138.144, 403023182.419, 3118625004.636, 1607597264.105, 3082597745.271, 920736747.992],[2353511040.416, 860844498.682, 1055407724.818, 3504732783.228, 1669173144.739, 1276159933.069, 2818759950.614, 3823198758.064, 1319426743.381, 805920445.977, 1451877006.588],[3530690394.132, 467478975.147, 269642942.046, 2730255756.286, 1537538463.507, 2779489270.992, 2508683938.575, 9114508.74, 3495584676.701, 4184666421.92, 1021559342.741],[4248064032.463, 762423824.851, 2218156276.141, 3655327478.06, 2146839974.5, 853297450.066, 1326478485.626, 2925243225.395, 3290657055.02, 2874469329.743, 52732272.115]]"
values_38,8,"{4017629027.725, 2809672947.324, 1167005469.271, 3904008926.863, 3333435441.993, 3129929122.489, 2983555079.757, 2359804567.806","[[2100414235.415, 3565478805.608, 2163397864.799, 661652921.432, 1572816673.836, 2036650723.86, 463763552.654, 3945490920.966],[4012907378.084, 2098148677.377, 2606089325.217, 283198921.495, 630810768.699, 1544420615.546, 2399640162.085, 993965167.002],[560820170.824, 1862064432.002, 1307696671.35, 3714153874.106, 2739581467.117, 616732233.218, 1280952357.38, 2580774617.463],[2494107890.128, 3667230844.593, 520261889.485, 2107406005.241, 566276477.943, 612651833.921, 3821006340.413, 3204955924.018],[3570209893.537, 146309547.363, 335408186.945, 720688980.868, 2518501569.173, 1503559051.657, 3084329651.435, 2818263436.137],[574857646.078, 1217201910.628, 1370118188.87, 2015452640.073, 3462964649.942, 3685489880.732, 4113564629.354, 1481509896.324],[2166790914.156, 498587168.758, 644864454.376, 885027195.607, 671387246.864, 377012926.037, 196424147.909, 731021601.64],[3646655615.584, 3714068533.282, 2156283867.564, 3660937170.658, 4248968576.344, 1753635504.1, 759585100.196, 1306631789.39]]","[[1552423403.991, 2297016325.175, 3486709133.877, 1787225250.843, 3636393880.477, 1319277444.634, 2215912018.383, 263084781.196],[1371698883.879, 3706559296.049, 120935789.224, 328264778.517, 430458967.518, 3165268110.397, 2918932484.824, 958559736.082],[2744682131.682, 3163500938.107, 3197638240.214, 2085734684.37, 3193938516.145, 4222581703.486, 1702290109.117, 3415455747.433],[2794639440.244, 2801012587.4, 3461430247.368, 2131949645.009, 3481284381.945, 1102828074.04, 3605988027.193, 3356030669.202],[4294309125.063, 3900420210.185, 877229836.071, 2886099811.318, 1283179139.332, 3738638486.756, 1755012844.248, 1854164017.554],[2652500630.46, 4166725814.697, 434030297.203, 336678749.555, 2282987381.664, 261643421.165, 3036395186.696, 2216593530.923],[1101227263.899, 1679542810.111, 1676666646.063, 974470554.923, 1028064289.964, 1137875865.825, 194803835.493, 3345684588.555],[1936345300.287, 468256476.176, 3495369523.252, 1282061333.403, 3947017818.396, 4219681405.368, 2190843777.461, 774973477.932]]"
values_81,10,"{2618500773.628, 400401914.601, 981600549.27, 230487676.293, 2991673802.857, 339271024.187, 3031129001.864, 1149460578.467, 582822355.488, 955320847.245","[[4086163974.554, 2696977376.991, 685826061.72, 1216727786.344, 261630681.714, 2333577743.648, 3365591260.165, 344714885.598, 506759263.688, 2304896669.201],[1014479848.336, 2248819418.98, 3226590311.659, 1939522428.823, 2999527662.927, 1929252951.878, 1261082415.615, 2318219252.882, 390979871.831, 966176440.828],[3052680292.709, 3885170136.941, 2026306501.839, 3479976508.897, 634677388.449, 3875977900.472, 1468948533.07, 266886020.281, 2396993152.344, 2129776685.944],[3427799005.95, 1093766687.494, 546411250.4, 1146248619.236, 2696618170.325, 3132876380.194, 2908084149.74, 3070111388.325, 1959455884.28, 3466364704.651],[1448956593.615, 2592229220.949, 1466163455.423, 3876585545.408, 4009539248.664, 3724423212.354, 2266374971.385, 1824191530.029, 2778289355.482, 2859817731.52],[280520877.873, 2571836999.439, 3318547647.142, 305869795.547, 3984706783.647, 337182162.242, 2905705000.454, 3205426701.931, 3109826942.958, 4032476598.77],[789005558.832, 984020506.824, 633064202.617, 1886225027.239, 1167868137.298, 4119914369.069, 4099160041.604, 1234480695.917, 172970575.378, 496126462.144],[2427669148.662, 126602295.264, 4292766894.341, 1302687757.684, 388371565.218, 2905519867.308, 3255006648.838, 1900343405.657, 987643676.27, 3270448962.078],[3490003883.023, 3773453142.842, 4272387674.496, 4021494188.427, 1072676184.141, 3383792754.104, 595428950.692, 2530258940.442, 4091498860.994, 2670484185.068],[1693382085.343, 3748845722.308, 4090214990.625, 3427018412.29, 3706486832.771, 3417781706.356, 3894044777.667, 2013737657.316, 2090967774.992, 3615733425.519]]","[[2081123823.547, 2402963920.563, 620986110.343, 69279884.296, 3780423299.731, 1845025832.562, 4276921316.067, 2656453068.309, 1824930355.938, 2062406229.265],[28380098.79, 1470785831.261, 1406686454.746, 3219173219.625, 2086336424.643, 1301672843.844, 249971253.255, 1799494980.467, 3402909253.366, 465346399.714],[3197969466.839, 1035320393.541, 1766158802.851, 1306345096.557, 2981694103.773, 3432012382.102, 2753106408.518, 14966142.335, 417159326.977, 2061869694.166],[692504625.361, 4109718798.784, 1751571982.195, 236639064.629, 3828688616.954, 125769203.71, 2302176041.549, 2979922427.303, 879889130.159, 95895934.409],[3385817524.977, 1839124623.057, 77915549.754, 3806470073.39, 3620506673.95, 1798504384.857, 4003083336.559, 350160570.551, 3733449687.03, 1437270558.138],[580743002.154, 1087765990.02, 366221706.559, 2639235773.967, 954785042.574, 2633967353.592, 2383450949.783, 1554693341.617, 724111099.981, 1056347745.526],[1771057901.988, 3557423597.427, 2454577656.231, 818230356.572, 1923649490.412, 2585282625.161, 1797247389.786, 4046872036.166, 2631338909.989, 3484699473.429],[1316139725.553, 2835443921.471, 3821438808.772, 1826403288.649, 1576912153.096, 1137247983.088, 2234959767.411, 793151088.703, 2463746699.864, 1380496715.517],[1798600308.521, 82464453.697, 2427473280.624, 259925675.915, 3981386958.67, 3896746449.216, 2569814235.096, 1608289895.316, 1258526956.961, 2854839865.052],[510937832.392, 3042946511.247, 309955259.672, 3383122339.22, 3288837331.467, 2587717050.679, 3877796994.317, 1535070911.44, 4286126975.68, 767060107.924]]"
values_5,6,"{3969951438.252, 3395479740.584, 1469936253.27, 753549386.47, 1615033156.428, 1982481989.376","[[1118837714.332, 1771080583.791, 466512119.669, 1096984200.329, 129713567.965, 3384844048.186],[3693199633.026, 353918398.21, 3054529146.128, 740912790.891, 377672912.587, 2080599726.321],[3498041582.342, 1250391856.666, 3645394277.984, 1162612991.716, 55120315.826, 2996115930.791],[1263943496.702, 1183188494.123, 3568650532.535, 2242866329.507, 885970333.693, 912041177.415],[1955540985.307, 541163188.323, 3290795611.228, 3310964726.856, 2808913937.401, 4206518668.162],[523723940.305, 220456639.368, 1145607481.329, 2122864846.871, 1442515997.441, 3958849556.167]]","[[1890986448.255, 2066015681.568, 1173129936.451, 3363038312.309, 3819452386.105, 2138825330.748],[1606271386.747, 1426147657.568, 121780216.438, 297889361.775, 1397902282.349, 2293405453.914],[1767105602.688, 3076733742.873, 2263772196.509, 1769269879.715, 2863260278.105, 3842727250.878],[2078224341.027, 2127612961.508, 4290284862.214, 2458845757.87, 3578765880.602, 564992218.258],[2428284338.746, 1569708889.172, 4155380613.755, 2248365155.432, 3324106707.456, 356714339.999],[206459424.097, 3142525808.248, 3664580585.792, 3650949633.841, 2804937332.028, 268105244.752]]"
values_40,4,"{1596275260.263, 3151643336.761, 586026652.265, 2616798108.296","[[1133427140.932, 488086151.477, 499150710.081, 156074714.632],[4065629801.699, 2675934287.325, 1343741628.183, 179651041.927],[3872971626.526, 840009359.73, 3906456891.967, 307076060.403],[2642607162.403, 4008383686.941, 2310603962.044, 1286907124.442]]","[[3492084091.811, 3102321820.445, 1497297478.889, 3147006004.075],[3098750455.926, 2341023239.051, 880441934.592, 3329724999.457],[2294160480.73, 1139068082.493, 1310923426.354, 385325856.369],[3541085893.647, 2719715034.213, 3002213463.752, 854763985.959]]"
values_70,9,"{767769365.701, 1991686316.04, 1443597375.26, 846677824.766, 177006402.097, 466936840.283, 1322607561.531, 728061528.228, 3712293940.882","[[4286669226.386, 954153369.008, 301381268.207, 1591876689.354, 476635528.624, 2364474355.031, 2267539772.157, 1933404568.063, 791753991.575],[2960326935.923, 833246773.202, 3962894965.005, 2822807036.13, 1950459307.75, 875725969.74, 994119209.031, 2210379300.072, 3254205836.84],[2081654662.396, 3787984679.509, 1694345733.108, 2671850364.976, 1122085834.944, 2689129423.959, 2313191413.084, 1493849034.38, 1558640429.84],[1957036547.052, 819545254.361, 3237359502.668, 3299045793.843, 987185606.441, 1801580870.493, 563226887.859, 1722257830.153, 3352427564.733],[2458884801.958, 3961786678.347, 2400945943.345, 1212162064.629, 458375752.599, 3441388983.019, 696056896.5, 2912867487.69, 870915813.217],[3559511489.806, 3748824523.113, 841931343.964, 3321564657.852, 687934798.168, 100183742.492, 2126827290.522, 291693051.207, 1217885449.869],[2612345109.786, 3526939073.528, 771331079.356, 2632575515.44, 1748721701.152, 2995568777.226, 3697992874.201, 2783010071.747, 2513405477.526],[2698622546.182, 4053532369.837, 2580948259.149, 2707495702.867, 3178565132.16, 2808783918.703, 3487121409.152, 1152889406.659, 132662442.387],[4268020599.043, 2229796468.018, 4113153861.262, 4100700211.248, 1461614394.636, 4175723218.351, 3363199985.26, 2244032640.72, 4241118181.22]]","[[3061677117.152, 2064623735.41, 4229694845.732, 1482003625.556, 1506323675.097, 1913849825.238, 3272607517.325, 3522265919.842, 978047436.7],[3912744218.674, 748298355.351, 1174704373.865, 4281154580.231, 595670996.36, 327799098.462, 3532410240.473, 4162366924.877, 1163211629.403],[2446143586.515, 1908040538.841, 231529503.381, 1075446978.827, 3106714943.152, 2779215304.597, 2421108986.144, 2132255295.967, 1059485811.252],[1527124827.918, 751894453.256, 2294793837.739, 3448885905.462, 917992848.019, 4041656294.35, 3996919301.356, 743460474.007, 2205146047.54],[1745081763.806, 1558904649.109, 3642706742.008, 630941104.07, 2461232359.602, 2904548338.372, 810394651.699, 3626545704.787, 513507616.963],[184284752.354, 2515891079.902, 2476281297.042, 709495841.649, 3220238881.963, 866214335.175, 3890397569.554, 2525908750.914, 367536705.42],[529959954.737, 1293499547.405, 208975389.213, 3341933704.83, 2768174541.699, 4269077040.956, 767086441.53, 2141771309.477, 763639287.215],[1929671488.505, 3848689475.364, 3004393146.747, 307563673.35, 2169693740.402, 3082014472.708, 1874447046.855, 3623275647.101, 4011913087.07],[850068552.713, 392608501.4, 1346676674.925, 3156813470.876, 3589953881.469, 2090250114.97, 188254843.463, 1935451135.696, 1850409235.199]]"
values_23,8,"{2379460099.385, 3411580059.622, 3640491213.557, 4079203681.354, 3635472303.578, 855611242.963, 693142550.02, 3626826019.465","[[2241714443.284, 736013212.864, 3260219854.743, 1071626420.044, 2698521487.266, 703740284.227, 1161681726.2, 1332273599.938],[2341826540.971, 2746915842.316, 3664336487.706, 1613571566.211, 1515616078.622, 1237301699.575, 93122518.442, 963890549.906],[3189571173.194, 137663235.32, 2086106747.225, 625642753.76, 3673148040.511, 153350944.773, 2527117381.643, 3736486196.749],[322514905.12, 148046850.336, 2148921400.71, 3829119803.068, 4289672136.301, 4249552508.32, 1429576636.821, 442906551.806],[2009230645.649, 31421469.487, 3548609134.927, 3150960883.631, 804802972.322, 3050446376.481, 3725182205.43, 3773456036.645],[2233425545.587, 2442341124.156, 1444678476.431, 283952298.705, 1580342699.909, 427314853.527, 3921809259.714, 3069985867.069],[1933229655.697, 3607575846.401, 3069872137.865, 666592426.119, 843760195.313, 123283593.839, 2171795645.35, 129686096.41],[358327471.907, 2053598550.964, 1394305719.396, 2874175498.253, 3954682071.795, 4143709404.916, 2435382214.251, 25591715.173]]","[[2693242875.847, 2755408193.593, 2899062672.924, 3282506831.524, 4207771137.08, 1491345828.5, 3771715569.183, 2054567464.1],[682514481.543, 1588820113.005, 1862513795.952, 3060499381.882, 99191567.226, 3096976628.151, 3331585677.431, 1038401557.893],[204436565.333, 1261882728.813, 2846999352.059, 2708696754.533, 3064048700.639, 173850430.905, 1657980370.67, 1454096086.781],[33155968.919, 1377819703.901, 1363737174.715, 1390019638.504, 878315398.047, 624260580.595, 2466987892.968, 3736218151.664],[2502823281.656, 3320162696.091, 520624530.53, 1567486161.536, 2021033773.075, 3911445401.906, 1944735639.553, 1045110268.131],[2062947763.972, 2746257815.221, 1910656051.204, 29373888.362, 3405467744.88, 2237717427.66, 1207302097.117, 917901183.412],[1991819048.482, 1211825176.906, 2392039464.232, 436119813.259, 2240924643.349, 2046214049.512, 1713976953.991, 3094408054.715],[1007924414.302, 1654445399.568, 2901483628.755, 3606613496.141, 4050652568.038, 3764260859.61, 63672960.582, 3345616393.32]]"
values_72,2,"{996306766.303, 1514094253.461","[[3374669176.131, 1405861467.224],[1057221282.663, 33479546.692]]","[[3882536676.979, 3693214053.0],[4026238858.758, 575607618.302]]"
