inputName,m,n
values_11,1107956808.305,1177959910.391
values_19,1107956808.305,607646927.686
values_12,1107956808.305,729503830.407
values_38,119506136.512,502269644.258
values_81,1415822409.889,1177959910.391
values_5,37600382.157,805665547.732
values_40,225820153.039,1789527496.423
values_70,933051321.713,1789527496.423
values_23,247653348.063,1233719471.171
values_72,933051321.713,729503830.407
values_79,933051321.713,607646927.686
values_78,933051321.713,502269644.258
values_87,1415822409.889,1203859965.227
values_6,37600382.157,2102454766.312
values_68,1106955292.189,502269644.258
values_69,1106955292.189,607646927.686
values_1,37600382.157,1177959910.391
values_45,225820153.039,805665547.732
values_33,119506136.512,1233719471.171
values_15,1107956808.305,805665547.732
values_93,293416826.986,1233719471.171
values_24,247653348.063,1460090952.833
values_25,247653348.063,805665547.732
values_26,247653348.063,2102454766.312
values_48,225820153.039,502269644.258
values_71,933051321.713,1177959910.391
values_76,933051321.713,2102454766.312
values_7,37600382.157,1203859965.227
values_50,59685599.092,1789527496.423
values_22,247653348.063,729503830.407
values_4,37600382.157,1460090952.833
values_32,119506136.512,729503830.407
values_77,933051321.713,1203859965.227
values_91,293416826.986,1177959910.391
values_42,225820153.039,729503830.407
values_13,1107956808.305,1233719471.171
values_41,225820153.039,1177959910.391
values_55,59685599.092,805665547.732
values_31,119506136.512,1177959910.391
values_66,1106955292.189,2102454766.312
values_65,1106955292.189,805665547.732
values_62,1106955292.189,729503830.407
values_21,247653348.063,1177959910.391
values_95,293416826.986,805665547.732
values_84,1415822409.889,1460090952.833
values_58,59685599.092,502269644.258
values_64,1106955292.189,1460090952.833
values_83,1415822409.889,1233719471.171
values_94,293416826.986,1460090952.833
values_0,37600382.157,1789527496.423
values_99,293416826.986,607646927.686
values_96,293416826.986,2102454766.312
values_67,1106955292.189,1203859965.227
values_61,1106955292.189,1177959910.391
values_43,225820153.039,1233719471.171
values_2,37600382.157,729503830.407
values_54,59685599.092,1460090952.833
values_30,119506136.512,1789527496.423
values_59,59685599.092,607646927.686
values_85,1415822409.889,805665547.732
values_74,933051321.713,1460090952.833
values_90,293416826.986,1789527496.423
values_18,1107956808.305,502269644.258
values_52,59685599.092,729503830.407
values_44,225820153.039,1460090952.833
values_17,1107956808.305,1203859965.227
values_36,119506136.512,2102454766.312
values_49,225820153.039,607646927.686
values_86,1415822409.889,2102454766.312
values_37,119506136.512,1203859965.227
values_56,59685599.092,2102454766.312
values_63,1106955292.189,1233719471.171
values_35,119506136.512,805665547.732
values_97,293416826.986,1203859965.227
values_75,933051321.713,805665547.732
values_57,59685599.092,1203859965.227
values_88,1415822409.889,502269644.258
values_10,1107956808.305,1789527496.423
values_53,59685599.092,1233719471.171
values_8,37600382.157,502269644.258
values_39,119506136.512,607646927.686
values_47,225820153.039,1203859965.227
values_60,1106955292.189,1789527496.423
values_89,1415822409.889,607646927.686
values_51,59685599.092,1177959910.391
values_14,1107956808.305,1460090952.833
values_28,247653348.063,502269644.258
values_16,1107956808.305,2102454766.312
values_34,119506136.512,1460090952.833
values_82,1415822409.889,729503830.407
values_46,225820153.039,2102454766.312
values_27,247653348.063,1203859965.227
values_20,247653348.063,1789527496.423
values_9,37600382.157,607646927.686
values_92,293416826.986,729503830.407
values_3,37600382.157,1233719471.171
values_98,293416826.986,502269644.258
values_29,247653348.063,607646927.686
values_80,1415822409.889,1789527496.423
values_73,933051321.713,1233719471.171
