inputName,m,n
values_11,14078,15244
values_19,14078,21415
values_12,14078,22674
values_38,14866,11056
values_81,23158,15244
values_5,23078,6141
values_40,21840,5311
values_70,4436,5311
values_23,2171,14442
values_72,4436,22674
values_79,4436,21415
values_78,4436,11056
values_87,23158,22408
values_6,23078,5041
values_68,3352,11056
values_69,3352,21415
values_1,23078,15244
values_45,21840,6141
values_33,14866,14442
values_15,14078,6141
values_93,15465,14442
values_24,2171,3708
values_25,2171,6141
values_26,2171,5041
values_48,21840,11056
values_71,4436,15244
values_76,4436,5041
values_7,23078,22408
values_50,340,5311
values_22,2171,22674
values_4,23078,3708
values_32,14866,22674
values_77,4436,22408
values_91,15465,15244
values_42,21840,22674
values_13,14078,14442
values_41,21840,15244
values_55,340,6141
values_31,14866,15244
values_66,3352,5041
values_65,3352,6141
values_62,3352,22674
values_21,2171,15244
values_95,15465,6141
values_84,23158,3708
values_58,340,11056
values_64,3352,3708
values_83,23158,14442
values_94,15465,3708
values_0,23078,5311
values_99,15465,21415
values_96,15465,5041
values_67,3352,22408
values_61,3352,15244
values_43,21840,14442
values_2,23078,22674
values_54,340,3708
values_30,14866,5311
values_59,340,21415
values_85,23158,6141
values_74,4436,3708
values_90,15465,5311
values_18,14078,11056
values_52,340,22674
values_44,21840,3708
values_17,14078,22408
values_36,14866,5041
values_49,21840,21415
values_86,23158,5041
values_37,14866,22408
values_56,340,5041
values_63,3352,14442
values_35,14866,6141
values_97,15465,22408
values_75,4436,6141
values_57,340,22408
values_88,23158,11056
values_10,14078,5311
values_53,340,14442
values_8,23078,11056
values_39,14866,21415
values_47,21840,22408
values_60,3352,5311
values_89,23158,21415
values_51,340,15244
values_14,14078,3708
values_28,2171,11056
values_16,14078,5041
values_34,14866,3708
values_82,23158,22674
values_46,21840,5041
values_27,2171,22408
values_20,2171,5311
values_9,23078,21415
values_92,15465,22674
values_3,23078,14442
values_98,15465,11056
values_29,2171,21415
values_80,23158,5311
values_73,4436,14442
