inputName,n
11,28
19,28
12,28
38,10
81,19
5,28
40,24
70,2
23,24
72,2
79,2
78,2
87,19
6,28
68,20
69,20
1,28
45,24
33,10
15,28
93,24
24,24
25,24
26,24
48,24
71,2
76,2
7,28
50,13
22,24
4,28
32,10
77,2
91,24
42,24
13,28
41,24
55,13
31,10
66,20
65,20
62,20
21,24
95,24
84,19
58,13
64,20
83,19
94,24
0,28
99,24
96,24
67,20
61,20
43,24
2,28
54,13
30,10
59,13
85,19
74,2
90,24
18,28
52,13
44,24
17,28
36,10
49,24
86,19
37,10
56,13
63,20
35,10
97,24
75,2
57,13
88,19
10,28
53,13
8,28
39,10
47,24
60,20
89,19
51,13
14,28
28,24
16,28
34,10
82,19
46,24
27,24
20,24
9,28
92,24
3,28
98,24
29,24
80,19
73,2
